,IQCH (64799)
ACH-000004,-0.2602849680510492
ACH-000005,-0.2334157847779206
ACH-000007,-0.3637795279461082
ACH-000009,-0.057281494397673015
ACH-000011,-0.20429988463191567
ACH-000012,-0.2730627156318147
ACH-000013,-0.24287128908106975
ACH-000014,-0.11556273174765108
ACH-000015,-0.17120699626071553
ACH-000017,-0.1167636694435899
ACH-000018,-0.10799980774878933
ACH-000019,-0.04973751558803946
ACH-000021,-0.08922786242808585
ACH-000022,-0.2539519426740361
ACH-000025,-0.2050953537381505
ACH-000028,-0.1687290131073764
ACH-000030,-0.18147708244535324
ACH-000035,0.0024473151622300604
ACH-000036,-0.22147484582011112
ACH-000037,-0.1360064144678627
ACH-000039,-0.10477016637617388
ACH-000040,-0.21255025474185651
ACH-000041,-0.11833532832223713
ACH-000042,-0.06984811506108297
ACH-000045,-0.2100576100476768
ACH-000047,-0.012654358594384605
ACH-000052,-0.1023922510181908
ACH-000053,-0.12864385764261113
ACH-000054,-0.28007265468655906
ACH-000055,-0.22222720210424124
ACH-000060,-0.11998726779886268
ACH-000067,-0.1339228888169345
ACH-000070,-0.15483672352033076
ACH-000075,-0.23672795072390296
ACH-000078,-0.1948490082765708
ACH-000082,-0.04739191321431551
ACH-000085,-0.0357228662752724
ACH-000086,-0.2213118192758552
ACH-000087,0.18352826247162352
ACH-000092,-0.08955011458864982
ACH-000095,-0.10205547833530997
ACH-000097,-0.13795686548503386
ACH-000098,-0.1736300773079502
ACH-000099,-0.21316630443953224
ACH-000108,-0.1112332381680145
ACH-000113,-0.12111897633350377
ACH-000116,-0.3595271151842317
ACH-000118,-0.07587003001368074
ACH-000120,-0.2381648128891954
ACH-000123,-0.2574444459996988
ACH-000127,-0.11959434813149455
ACH-000128,-0.2397204421301725
ACH-000132,-0.3162169428047781
ACH-000133,-0.15652424318149102
ACH-000137,-0.22710874737108075
ACH-000138,-0.1234665428381848
ACH-000142,-0.20273026911405415
ACH-000143,-0.1499948698275813
ACH-000146,-0.14055338806238854
ACH-000148,-0.16235140882819274
ACH-000150,-0.24506572064931845
ACH-000152,-0.0734263940291255
ACH-000153,-0.07234458665853431
ACH-000159,-0.15117819907611071
ACH-000160,-0.17716766872591674
ACH-000163,-0.23179284931125066
ACH-000167,-0.3305814951108144
ACH-000168,0.03945550936895021
ACH-000169,-0.07520748762450995
ACH-000178,-0.13757768717654087
ACH-000183,-0.1463058920044267
ACH-000188,-0.1193199877092816
ACH-000189,-0.4079827052681524
ACH-000190,-0.09297399900600786
ACH-000198,-0.16914410344327285
ACH-000203,0.09064639004795004
ACH-000204,-0.4020432552366989
ACH-000206,-0.1511537888134874
ACH-000207,-0.13494321836858894
ACH-000208,-0.16150444434235306
ACH-000210,-0.006731817961817462
ACH-000211,-0.16947849928479808
ACH-000215,-0.20352914729066748
ACH-000221,-0.0896520768072687
ACH-000222,0.0765106109938554
ACH-000223,-0.2368121857815543
ACH-000226,-0.10200926681175683
ACH-000227,-0.30823460967827376
ACH-000228,-0.2681795573545955
ACH-000231,-0.20134468354554924
ACH-000232,-0.09374710827853833
ACH-000233,-0.18902947174973744
ACH-000234,-0.2010793433874752
ACH-000235,-0.14526143573134356
ACH-000237,-0.1457380702870282
ACH-000238,-0.2053369573967708
ACH-000242,-0.1731319588584464
ACH-000243,-0.18933572479834365
ACH-000244,-0.15490986506433446
ACH-000246,-0.13390788179237262
ACH-000248,-0.2548233047990747
ACH-000250,-0.1255227349055849
ACH-000251,-0.1704152068544898
