,GTF2F1 (2962)
ACH-000004,-0.2800746837355668
ACH-000005,-0.19256510974783786
ACH-000007,-0.3796249297089322
ACH-000009,-0.3407177479883257
ACH-000011,-0.07794725479040422
ACH-000012,-0.34768400489193385
ACH-000013,-0.5087852025401184
ACH-000014,-0.4201829632589241
ACH-000015,-0.4233467464579882
ACH-000017,-0.4667602122904632
ACH-000018,-0.3743658356800704
ACH-000019,-0.5084864442012028
ACH-000021,-0.4604918993829178
ACH-000022,-0.5616910138195612
ACH-000025,-0.2885402340870615
ACH-000028,-0.5327022939686828
ACH-000030,-0.3873912307919721
ACH-000035,-0.6867947104926894
ACH-000036,-0.5321173669162168
ACH-000037,-0.204077179748516
ACH-000039,-0.3524210865539671
ACH-000040,-0.15201622134784448
ACH-000041,-0.3623150992667904
ACH-000042,-0.3672018191211328
ACH-000045,-0.11503018807070532
ACH-000047,-0.4416373225951403
ACH-000052,-0.4390802372950096
ACH-000053,-0.33774905206467704
ACH-000054,-0.3883333278509816
ACH-000055,-0.4797004185851969
ACH-000060,-0.3078968725565075
ACH-000067,-0.4712616869309558
ACH-000070,-0.4567012386165242
ACH-000075,-0.4810906012000215
ACH-000078,-0.1996743017633172
ACH-000082,-0.33795342370483816
ACH-000085,-0.4614066698647463
ACH-000086,-0.3168117683512957
ACH-000087,-0.36222521129667695
ACH-000092,-0.3179397649779549
ACH-000095,-0.15511204014051638
ACH-000097,-0.4283031547243241
ACH-000098,-0.3873451628011677
ACH-000099,-0.2631960510630583
ACH-000108,-0.42968915637533495
ACH-000113,-0.4808823145422857
ACH-000116,-0.5795249606069219
ACH-000118,-0.3151914767295142
ACH-000120,-0.3622595821394203
ACH-000123,-0.24493169465604525
ACH-000127,-0.3686800492064588
ACH-000128,-0.4427670921172933
ACH-000132,-0.3763311988188449
ACH-000133,-0.4025730373420158
ACH-000137,-0.4990734374483215
ACH-000138,-0.4801140980509122
ACH-000142,-0.490691066476547
ACH-000143,-0.4113235356177669
ACH-000146,-0.4006143707745081
ACH-000148,-0.3649153881475177
ACH-000150,-0.34654254757869224
ACH-000152,-0.4074992541562325
ACH-000153,-0.32772595716462394
ACH-000159,-0.4167569452859064
ACH-000160,-0.08106350843930565
ACH-000163,-0.20988110525011394
ACH-000167,-0.14864745707944027
ACH-000168,-0.408219966694084
ACH-000169,-0.2806540005797694
ACH-000178,-0.3739049027016994
ACH-000183,-0.4055755772001141
ACH-000188,-0.37377193522971375
ACH-000189,-0.4736041713409885
ACH-000190,-0.16910379193809585
ACH-000198,-0.3332511842232673
ACH-000203,-0.19952049988934556
ACH-000204,-0.3320734061491533
ACH-000206,-0.4966231429323919
ACH-000207,-0.3908106752317234
ACH-000208,-0.3637269289843789
ACH-000210,-0.13173160032117825
ACH-000211,-0.25031460215642604
ACH-000215,-0.30075174372248226
ACH-000221,-0.5729980843280046
ACH-000222,-0.3988429373218829
ACH-000223,-0.5598739813408989
ACH-000226,-0.3312508343824985
ACH-000227,-0.22192701274677887
ACH-000228,-0.35878479840961863
ACH-000231,-0.3985023970869235
ACH-000232,-0.3051098006004672
ACH-000233,-0.3599246988787221
ACH-000234,-0.5737034494280672
ACH-000235,-0.5048445719330148
ACH-000237,-0.4725546473585049
ACH-000238,-0.1430519809125022
ACH-000242,-0.17533373991830825
ACH-000243,-0.4498294738849805
ACH-000244,-0.4607321518372362
ACH-000246,-0.31529785461124404
ACH-000248,-0.5674941380024269
ACH-000250,-0.5158136461515982
ACH-000251,-0.4532091914687068
ACH-000252,-0.4707825060710353
ACH-000253,-0.3295750204836456
ACH-000255,-0.4315038408497239
ACH-000256,-0.3160223611605405
ACH-000257,-0.2508802805989509
ACH-000258,-0.43219267995607374
ACH-000259,-0.2549244680132847
ACH-000260,-0.3444932081879221
ACH-000261,-0.3785240104569471
ACH-000262,-0.3638964797852429
ACH-000263,-0.3630601036603357
ACH-000264,-0.3786607650541422
ACH-000265,-0.20181240215587787
ACH-000266,-0.5053874743071368
ACH-000272,-0.316025230988717
ACH-000274,-0.2608030055122912
ACH-000277,-0.3147175202998452
ACH-000278,-0.5913641353703937
ACH-000279,-0.151077557152658
ACH-000280,-0.44535981425531423
ACH-000281,-0.3315194346085445
ACH-000288,-0.11119435808477016
ACH-000291,-0.487764386384642
ACH-000293,-0.39583747312880585
ACH-000294,-0.1431626195463507
ACH-000295,-0.0645988681517947
ACH-000296,-0.2703897469765597
ACH-000302,-0.5334159556853728
ACH-000304,-0.2019744427475102
ACH-000307,-0.5248556711827939
ACH-000308,-0.4307380643361972
ACH-000310,-0.2970233594695861
ACH-000311,-0.2806953015614806
ACH-000312,-0.4172308930911944
ACH-000315,-0.32374915760848083
ACH-000316,-0.2608812703575277
ACH-000317,-0.22978003196968966
ACH-000318,-0.4464670817435824
ACH-000319,-0.5747352980624223
ACH-000320,-0.3154637502280911
ACH-000322,-0.2660917476212073
ACH-000323,-0.3970487586380251
ACH-000324,-0.3638104007056454
ACH-000329,-0.3423391181503945
ACH-000330,-0.3074708416829837
ACH-000331,-0.5942792452077053
ACH-000332,-0.5187695432939518
ACH-000334,-0.2439711705276523
ACH-000335,-0.2259135221797058
ACH-000336,-0.3880753308499564
ACH-000337,-0.5908904499262254
ACH-000338,-0.5055833857432364
ACH-000339,-0.41835551207159577
ACH-000341,-0.26815343003092296
ACH-000348,-0.3126311401943068
ACH-000350,-0.2113955989033709
ACH-000352,-0.6795413479460581
ACH-000356,-0.312212432854483
ACH-000361,-0.07647014007538422
ACH-000362,-0.22189613219815896
ACH-000363,-0.42726266419723
ACH-000364,-0.4902728020340536
ACH-000365,-0.2552077076114079
ACH-000366,-0.3748870885013856
ACH-000368,-0.4107263570139834
ACH-000374,-0.35763396888030496
ACH-000375,-0.3447779183430369
ACH-000376,-0.2081295117059441
ACH-000381,-0.4692519155414937
ACH-000383,-0.244489485951854
ACH-000387,-0.4156517509795056
ACH-000389,-0.17244491379774662
ACH-000390,-0.6020234990002957
ACH-000393,-0.4174874234947605
ACH-000395,-0.3395627331432843
ACH-000396,-0.2785912414381395
ACH-000397,-0.36176337957306937
ACH-000401,-0.5007098895191743
ACH-000402,-0.3153389647031227
ACH-000403,-0.38309963405842856
ACH-000404,-0.4530102604860358
ACH-000406,-0.177147827175415
ACH-000407,-0.1798199182989615
ACH-000408,-0.2716223614775405
ACH-000410,-0.3804978639316277
ACH-000411,-0.4018895731241088
ACH-000414,-0.4993509157371067
ACH-000415,-0.3402720198115637
ACH-000416,-0.5101927884819725
ACH-000420,-0.6262793250297012
ACH-000421,-0.679047125066894
ACH-000424,-0.5039454511715905
ACH-000425,-0.29233811731619497
ACH-000426,-0.27629213225649685
ACH-000427,-0.3508654702759384
ACH-000433,-0.3857670651575612
ACH-000435,-0.3848387984245536
ACH-000436,-0.3414935768456121
ACH-000444,-0.4613505161666897
ACH-000445,-0.433301561612276
ACH-000448,-0.32021457340868176
ACH-000450,-0.03702300426981523
ACH-000452,-0.4438257186702087
ACH-000454,-0.4420071945094929
ACH-000458,-0.3559972078735906
