,GRSF1 (2926)
ACH-000004,-0.48654141581187604
ACH-000005,-0.6784310757596302
ACH-000007,-0.5903133025376351
ACH-000009,-0.21907377847012055
ACH-000011,-0.2978834893365521
ACH-000012,-0.3640519818843861
ACH-000013,-0.5691888888167833
ACH-000014,-0.43673288531415294
ACH-000015,-0.6590885371126963
ACH-000017,-0.38413377302694
ACH-000018,-0.315628354987841
ACH-000019,-0.6505334901083993
ACH-000021,-0.500125455433446
ACH-000022,-0.4286833854861993
ACH-000025,-0.637899208277515
ACH-000028,-0.8352570276329414
ACH-000030,-0.23551021666902835
ACH-000035,-0.7335514901807344
ACH-000036,-0.21657127314820515
ACH-000037,-0.5027556049638365
ACH-000039,-0.4333850307665672
ACH-000040,-0.2593682873260985
ACH-000041,-0.3245008493458664
ACH-000042,-0.3217288110160204
ACH-000045,-0.5811016702828956
ACH-000047,-0.8079750984016454
ACH-000052,-0.5042795644068929
ACH-000053,-0.3870113223184325
ACH-000054,-0.3718993532007039
ACH-000055,-0.5745177906156135
ACH-000060,-0.5351084325246643
ACH-000067,-0.4747745648573978
ACH-000070,-0.3688018112550624
ACH-000075,-0.4596437831497999
ACH-000078,-0.2957936710860537
ACH-000082,-0.3778893175936648
ACH-000085,-0.4796055463719883
ACH-000086,-0.4111766649314217
ACH-000087,-0.7748355998673031
ACH-000092,-0.3676292655813252
ACH-000095,-0.16415515502825034
ACH-000097,-0.2971006731389483
ACH-000098,-0.42527732116250455
ACH-000099,-0.3280562081755821
ACH-000108,-0.4068095528474125
ACH-000113,-0.7615702944928258
ACH-000116,-0.3775319001682446
ACH-000118,-0.9280618380307729
ACH-000120,-0.4429650754622117
ACH-000123,-0.4631316514397401
ACH-000127,-0.4879845120164403
ACH-000128,-0.6778479259120073
ACH-000132,-0.2900421099202613
ACH-000133,-0.3615120560270799
ACH-000137,-0.4828212679210472
ACH-000138,-0.3285284543692252
ACH-000142,-0.3443096841302403
ACH-000143,-0.5233595583191619
ACH-000146,-0.35913936748006525
ACH-000148,-0.5153624851931682
ACH-000150,-0.33948320832700263
ACH-000152,-0.2960282520283889
ACH-000153,-0.5958587342381434
ACH-000159,-0.4269427793309349
ACH-000160,-0.8887543143446694
ACH-000163,-0.4571979059810565
ACH-000167,-0.09367299280288677
ACH-000168,-0.1887078381631599
ACH-000169,-0.3372330979768937
ACH-000178,-0.2715417761381477
ACH-000183,-0.5742249504444278
ACH-000188,-0.3775222480133337
ACH-000189,-0.6218842750078537
ACH-000190,-0.7724963096633668
ACH-000198,-0.506286887903205
ACH-000203,-0.6762608486199276
ACH-000204,-0.6030294367630297
ACH-000206,-0.3990039675375335
ACH-000207,-0.4032462567433321
ACH-000208,-0.5100186914755995
ACH-000210,-0.5700150887698994
ACH-000211,-0.4294988292263766
ACH-000215,-0.3889154379190457
ACH-000221,-0.6632022382132966
ACH-000222,-0.6481727178481844
ACH-000223,-0.6174104235732132
ACH-000226,-0.4437960023539278
ACH-000227,-0.4248303679751366
ACH-000228,-0.4850274595790115
ACH-000231,-0.2414270193665841
ACH-000232,-0.2673287566246849
ACH-000233,-0.4513728221040861
ACH-000234,-0.3177284532011552
ACH-000235,-0.2982502894771105
ACH-000237,-0.3366706206537341
ACH-000238,-0.4984597125838349
ACH-000242,-0.5510377173957205
ACH-000243,-0.4516711334146285
ACH-000244,-0.2327869997854566
ACH-000246,-0.5939736842089633
ACH-000248,-0.3660256868090237
ACH-000250,-0.21891013330489786
ACH-000251,-0.10186148502124848
ACH-000252,-0.4650385681868389
ACH-000253,-0.4158563858477989
ACH-000255,-0.4794228422132199
ACH-000256,-0.3490546482459965
ACH-000257,-0.7295441147651509
ACH-000258,-0.4457863658403611
ACH-000259,-0.6290854121918008
ACH-000260,-0.22473128389999192
ACH-000261,-0.31807414694674024
ACH-000262,-0.5007973739591978
ACH-000263,-0.6078688258146322
ACH-000264,-0.286504669120118
ACH-000265,-0.7308523438736878
ACH-000266,-0.341342719100428
ACH-000272,-0.5007353988446048
ACH-000274,-0.42301418876704
ACH-000277,-0.5062063350453724
ACH-000278,-0.3259988656910191
ACH-000279,-0.5147504308270612
ACH-000280,-0.3653546830749466
ACH-000281,-0.5494414034562178
ACH-000288,-0.35639777120792954
ACH-000291,-0.4543231902056704
ACH-000293,-0.41948117509740507
ACH-000294,0.1275243568157337
ACH-000295,-0.3974707509097237
ACH-000296,-0.3162575977979001
ACH-000302,-0.5043750058423834
ACH-000304,-0.3743076304665636
ACH-000307,-0.3378917973161915
ACH-000308,-0.33678751452165034
ACH-000310,-0.3624399476020182
ACH-000311,-0.4709452243184729
ACH-000312,-0.3383342763705524
ACH-000315,-0.2360670325533016
ACH-000316,-0.5903489553298709
ACH-000317,-0.6701354430820242
ACH-000318,-0.4300095195095011
ACH-000319,-0.39020004559049903
ACH-000320,-0.445797783603174
ACH-000322,-0.8326555644696733
ACH-000323,-0.4056383505942796
ACH-000324,-0.1100208756997985
ACH-000329,-0.4585281361837437
ACH-000330,-0.5463686119750636
ACH-000331,-0.6477266387515379
ACH-000332,-0.3610533388991504
ACH-000334,-0.4074639244472502
