,SIRPA (140885)
ACH-000004,-0.2373917534008273
ACH-000005,-0.32198370807760496
ACH-000007,-0.24710765592090125
ACH-000009,-0.2257994405704368
ACH-000011,-0.015027228992134222
ACH-000012,-0.3027224419151112
ACH-000013,-0.2942865910981247
ACH-000014,-0.3424816429783068
ACH-000015,-0.291553410371469
ACH-000017,-0.22650605397303716
ACH-000018,-0.3963353459174853
ACH-000019,-0.06281144048458391
ACH-000021,-0.26623333470669897
ACH-000022,-0.1908327252365316
ACH-000025,-0.18356919616287198
ACH-000028,-0.03758477418135437
ACH-000030,-0.2476562106384527
ACH-000035,-0.17380953470022675
ACH-000036,-0.3089592386774048
ACH-000037,-0.18252057499567256
ACH-000039,-0.1811030405911197
ACH-000040,-0.1291209129781247
ACH-000041,-0.3432604010166937
ACH-000042,-0.2854374036385233
ACH-000045,-0.26564798011638985
ACH-000047,-0.18825162610950028
ACH-000052,-0.4581351961379369
ACH-000053,-0.30973181237629105
ACH-000054,-0.24802054887591474
ACH-000055,-0.22420416138517715
ACH-000060,-0.30358272516704266
ACH-000067,-0.06210703670718545
ACH-000070,-0.30229935328462704
ACH-000075,-0.1914046203035199
ACH-000078,-0.4187253500403989
ACH-000082,-0.14238688309472727
ACH-000085,-0.22640140878022466
ACH-000086,-0.1435333222885473
ACH-000087,-0.15132781750175694
ACH-000092,-0.2514097393415741
ACH-000095,-0.23284362352134536
ACH-000097,-0.13414049110644682
ACH-000098,-0.2413086564265145
ACH-000099,-0.3648118458713064
ACH-000108,-0.23383218515563484
ACH-000113,-0.3191728124831744
ACH-000116,-0.16460357030538567
ACH-000118,-0.16636659000433893
ACH-000120,-0.2420521564486421
ACH-000123,-0.20346536760211867
ACH-000127,-0.17962455092739998
ACH-000128,-0.20117681159368467
ACH-000132,-0.08380328738952092
ACH-000133,-0.17031322798451448
ACH-000137,-0.31337079405421525
ACH-000138,-0.17517299591090327
ACH-000142,-0.10707094385982108
ACH-000143,-0.3420901901010089
ACH-000146,-0.3121722508276045
ACH-000148,-0.10833213445064567
ACH-000150,-0.4790965832040301
ACH-000152,-0.1035286988457279
ACH-000153,-0.43551442206443375
ACH-000159,-0.08722805710325697
ACH-000160,-0.22361217379809947
ACH-000163,-0.2343810290302337
ACH-000167,-0.34559099558767514
ACH-000168,-0.30409019815345906
ACH-000169,-0.42244355169954295
ACH-000178,-0.2538823493695581
ACH-000183,-0.2107188802224085
ACH-000188,-0.12172304100154675
ACH-000189,-0.4145429987231393
ACH-000190,-0.199299214094756
ACH-000198,-0.2166189946902134
ACH-000203,-0.2353195332958472
ACH-000204,0.011774203974083745
ACH-000206,-0.19516279336921588
ACH-000207,-0.2719055819564156
ACH-000208,-0.0406909965683389
ACH-000210,-0.1049839272524956
ACH-000211,-0.219707760636531
ACH-000215,-0.07458332834563065
ACH-000221,-0.23404825845182106
ACH-000222,-0.1949460664148664
ACH-000223,-0.1678954027638786
ACH-000226,-0.10019826014878958
ACH-000227,-0.16128389787238384
ACH-000228,-0.1508611515136529
ACH-000231,-0.2328329432424768
ACH-000232,-0.19133628663796387
ACH-000233,-0.2737695871592871
ACH-000234,-0.1330923403826587
ACH-000235,-0.19638071846722294
ACH-000237,-0.0902536849397395
ACH-000238,-0.23704993845889155
ACH-000242,-0.055333541121604136
ACH-000243,-0.18933563136105264
ACH-000244,-0.3692333106161274
ACH-000246,-0.23204645615700525
ACH-000248,-0.1972416931794711
ACH-000250,-0.0760509945656832
ACH-000251,-0.062420335266097686
ACH-000252,-0.3410811505143481
ACH-000253,-0.19259287291547236
ACH-000255,-0.1506430269268388
ACH-000256,-0.3131955074742941
ACH-000257,-0.26637656523781617
ACH-000258,-0.14408937417306422
ACH-000259,-0.24416994727068636
ACH-000260,-0.21938955088819456
ACH-000261,-0.19756682565852693
ACH-000262,-0.14985762969994498
ACH-000263,-0.3673785961901952
ACH-000264,-0.24974555726005285
ACH-000265,-0.22821372650729416
ACH-000266,-0.1673764749779412
ACH-000272,-0.18014317281217967
ACH-000274,-0.25939504476226544
ACH-000277,-0.13537158539387872
ACH-000278,-0.20202704971400146
ACH-000279,-0.3306086816835916
ACH-000280,-0.2829712666800809
ACH-000281,-0.4133075183513486
ACH-000288,-0.2434404341232674
ACH-000291,-0.24805093183611565
ACH-000293,-0.30248901122362715
ACH-000294,-0.3660936306046535
ACH-000295,-0.3283951469498919
ACH-000296,-0.18999317417012213
ACH-000302,-0.1774395293009348
ACH-000304,-0.024775151386897537
ACH-000307,-0.2672257839272407
ACH-000308,-0.3050184007923008
ACH-000310,-0.2327604971006193
ACH-000311,-0.19725435731889987
ACH-000312,-0.09499605991885574
ACH-000315,-0.4465976957701904
ACH-000316,-0.3857563686236189
ACH-000317,-0.272496299716668
ACH-000318,-0.15680100778827194
ACH-000319,-0.1085227460674007
ACH-000320,-0.15336936201473206
ACH-000322,-0.196220034937944
ACH-000323,-0.26498098592390035
ACH-000324,-0.41142002755680895
ACH-000329,-0.2383678396101605
ACH-000330,-0.2414593116982616
ACH-000331,-0.09119830507440167
ACH-000332,-0.2473329036642719
ACH-000334,-0.43256798098593857
ACH-000335,-0.3693059456564386
ACH-000336,-0.3589728147398651
ACH-000337,0.06053916635769139
ACH-000338,-0.4080310067984985
ACH-000339,-0.17554481894418494
ACH-000341,-0.14846295549916996
ACH-000348,-0.1705648644467219
ACH-000350,-0.2343011827712641
ACH-000352,-0.3675335433609387
ACH-000356,-0.22601993806092185
ACH-000361,-0.20408702063029668
ACH-000362,-0.3118941787886257
ACH-000363,-0.17293794969270926
ACH-000364,-0.2192953212430526
ACH-000365,-0.4652999856042969
ACH-000366,-0.17138839978019074
ACH-000368,-0.4772395877282392
ACH-000374,-0.03910141603558566
ACH-000375,-0.1922345697863679
