,EIF3L (51386)
ACH-000004,-0.4638192067758348
ACH-000005,-0.06532856190449292
ACH-000007,-0.6202129693755449
ACH-000009,-0.4503762797293301
ACH-000011,-0.6053014790582976
ACH-000012,-0.4318546522785439
ACH-000013,-0.3815890225364111
ACH-000014,-0.4426699496179651
ACH-000015,-0.7346885160648267
ACH-000017,-0.4611476540339267
ACH-000018,-0.5321373852955188
ACH-000019,-0.4154011231239161
ACH-000021,-0.4892523485288931
ACH-000022,-0.4176007663351809
ACH-000025,-0.2686525792199619
ACH-000028,-0.5115385526767583
ACH-000030,-0.4848186150983822
ACH-000035,-0.34963165593690543
ACH-000036,-0.644981798209555
ACH-000037,-0.2592924129806017
ACH-000039,-0.4904273933099129
ACH-000040,-0.7163716302821399
ACH-000041,-0.21492998059132012
ACH-000042,-0.2752123139333024
ACH-000045,-0.5038874001338729
ACH-000047,-0.3221298895277531
ACH-000052,-0.4814322033765753
ACH-000053,-0.5751791229299329
ACH-000054,-0.3355870691462935
ACH-000055,-0.7309548846746685
ACH-000060,-0.5489217447555121
ACH-000067,-0.5919381245270904
ACH-000070,-0.3606165723243368
ACH-000075,-0.2783622221747847
ACH-000078,-0.35721052394014025
ACH-000082,-0.24034803587331516
ACH-000085,-0.6604050119094905
ACH-000086,-0.2805692336119581
ACH-000087,-0.3319254686783671
ACH-000092,-0.3917462280820149
ACH-000095,-0.4007801376449913
ACH-000097,-0.4481210488193688
ACH-000098,-0.41722763830969856
ACH-000099,-0.4628597528923119
ACH-000108,-0.4074318918482309
ACH-000113,-0.4155280312363068
ACH-000116,-0.11364695357726065
ACH-000118,-0.6487994481859052
ACH-000120,-0.3848080276377356
ACH-000123,-0.4291564078022593
ACH-000127,-0.4085166863432681
ACH-000128,-0.3883279525292983
ACH-000132,-0.4756905061045575
ACH-000133,-0.4377144619495656
ACH-000137,-0.4288673918545918
ACH-000138,-0.37819053288729504
ACH-000142,-0.364322829160273
ACH-000143,-0.7300616507842971
ACH-000146,-0.4378563232649935
ACH-000148,-0.2277152663322689
ACH-000150,-0.4294002863885228
ACH-000152,-0.3205013760981602
ACH-000153,-0.2945864022197915
ACH-000159,-0.3206694150935181
ACH-000160,-0.4520439977318124
ACH-000163,-0.462551627417706
