,ACTB (60)
ACH-000004,-0.6533934989685541
ACH-000005,-0.6053242813705683
ACH-000007,-0.7736361208664447
ACH-000009,-1.040078441290289
ACH-000011,-0.4023065475960247
ACH-000012,-0.9313402794824316
ACH-000013,-0.31053224275898583
ACH-000014,-0.7482865163218367
ACH-000015,-0.2869944387782638
ACH-000017,-1.2344951062531777
ACH-000018,-0.8659187653846856
ACH-000019,-0.5773261069854213
ACH-000021,-0.8037814988396352
ACH-000022,-1.1208220886213969
ACH-000025,-0.6115869653493036
ACH-000028,-0.7306397888669485
ACH-000030,-1.0812023090831808
ACH-000035,-0.8885080960014325
ACH-000036,-0.5510578179523076
ACH-000037,-0.8295668351721378
ACH-000039,-0.4610270805065586
ACH-000040,-0.4417580335643521
ACH-000041,-0.24802518863917836
ACH-000042,-0.3610545952394954
ACH-000045,-0.4142566644586096
ACH-000047,-0.37046100146962574
ACH-000052,-0.3850035693807996
ACH-000053,-0.2436930241575768
ACH-000054,-0.8541563887890818
ACH-000055,-0.34382985070326394
ACH-000060,-0.28750954804084994
ACH-000067,-0.4666716028033726
ACH-000070,-0.3808421579830788
ACH-000075,-0.4387038189372932
ACH-000078,-0.30756654720547233
ACH-000082,-0.3129111367175845
ACH-000085,-0.6105194527395937
ACH-000086,-0.3255082205889673
ACH-000087,-0.6442092814292958
ACH-000092,-0.5141737926299871
ACH-000095,-0.1118143153613374
ACH-000097,-0.8224708375265409
ACH-000098,-0.2099770676111854
ACH-000099,-0.27327245743168177
ACH-000108,-0.6132477745460255
ACH-000113,-0.4929538487112541
ACH-000116,-0.7431672841045139
ACH-000118,-0.3446376364458492
ACH-000120,-0.5200994157353076
ACH-000123,-0.7755183702437584
ACH-000127,-0.8628136042949641
ACH-000128,-0.4122427088588145
ACH-000132,-0.2421686718283577
ACH-000133,-0.7332865548038534
ACH-000137,-0.4355353240587551
ACH-000138,-0.6484519681273657
ACH-000142,-0.9478200515052556
ACH-000143,-0.5606269358791813
ACH-000146,-0.960006992436226
ACH-000148,-0.5248016216967665
ACH-000150,-0.2522418779363211
ACH-000152,-0.3112639534196377
ACH-000153,-0.3120223983188721
ACH-000159,-0.8247084889381201
ACH-000160,-0.22435430377763013
ACH-000163,-0.9403053682534936
ACH-000167,-0.455080155485188
ACH-000168,-0.7705655250996716
ACH-000169,-0.7429870980109535
ACH-000178,-0.5685534746600218
ACH-000183,-0.6120941335043818
ACH-000188,-0.7805712575772683
ACH-000189,-1.0551911862140646
ACH-000190,-0.04759643588304136
ACH-000198,-0.6214509560938118
ACH-000203,-0.7158103931542539
ACH-000204,-0.14834633068644235
ACH-000206,-1.1151333325182349
ACH-000207,-0.5256538111972388
ACH-000208,-0.7486508858671665
ACH-000210,-0.5985974230465804
ACH-000211,-0.6331905475450248
ACH-000215,-0.4683390361807291
ACH-000221,-0.2765756693553783
ACH-000222,-0.8272086681199733
ACH-000223,-0.4016458624731456
ACH-000226,-0.2154342873991307
ACH-000227,-0.2072661496563238
ACH-000228,-0.7940798973160768
ACH-000231,-0.546047928576293
ACH-000232,-0.43558252831508737
ACH-000233,-0.29435588801399604
ACH-000234,-0.5455770758744031
ACH-000235,-0.7810193108686712
ACH-000237,-0.4649641491206625
ACH-000238,-1.0159003967977795
ACH-000242,-0.6720009238589332
ACH-000243,-0.98140973438932
ACH-000244,-0.8613739596602742
ACH-000246,-0.2738962259228424
ACH-000248,-1.0692042037624716
ACH-000250,-0.12306809781050927
ACH-000251,-0.5234785316605914
ACH-000252,-0.6165879906984457
ACH-000253,-0.36510181755898136
ACH-000255,-0.8006950446841197
ACH-000256,-0.5617929547791122
ACH-000257,-0.5655439145518704
ACH-000258,-0.3840930434923485
ACH-000259,-0.2143380204340433
ACH-000260,-0.2825400552046396
ACH-000261,-0.5338507492111599
ACH-000262,-0.7296615929498182
ACH-000263,-0.6683373576154251
ACH-000264,-0.538391825915899
ACH-000265,-0.34534918639903384
ACH-000266,-0.5027500412621269
ACH-000272,-0.3800489307521657
ACH-000274,-0.2811695746939658
ACH-000277,-0.7098347939305428
ACH-000278,-0.4504205763728497
ACH-000279,-0.07287015458442228
ACH-000280,-0.7391152118723043
ACH-000281,-0.7819605631569986
ACH-000288,-0.7456039702099141
ACH-000291,-0.2733636071308393
ACH-000293,-0.4495842624723101
ACH-000294,-0.4664820673520767
ACH-000295,-0.4650209043149977
ACH-000296,-0.3617126786291048
ACH-000302,-0.42070736142633103
ACH-000304,-0.4066477487560644
ACH-000307,-0.5729682872272527
ACH-000308,-0.0643420076758344
ACH-000310,-0.2706546618001072
ACH-000311,-0.7585661087914649
ACH-000312,-0.5067594857976934
ACH-000315,-0.5922712801947271
ACH-000316,-0.8764122659015887
ACH-000317,-0.5558292080008332
ACH-000318,-0.8556995560371834
ACH-000319,-0.6142579697609457
ACH-000320,-0.5772626558597431
ACH-000322,-0.6306274084563902
ACH-000323,-0.8443703989735903
ACH-000324,-0.4448178989428764
ACH-000329,-0.7522700928020022
ACH-000330,-0.9918885648477928
ACH-000331,-0.6315266399081797
ACH-000332,-0.6589539638492535
ACH-000334,-0.4224260629282476
ACH-000335,-0.9645415528480936
ACH-000336,-1.027853506907866
ACH-000337,-0.3121458307172643
ACH-000338,-1.0692835247395125
ACH-000339,-0.8281880352917128
ACH-000341,-0.4523802494105077
ACH-000348,-0.5679826631056235
ACH-000350,-0.9300855413443612
ACH-000352,-0.2263131440038809
ACH-000356,-0.5758562053279531
ACH-000361,-0.4687699567347329
ACH-000362,-0.7704387678498636
ACH-000363,-0.20913887719763047
ACH-000364,-0.6761140393054309
ACH-000365,-0.6628521568827138
ACH-000366,-0.2461340164809016
ACH-000368,-0.7676525293767981
ACH-000374,-0.5003447208274734
ACH-000375,-0.4635415117345268
ACH-000376,-0.6558546376993712
ACH-000381,-0.9353833791580852
ACH-000383,-0.6610673281819734
ACH-000387,-0.4687864513985252
ACH-000389,-0.7853301563737326
ACH-000390,-0.3601633864447469
ACH-000393,-0.8739925924201806
ACH-000395,-0.7939801835881761
ACH-000396,-0.17600113894922426
ACH-000397,-0.6313460517804382
ACH-000401,-0.33825238502512023
ACH-000402,-0.7804797587953981
ACH-000403,-0.498575072964465
ACH-000404,-0.5702420003838797
ACH-000406,-0.5287340838739666
ACH-000407,-0.2971018974301359
ACH-000408,-0.9159048951390814
ACH-000410,-0.4485191810601628
ACH-000411,-0.3289099187488006
ACH-000414,-0.4357389191570786
ACH-000415,-0.8166410269157873
ACH-000416,-1.0335442520157092
ACH-000420,-1.0025545080811988
ACH-000421,-0.17770980634264053
ACH-000424,-0.3692173632946368
ACH-000425,-0.2705505196510469
ACH-000426,-0.2814826631797522
ACH-000427,-0.3041120958819824
ACH-000433,-0.3801695812392472
ACH-000435,-0.5433698775402276
ACH-000436,-0.3704894352728501
ACH-000444,-0.486645059998462
ACH-000445,-0.7903106895776923
ACH-000448,-0.22370171957393714
ACH-000450,-0.4165965166307432
ACH-000452,-0.5282705295968996
ACH-000454,-0.6551442252688231
ACH-000458,-0.4701595904082224
ACH-000459,-0.4164087365564748
ACH-000460,-0.9743291561915022
ACH-000461,-0.34455054789101525
ACH-000463,-0.2959870892097418
ACH-000464,-0.8911301761540115
ACH-000466,-1.0574892327086285
ACH-000467,-0.7829643053581593
ACH-000468,-0.8228958775133173
ACH-000469,-0.3019735292735309
ACH-000470,-0.48825054233620896
ACH-000471,-0.7953304398620974
ACH-000472,-0.44404571231300455
ACH-000473,-0.7229345505034811
ACH-000475,-0.4089581591987028
ACH-000476,-0.8556235055319406
ACH-000477,-0.439493474532253
ACH-000479,-0.5333924360134029
ACH-000480,-0.6646282429952256
ACH-000481,-0.5140252015231089
ACH-000483,-0.3704510111553152
ACH-000484,-0.4710657449373529
ACH-000485,-0.7505282021279976
ACH-000486,-0.5651757316947774
ACH-000487,-0.7184114198713967
ACH-000488,-0.8554986862029359
ACH-000490,-0.5349576429701947
ACH-000491,-0.4224154497458695
ACH-000495,-0.5273997605799287
ACH-000496,-0.6864750399038089
ACH-000499,-0.6328777679050218
ACH-000500,-0.8059670513128278
ACH-000502,-0.17614670663442333
ACH-000503,-0.951314621177738
ACH-000505,-0.4680315019823032
ACH-000507,-0.5570471427003176
ACH-000510,-0.15343457146962694
ACH-000511,-0.5870215464400274
ACH-000512,-0.7023357554480839
ACH-000516,-0.26041411530237923
ACH-000517,-0.6963957759949722
ACH-000518,-0.8618136182920281
ACH-000520,-0.3015548262494756
ACH-000521,-0.4398146262852643
ACH-000522,-0.5206328459819936
ACH-000524,-0.5728548034750153
ACH-000527,-0.9249171440498202
ACH-000528,-0.6482749731382579
ACH-000537,-1.276680804206763
ACH-000541,-0.3621581698839245
ACH-000542,-0.6505610275864326
ACH-000544,-0.669308367789007
ACH-000545,-0.5758367235105931
ACH-000547,-0.505296444446974
ACH-000548,-0.6069827228209193
ACH-000549,-0.5048808576559186
ACH-000550,-0.2672800392443944
ACH-000552,-0.5779837727592666
ACH-000556,-0.5436097833607985
ACH-000557,-0.2951130695727644
ACH-000569,-0.8138918720893629
ACH-000570,-0.4019142066663306
ACH-000571,-0.4390225174339748
ACH-000573,-0.6149101715006757
ACH-000576,-0.3080489047635921
ACH-000579,-0.5533738814025194
ACH-000580,-0.3658892907120765
ACH-000584,-0.3674933961008873
ACH-000585,-1.169109060310917
ACH-000588,-0.32912761495570475
ACH-000589,-0.25590024455237115
ACH-000591,-0.7563685915122534
ACH-000593,-0.9225911665535508
ACH-000600,-0.5369686312182262
ACH-000601,-0.8618262621387229
ACH-000605,-0.4863921376549492
ACH-000606,-0.9149427340405968
ACH-000608,-1.2295132400173352
ACH-000614,-0.3989056883423788
ACH-000616,-0.4023828178435757
ACH-000618,-1.0523678691631544
ACH-000619,-0.7821871900778553
ACH-000620,-0.4245945555731889
ACH-000621,-0.2832832338700335
ACH-000622,-0.6658027004477247
ACH-000623,-0.8011507198606145
ACH-000624,-0.6332780633598389
ACH-000627,-0.8967015245042921
ACH-000630,-0.7043775859337789
ACH-000631,-0.8947236366893241
ACH-000632,-0.1481794602053699
ACH-000633,-0.6434598214917384
ACH-000637,-0.7089412713437581
ACH-000638,-0.1915196078385702
ACH-000646,-0.4430816756354466
ACH-000647,-0.8160539039051627
ACH-000648,-0.32564083353625295
ACH-000649,-0.5127151318979126
ACH-000651,-0.2596565370009229
ACH-000652,-0.5339766623363794
ACH-000653,-0.3009256195685048
ACH-000657,-0.5769751191318527
ACH-000658,-0.2829808712004452
ACH-000661,-0.2072170550317078
ACH-000662,-0.43122239975968496
ACH-000663,-0.8571690483726939
ACH-000665,-0.623543490512369
ACH-000671,-0.4250107415747584
ACH-000672,-0.3998474950209021
ACH-000673,-0.3226122208663458
ACH-000676,-0.5264174507915533
ACH-000677,-0.6861467248788319
ACH-000681,-0.5314977169396901
ACH-000683,-0.4453768113019078
ACH-000684,-0.021695683345282945
ACH-000688,0.02284333323634981
ACH-000693,-0.3779649333553792
ACH-000694,-0.7192249372026905
ACH-000695,-0.4494798627179569
ACH-000696,-0.5901788914020974
ACH-000697,-0.3501005827771985
ACH-000699,-0.3061256204382049
ACH-000701,-0.8532434619235527
ACH-000706,-1.0579189198214485
ACH-000711,-0.8431170899192489
ACH-000713,-0.6272749808616431
ACH-000714,-0.3833420233905301
ACH-000718,-0.6549654173690916
ACH-000720,-0.9179684521546096
ACH-000721,-0.5636399404956915
ACH-000724,-0.8543836211169156
ACH-000725,-0.8133564081625096
ACH-000732,-0.8311914428373225
ACH-000734,-0.6451625840645391
ACH-000735,-0.6121894819871186
ACH-000736,-0.5384942837993062
ACH-000738,-0.6934333456204634
ACH-000746,-0.2015083515805882
ACH-000747,-1.0349405422029665
ACH-000748,-0.2684473758035913
ACH-000753,-0.7281190327088093
ACH-000756,-0.7105884789217763
ACH-000757,-0.3488174346521605
ACH-000758,-0.8609261986115685
