,ARL4C (10123)
ACH-000004,0.13089511718221766
ACH-000005,0.16935414249603925
ACH-000007,0.07379655011776888
ACH-000009,-0.0895389188263415
ACH-000011,-0.3490704147500931
ACH-000012,0.050515633752366236
ACH-000013,0.026248311570981068
ACH-000014,-0.20860330161440693
ACH-000015,-0.04894984550168297
ACH-000017,0.07983116746236668
ACH-000018,-0.14971363147936692
ACH-000019,0.04971809573824802
ACH-000021,0.01013259846008636
ACH-000022,0.0211730350512609
ACH-000025,0.0413953629606897
ACH-000028,0.043498375346692174
ACH-000030,0.032550482373610516
ACH-000035,0.11945297850590388
ACH-000036,-0.10330480802609583
ACH-000037,-0.13448786279269295
ACH-000039,-0.09410031021243433
ACH-000040,-0.20895911654797455
ACH-000041,-0.09964447389397896
ACH-000042,-0.2330706674609816
ACH-000045,0.00618200172355856
ACH-000047,-0.10416517818067504
ACH-000052,-0.15626349506079915
ACH-000053,-0.03509633711790037
ACH-000054,-0.153953443477259
ACH-000055,0.10284578624270332
ACH-000060,-0.11245307091849216
ACH-000067,-0.20452867380113726
ACH-000070,-0.0938581427401226
ACH-000075,0.04335120678445297
ACH-000078,-0.11724599963965104
ACH-000082,0.012293242748910378
ACH-000085,-0.06914200589218436
ACH-000086,0.02358622812578449
ACH-000087,-0.3114283613673216
ACH-000092,-0.0356379003945849
ACH-000095,-0.06386254028194745
ACH-000097,0.010975346539077729
ACH-000098,-0.2569992702096201
ACH-000099,-0.06459599925134797
ACH-000108,-0.19720756449484667
ACH-000113,-0.10697126915749272
ACH-000116,-0.05768952872631325
ACH-000118,-0.022585536004396625
ACH-000120,0.03972346158075449
ACH-000123,-0.061171284192184976
ACH-000127,-0.031630672364595325
ACH-000128,-0.127332238021659
ACH-000132,-0.1225501505904498
ACH-000133,-0.05144437521992906
ACH-000137,0.06323820086655932
ACH-000138,-0.1604727038427773
ACH-000142,-0.06333413655519238
ACH-000143,-0.025091190702428236
ACH-000146,-0.012259327178682387
ACH-000148,-0.12418470212851025
ACH-000150,-0.05218634967504012
ACH-000152,-0.11182109666117544
ACH-000153,-0.1547831344877333
ACH-000159,-0.08024126949923244
ACH-000160,-0.10880912262143087
ACH-000163,-0.13373819611137402
ACH-000167,0.03724781165370712
ACH-000168,0.026262446894972185
ACH-000169,-0.08211533493980283
ACH-000178,-0.018859401652547632
ACH-000183,0.0328851087891112
ACH-000188,-0.1534804166573084
ACH-000189,-0.19260299669991132
ACH-000190,-0.026077765574362075
ACH-000198,-0.13708731348442693
ACH-000203,-0.29608444767413183
ACH-000204,-0.12869513463645052
ACH-000206,-0.2564653819224661
ACH-000207,-0.14853721468364325
ACH-000208,-0.18545948289667605
ACH-000210,0.05386165477580425
ACH-000211,-0.13096074475937464
ACH-000215,-0.03990634188143387
ACH-000221,0.007992468624255422
ACH-000222,-0.19971678569088167
ACH-000223,-0.05032991730049216
ACH-000226,0.02592414024602989
ACH-000227,0.03735294571072535
ACH-000228,0.022597160502678786
ACH-000231,-0.04083046350666771
ACH-000232,-0.22936334034789835
ACH-000233,-0.011340029732240912
ACH-000234,-0.19073707209578164
ACH-000235,-0.060100656124946375
ACH-000237,-0.18130516493674398
ACH-000238,0.039365278998060166
ACH-000242,-0.08527015586128253
ACH-000243,-0.1475354832322243
ACH-000244,-0.07258924734474381
ACH-000246,-0.2014239555224656
ACH-000248,-0.02670036458785643
ACH-000250,-0.16094675863054206
ACH-000251,0.03260360500373162
ACH-000252,-0.26066651723013284
ACH-000253,-0.1221051982865479
ACH-000255,-0.15098751740450025
ACH-000256,-0.06634809698643161
ACH-000257,0.0919492440602903
ACH-000258,-0.00894611543111398
ACH-000259,0.02565940791795446
ACH-000260,-0.01882513715117267
ACH-000261,-0.02709110950457063
ACH-000262,-0.17066619152551074
ACH-000263,0.10324642527575907
ACH-000264,-0.0024353592737770217
ACH-000265,-0.08054040960285534
ACH-000266,-0.18624396372012533
ACH-000272,-0.28189424739363844
ACH-000274,-0.07322664074216688
ACH-000277,-0.1748233252380966
ACH-000278,-0.22441915297532955
ACH-000279,-0.04545264978654566
ACH-000280,0.012164054266396966
ACH-000281,-0.09816741990738208
ACH-000288,-0.0799145795916915
ACH-000291,-0.14683681392262846
ACH-000293,0.08486659675176418
