,PI16 (221476)
ACH-000004,-0.07218074979585568
ACH-000005,-0.2557700958891436
ACH-000007,-0.09354102591229732
ACH-000009,0.0310776462037136
ACH-000011,-0.0057862749821591605
ACH-000012,0.0747046061345146
ACH-000013,-0.15088657604040767
ACH-000014,-0.14229724398358434
ACH-000015,0.0923742880367756
ACH-000017,-0.11467715328871585
ACH-000018,0.03652494659417601
ACH-000019,-0.07828982792301653
ACH-000021,-0.07190328936345021
ACH-000022,-0.013064358245049227
ACH-000025,-0.022506471698206916
ACH-000028,0.06413265191408894
ACH-000030,-0.06769386789361957
ACH-000035,-0.1144484621214038
ACH-000036,-0.13979332260626118
ACH-000037,-0.03337817734128012
ACH-000039,-0.0639420003511802
ACH-000040,-0.015609998296411784
ACH-000041,0.07521320437258977
ACH-000042,-0.022363722364295933
ACH-000045,-0.09669887357832553
ACH-000047,-0.10074001996867343
ACH-000052,0.008917962733285243
ACH-000053,0.10405595279619116
ACH-000054,-0.017177939180770756
ACH-000055,0.12038889322043955
ACH-000060,0.014571860082701876
ACH-000067,-0.04374519487842715
ACH-000070,-0.21831192629615886
ACH-000075,0.09778880486860203
ACH-000078,0.06547429371310867
ACH-000082,-0.0890155727726077
ACH-000085,0.01246896680603184
ACH-000086,-0.17073271162097756
ACH-000087,-0.011979944421271342
ACH-000092,-0.035843653501239865
ACH-000095,-0.012923464019662852
ACH-000097,-0.11916979684017324
ACH-000098,-0.0629503408608351
ACH-000099,-0.036539612115879284
ACH-000108,-0.01409723324960431
ACH-000113,-0.06508629375331551
ACH-000116,-0.07383809391378934
ACH-000118,-0.02051946664710684
ACH-000120,-0.06811730000615654
ACH-000123,-0.19415818026657547
ACH-000127,-0.14888240601927102
ACH-000128,-0.1018891898992117
ACH-000132,0.054158392933137636
ACH-000133,-0.050672602351490965
ACH-000137,-0.07150019001393633
ACH-000138,0.10330635442135204
ACH-000142,-0.2370379242630571
ACH-000143,-0.0587420458006787
ACH-000146,-0.0204126412453254
ACH-000148,0.001409947905320092
ACH-000150,0.0104097680741981
ACH-000152,-0.2014341637276662
ACH-000153,0.0117258070009963
ACH-000159,0.0005668889015854782
ACH-000160,-0.03693785415055269
ACH-000163,-0.17982117093155375
ACH-000167,0.05321186292189502
ACH-000168,-0.011230041418047995
ACH-000169,0.007193170558407413
ACH-000178,-0.03770718756512402
ACH-000183,-0.07035903539218884
ACH-000188,0.034920851557210315
ACH-000189,-0.1860703713152072
ACH-000190,-0.2879750309045072
ACH-000198,-0.19044109035719956
ACH-000203,0.2497395154625316
ACH-000204,0.0917619881540499
ACH-000206,-0.036727257911950965
ACH-000207,-0.2281596331016645
ACH-000208,0.05652199362945775
ACH-000210,-0.1812027130588608
ACH-000211,0.04197573415769905
ACH-000215,0.027867056062923147
ACH-000221,-0.11805429963666175
ACH-000222,-0.041751191027249404
ACH-000223,-0.04199706758947348
ACH-000226,-0.04575821445607935
ACH-000227,-0.11420961966212992
ACH-000228,-0.15562047576557725
ACH-000231,-0.1485130687999899
ACH-000232,-0.00811943456535609
ACH-000233,-0.05459495423264255
ACH-000234,-0.012635121611899443
ACH-000235,-0.04688103485925417
