,GCSH (2653)
ACH-000004,-0.6824844893868686
ACH-000005,-0.4428768170040339
ACH-000007,-0.5533677243034187
ACH-000009,-0.0971010719437042
ACH-000011,-0.3146567934823562
ACH-000012,-0.23812685221650984
ACH-000013,-0.2168461285356174
ACH-000014,-0.08875512071247724
ACH-000015,-0.2259298402867688
ACH-000017,-0.2361123659484396
ACH-000018,-0.3964830226249828
ACH-000019,-0.6932007492328833
ACH-000021,-0.3452301936509021
ACH-000022,-0.1806982769342689
ACH-000025,-0.3375154837297629
ACH-000028,-0.23180681135857695
ACH-000030,-0.4049161096390821
ACH-000035,-0.34938320941674644
ACH-000036,-0.22321805926738386
ACH-000037,-0.4276360618756385
ACH-000039,-0.2572988907812529
ACH-000040,-0.1839773272636848
ACH-000041,-0.3654672710232898
ACH-000042,-0.3560297224171727
ACH-000045,-0.4364326263477903
ACH-000047,-0.4763344647882368
ACH-000052,-0.3688736036823776
ACH-000053,-0.35923575961412363
ACH-000054,-0.4117704276717036
ACH-000055,-0.5747306743963128
ACH-000060,-0.3590590251068249
ACH-000067,-0.2391839403465536
ACH-000070,-0.3866586832065565
ACH-000075,-0.03631540193913586
ACH-000078,-0.12719975509113446
ACH-000082,-0.3943631258134359
ACH-000085,-0.26725625118300833
ACH-000086,-0.487908761323318
ACH-000087,-0.370443030187054
ACH-000092,-0.21326454865115624
ACH-000095,-0.13122523759492954
ACH-000097,-0.22784842289543356
ACH-000098,-0.2438212106436889
ACH-000099,-0.3127940550224875
ACH-000108,-0.3579748237970125
ACH-000113,-0.566639600803608
ACH-000116,-0.23913450148839044
ACH-000118,-0.45515771225651597
ACH-000120,-0.40220231566957215
ACH-000123,-0.20405202070040865
ACH-000127,-0.4450213224631248
ACH-000128,-0.15118449559349828
ACH-000132,-0.4947181445456936
ACH-000133,-0.2652306498856082
ACH-000137,-0.30003631963438465
ACH-000138,-0.2781322076355334
ACH-000142,-0.3881524043514208
ACH-000143,-0.18279649691626587
ACH-000146,-0.35662366824564906
ACH-000148,-0.4843873831264313
ACH-000150,-0.13417206233540724
ACH-000152,-0.2562201417463492
ACH-000153,-0.27997457071831483
ACH-000159,-0.4422152905796313
ACH-000160,-0.3086181703728041
ACH-000163,-0.24680158866409505
ACH-000167,-0.0005712482110547054
ACH-000168,-0.1832032480793914
ACH-000169,-0.21249122278374707
ACH-000178,-0.2479272828900671
ACH-000183,-0.11755347407958708
ACH-000188,-0.4028957550395655
ACH-000189,-0.5838639615662751
ACH-000190,-0.5367706200855009
ACH-000198,-0.5102318913968968
ACH-000203,-0.034651054642218584
ACH-000204,-0.3499424132094971
ACH-000206,-0.08905725117298434
ACH-000207,-0.2704186711312381
ACH-000208,-0.3927876437341805
ACH-000210,-0.404616290952992
ACH-000211,-0.3040710665946896
ACH-000215,-0.3887835925865833
ACH-000221,-0.3977456863842438
ACH-000222,-0.1413344752468216
ACH-000223,-0.364619288034204
ACH-000226,-0.2632217799845679
ACH-000227,-0.2941568915338739
ACH-000228,-0.2814782198010105
ACH-000231,-0.17702060272571413
ACH-000232,-0.1380431697760882
ACH-000233,-0.14494198452889212
ACH-000234,-0.2525848752513369
ACH-000235,-0.3157144580178942
ACH-000237,-0.4965156336407955
ACH-000238,-0.15067410699570868
ACH-000242,-0.6750996258605402
ACH-000243,-0.23001904598097286
ACH-000244,-0.13961399378226408
ACH-000246,-0.2892209160788852
ACH-000248,-0.16099772089467854
ACH-000250,-0.27781015972124434
ACH-000251,-0.04080055695533442
ACH-000252,-0.24575904375397556
ACH-000253,-0.32214864877752697
ACH-000255,-0.2191104224903488
ACH-000256,-0.25471726628108715
ACH-000257,-0.5456217547179616
ACH-000258,-0.17632073329968442
ACH-000259,-0.3640926238340752
ACH-000260,-0.22657344235492516
ACH-000261,-0.4589588771481251
ACH-000262,-0.3075921685158323
ACH-000263,-0.4536704502484052
ACH-000264,-0.24020938668101316
ACH-000265,-0.30588541171705874
ACH-000266,-0.4289528110099167
ACH-000272,-0.14865691323700336
ACH-000274,-0.15417767371507315
ACH-000277,-0.4583196521354184
ACH-000278,-0.3714733313054129
ACH-000279,-0.31227809400345435
ACH-000280,-0.048621398776726464
ACH-000281,-0.3560303954229431
ACH-000288,-0.3845844133202342
ACH-000291,-0.2132452348513607
ACH-000293,-0.10470931891066199
ACH-000294,-0.5679500250373704
ACH-000295,-0.4503870354179229
ACH-000296,-0.2666468288909972
ACH-000302,-0.09246814354646496
ACH-000304,-0.4168446035919927
ACH-000307,-0.3259390453753607
ACH-000308,-0.21771689708745687
ACH-000310,-0.34182956346218385
ACH-000311,-0.44269857756476416
ACH-000312,-0.2958589939222993
ACH-000315,-0.21919683093117426
ACH-000316,-0.2638819161867316
ACH-000317,-0.30006747313152915
ACH-000318,-0.3232890859731987
ACH-000319,-0.3605581950761299
ACH-000320,-0.5125146673897853
ACH-000322,-0.3458937037165097
ACH-000323,-0.3652827033972914
ACH-000324,-0.09835968393394637
ACH-000329,-0.3445930095590693
ACH-000330,-0.2626865414639937
ACH-000331,-0.3421155331499277
ACH-000332,-0.3947765306015202
ACH-000334,-0.3370496707363066
ACH-000335,-0.41856608295629627
ACH-000336,-0.25545827971033874
ACH-000337,-0.5802454792615355
ACH-000338,-0.4131287010022023
ACH-000339,-0.5754935493822322
ACH-000341,-0.4761459699389962
ACH-000348,-0.3686199104893309
ACH-000350,-0.3204503802067995
ACH-000352,-0.4843929592322053
ACH-000356,-0.5187073720766753
ACH-000361,-0.3781699854551835
ACH-000362,-0.2683846246212147
ACH-000363,-0.6037009393309188
ACH-000364,-0.10120154105651184
ACH-000365,-0.2947168956142897
ACH-000366,-0.4772970602664346
ACH-000368,-0.4332687163740494
ACH-000374,-0.3319745356528491
ACH-000375,-0.4911177756917779
ACH-000376,-0.18786717363592248
ACH-000381,-0.24107022265933564
ACH-000383,-0.337175038488378
ACH-000387,-0.37164082789896097
ACH-000389,-0.301564036793901
ACH-000390,-0.35032528993434314
ACH-000393,-0.2350518585405366
ACH-000395,-0.076451303297831
ACH-000396,-0.6616873131716566
ACH-000397,-0.3340235781804094
ACH-000401,-0.5898903197212774
ACH-000402,-0.3403954055969045
ACH-000403,-0.21220547037333806
ACH-000404,0.08007289022689787
ACH-000406,-0.6781845195975603
ACH-000407,-0.20193810144032728
ACH-000408,-0.12739315567889314
ACH-000410,-0.4058898911409104
ACH-000411,-0.30890138308424475
ACH-000414,-0.21264616847906911
ACH-000415,-0.29739241080013706
ACH-000416,-0.052137732857108286
ACH-000420,-0.39937985130345344
ACH-000421,-0.21721996687001974
ACH-000424,-0.19080030264391232
ACH-000425,-0.2551808322453672
ACH-000426,-0.3751756389838651
ACH-000427,-0.31612445865168004
ACH-000433,-0.35409145846714857
ACH-000435,-0.5664132104736456
ACH-000436,-0.4819986633008989
ACH-000444,-0.6704293394832751
ACH-000445,-0.4110379680659649
ACH-000448,-0.18184835237202965
ACH-000450,-0.5646648307693688
ACH-000452,-0.2817866425633919
ACH-000454,-0.33083675222727343
ACH-000458,-0.2571290385828221
ACH-000459,-0.4343711520043833
ACH-000460,-0.1706802617592696
ACH-000461,-0.2939745372306777
ACH-000463,-0.09850218085076996
ACH-000464,-0.3839646958256023
ACH-000466,-0.2683317227864381
ACH-000467,-0.4482374479757548
ACH-000468,-0.29559373781678466
ACH-000469,-0.3314154985843093
ACH-000470,-0.3267420967164199
ACH-000471,-0.4719579968096463
ACH-000472,-0.3095483517025732
ACH-000473,-0.3043206980184087
ACH-000475,-0.3340436227022973
ACH-000476,-0.36350669085906
ACH-000477,-0.4665201887287549
ACH-000479,-0.5975606326047146
ACH-000480,-0.428190493799926
ACH-000481,-0.21029858625863396
ACH-000483,-0.2844384952823501
ACH-000484,-0.4281672229873331
ACH-000485,-0.21178123308580246
ACH-000486,-0.31905157842331666
ACH-000487,-0.6802852049560072
ACH-000488,-0.06641023671499821
ACH-000490,-0.1742700719940799
ACH-000491,-0.28794441079927385
ACH-000495,-0.38175223368013206
ACH-000496,-0.374111317783008
ACH-000499,-0.4472891257772153
ACH-000500,-0.2066099976019635
ACH-000502,-0.33439136156205346
ACH-000503,-0.15543187075687606
ACH-000505,-0.3837754586080005
ACH-000507,-0.3823543581800745
ACH-000510,-0.2380305094189862
ACH-000511,-0.2782320576177153
ACH-000512,-0.2538203485615297
ACH-000516,-0.3940735828022491
ACH-000517,-0.26363571071165
ACH-000518,-0.16691660852107082
ACH-000520,-0.2646745127974505
ACH-000521,-0.3747958007615916
ACH-000522,-0.5309221040893234
ACH-000524,-0.2715384672044618
ACH-000527,-0.25370904173159115
ACH-000528,-0.33889819521249903
ACH-000537,-0.3815313975453173
ACH-000541,-0.4087501787738941
ACH-000542,-0.2659076684065436
ACH-000544,-0.24066218789968635
ACH-000545,-0.4373606515294929
ACH-000547,-0.6831726668831745
ACH-000548,-0.3723978223709067
ACH-000549,-0.34363103583474675
ACH-000550,-0.40033672773621465
ACH-000552,-0.2293141423446418
ACH-000556,-0.2748092897837832
ACH-000557,-0.21507584135417387
ACH-000569,-0.31078914464203466
ACH-000570,-0.20053057876507666
ACH-000571,-0.3285393583649429
ACH-000573,-0.15175118587726885
ACH-000576,-0.5470709084739079
ACH-000579,-0.3997674672476789
ACH-000580,-0.31044527930676
ACH-000584,-0.23229245133971874
ACH-000585,-0.14870011598362975
ACH-000588,-0.4477087333672243
ACH-000589,-0.3430200190635788
ACH-000591,-0.09707032775655326
ACH-000593,-0.1915141272772923
ACH-000600,-0.3290718818376695
ACH-000601,-0.3213282388824467
ACH-000605,-0.09450723717740517
ACH-000606,-0.33252199832522017
ACH-000608,-0.4143769399714963
ACH-000614,-0.3570886060244591
ACH-000616,-0.4265107646363449
ACH-000618,-0.480641935105286
ACH-000619,-0.09321580953387372
ACH-000620,-0.3412637009433149
ACH-000621,-0.4211627604068752
ACH-000622,-0.3663270803813935
ACH-000623,-0.24251186896250004
ACH-000624,-0.4632444795106348
ACH-000627,-0.172007903965426
ACH-000630,-0.194372228956374
ACH-000631,-0.026303084724458383
ACH-000632,-0.27117558040596546
ACH-000633,-0.3553780408591165
ACH-000637,-0.3310886780159547
ACH-000638,-0.5280653716030937
ACH-000646,-0.369874614539285
ACH-000647,-0.4567499663625637
ACH-000648,-0.4263194339411136
ACH-000649,-0.21855069359362125
ACH-000651,-0.4934333351232394
ACH-000652,-0.41286819754907417
