,GRAP2 (9402)
ACH-000004,-0.15516284605158892
ACH-000005,-0.046766016435866836
ACH-000007,-0.17487436103185597
ACH-000009,-0.019317418345525764
ACH-000011,-0.13742274271519353
ACH-000012,-0.21822451271249568
ACH-000013,-0.14138751869024296
ACH-000014,-0.20091865213753032
ACH-000015,-0.2564025716404606
ACH-000017,-0.05386173711681765
ACH-000018,-0.1415644986784665
ACH-000019,-0.2815553071235566
ACH-000021,-0.2110442650031148
ACH-000022,-0.04896673428340012
ACH-000025,-0.1506207992180852
ACH-000028,-0.13117646629534244
ACH-000030,-0.2557008185332036
ACH-000035,-0.3512487540802231
ACH-000036,-0.16134433989271832
ACH-000037,-0.14281477478135735
ACH-000039,-0.044655665260810315
ACH-000040,-0.00737918321150819
ACH-000041,-0.21355910832794373
ACH-000042,-0.2631854388953003
ACH-000045,-0.20994376065852152
ACH-000047,-0.06512005371066748
ACH-000052,-0.3826054406254643
ACH-000053,-0.16681721543411962
ACH-000054,-0.11769320234510948
ACH-000055,-0.26626976214513043
ACH-000060,-0.25080810474512794
ACH-000067,-0.19580968681390848
ACH-000070,-0.3822356692211719
ACH-000075,-0.048155248383959515
ACH-000078,-0.08124404229373973
ACH-000082,-0.2150996426972013
ACH-000085,-0.18293989140206207
ACH-000086,-0.19871710100273554
ACH-000087,-0.4612281276451379
ACH-000092,-0.1990123249191016
ACH-000095,-0.1835636575055097
ACH-000097,-0.18990140414806714
ACH-000098,-0.18767538399672407
ACH-000099,-0.07841690860796073
ACH-000108,-0.11019008506460487
ACH-000113,-0.16021733709941885
ACH-000116,-0.21073401878446255
ACH-000118,-0.18835412775430935
ACH-000120,0.04004619924792804
ACH-000123,-0.20616404783207387
ACH-000127,-0.1699061058543545
ACH-000128,-0.3971536300286062
ACH-000132,-0.2049684136548373
ACH-000133,-0.23094128839622466
ACH-000137,-0.2843605628008698
ACH-000138,-0.024916238771925014
ACH-000142,-0.21193526105744528
ACH-000143,-0.3494411829500029
ACH-000146,-0.1745211307314536
ACH-000148,-0.1762567497194038
ACH-000150,0.14383238356144756
ACH-000152,-0.04837492518142954
ACH-000153,-0.5126350154326359
ACH-000159,-0.038125518988879364
ACH-000160,-0.21627639227100548
ACH-000163,-0.2627788863372701
ACH-000167,0.022443408442898945
ACH-000168,-0.2871297500279957
ACH-000169,-0.3565261193971702
ACH-000178,-0.21765548765409445
ACH-000183,-0.2528745348036877
ACH-000188,-0.17311840698062506
ACH-000189,-0.07228230992447199
ACH-000190,-0.1316310391449512
ACH-000198,-0.22117580721952604
ACH-000203,-0.2722360017848122
ACH-000204,-0.26051548399406543
ACH-000206,-0.2513334830902427
ACH-000207,-0.12037553166313893
ACH-000208,-0.1940295358519188
ACH-000210,-0.4921113064011625
ACH-000211,-0.17493576062272945
ACH-000215,-0.2156415326833528
ACH-000221,-0.2419932521323703
ACH-000222,-0.1477295069754931
ACH-000223,-0.2899736437660208
ACH-000226,-0.22698857521658175
ACH-000227,-0.3549893349319443
ACH-000228,-0.2406224099309997
ACH-000231,-0.3311024369798226
ACH-000232,-0.2202211891840037
ACH-000233,-0.26980713371488635
ACH-000234,-0.14797028482849464
ACH-000235,-0.1869683358205773
ACH-000237,-0.1612175452941958
ACH-000238,0.008563925214400017
ACH-000242,-0.2396259942445587
ACH-000243,-0.2769045062933852
ACH-000244,-0.110141565209692
ACH-000246,-0.10731324187503866
ACH-000248,-0.2524605732923579
ACH-000250,-0.19517943612478092
ACH-000251,0.05703597499048936
ACH-000252,-0.2343174165533769
ACH-000253,-0.055327938252547865
ACH-000255,-0.3113895535495942
ACH-000256,-0.23896025121054984
ACH-000257,-0.13803715027159374
ACH-000258,-0.2783207830154047
ACH-000259,-0.16452918099853542
ACH-000260,-0.05958487962754828
ACH-000261,-0.14576537841449425
ACH-000262,-0.3164469991312124
ACH-000263,-0.2325564424715719
ACH-000264,-0.214488509153721
ACH-000265,-0.12801374047746547
ACH-000266,-0.14975908182390832
ACH-000272,-0.10113276538821454
ACH-000274,-0.22974704035032545
ACH-000277,-0.02626541597318502
ACH-000278,-0.3784790107274481
ACH-000279,-0.2996351542015512
ACH-000280,-0.13151231682531545
ACH-000281,-0.27420186705613925
ACH-000288,-0.16174847394155378
ACH-000291,-0.1484681695403718
ACH-000293,-0.22597730810005706
ACH-000294,-0.08885195283356477
ACH-000295,-0.3206274054747638
ACH-000296,-0.06716777677494158
ACH-000302,-0.19623756398240852
ACH-000304,-0.3139673537608831
ACH-000307,-0.11533217000477085
ACH-000308,-0.16479615599447436
ACH-000310,-0.08363632404944836
ACH-000311,-0.2788653446311473
ACH-000312,-0.1267670582793466
ACH-000315,-0.10259399164317316
ACH-000316,-0.1219732086263532
ACH-000317,0.025593285891666026
ACH-000318,-0.09029090190461067
ACH-000319,-0.1922679230441662
ACH-000320,-0.2907807766112831
ACH-000322,-0.16985188121687506
ACH-000323,-0.14859836947297927
ACH-000324,-0.2760948513074117
ACH-000329,-0.06790381506571662
ACH-000330,-0.0890797401930117
ACH-000331,-0.2421468404225285
ACH-000332,-0.12757519544749105
ACH-000334,-0.2167470979860253
ACH-000335,-0.03257008557333253
ACH-000336,-0.10669836255825643
ACH-000337,-0.4303386533333428
ACH-000338,-0.5421183587413505
ACH-000339,-0.10163919642977297
ACH-000341,-0.27765797524591873
ACH-000348,-0.2684308696670257
ACH-000350,-0.13039868862296414
ACH-000352,-0.18036290113270287
ACH-000356,-0.11980476569176955
ACH-000361,-0.2509642756597595
ACH-000362,-0.3047945916645665
ACH-000363,-0.20512800657312685
ACH-000364,-0.18883434403089736
ACH-000365,-0.12427760776819008
ACH-000366,-0.13756343069117036
ACH-000368,-0.11569126491917647
ACH-000374,-0.20178927281674525
ACH-000375,-0.2671242884048382
ACH-000376,-0.12899009005637538
ACH-000381,-0.09085200475933823
ACH-000383,-0.10793757078207086
ACH-000387,-0.2774725546855737
ACH-000389,-0.10856064222877417
ACH-000390,-0.19082749840591332
ACH-000393,-0.2558719291256954
ACH-000395,-0.05472132229592189
ACH-000396,-0.07780350630310343
ACH-000397,-0.15817940825468574
ACH-000401,-0.1443462700927246
ACH-000402,0.14741518220491912
