,MTFP1 (51537)
ACH-000004,-0.0837428861774666
ACH-000005,-0.4529314369689586
ACH-000007,-0.11872447743146833
ACH-000009,-0.14715765069236128
ACH-000011,-0.3461325753549121
ACH-000012,-0.2804556035588853
ACH-000013,-0.1440418062650788
ACH-000014,-0.2884077854864467
ACH-000015,-0.2461499266111824
ACH-000017,-0.3346394568376532
ACH-000018,-0.21498513731071095
ACH-000019,-0.3292551278628701
ACH-000021,-0.1457383350097317
ACH-000022,-0.235836889193052
ACH-000025,-0.2823015144788758
ACH-000028,-0.2004151293314684
ACH-000030,-0.22456780675507212
ACH-000035,-0.015626607296202594
ACH-000036,-0.2387267283927794
ACH-000037,-0.17664637756614684
ACH-000039,0.058997439650059234
ACH-000040,-0.08756296407142937
ACH-000041,-0.14282900713977906
ACH-000042,-0.3474135789883732
ACH-000045,-0.10248118439367172
ACH-000047,-0.2815517594295246
ACH-000052,-0.5858531761137905
ACH-000053,-0.1743363993223319
ACH-000054,-0.1122703677040534
ACH-000055,-0.17350912427659834
ACH-000060,-0.16786367332009244
ACH-000067,-0.20003601899743315
ACH-000070,-0.24041911814300476
ACH-000075,-0.4527034813363615
ACH-000078,-0.2077955899644112
ACH-000082,-0.19666295791167748
ACH-000085,-0.21262790523587652
ACH-000086,-0.0970579908198446
ACH-000087,-0.06436451557525133
ACH-000092,-0.2706685225997708
ACH-000095,-0.1730552949730851
ACH-000097,-0.1871922337332691
ACH-000098,-0.2779071104222685
ACH-000099,-0.027212900452446825
ACH-000108,-0.3131852490153625
ACH-000113,0.002837304740287721
ACH-000116,-0.2527213526666021
ACH-000118,-0.20060577299039656
ACH-000120,-0.062233878188942535
ACH-000123,-0.14677049425190025
ACH-000127,-0.14002269926153632
ACH-000128,-0.08138263428379314
ACH-000132,-0.1869015704855962
ACH-000133,-0.13311830194876087
ACH-000137,-0.2581620777943927
ACH-000138,-0.10338595377382293
ACH-000142,-0.11870804901642247
ACH-000143,-0.17240580887433782
ACH-000146,-0.1879892772403064
ACH-000148,-0.16238948359393862
ACH-000150,0.009619211622956177
ACH-000152,-0.20200595612580985
ACH-000153,-0.24996598225291924
ACH-000159,-0.1128549164904601
ACH-000160,-0.172425237887342
ACH-000163,-0.06940395719553942
ACH-000167,-0.4384191608250039
ACH-000168,-0.22153763151225989
ACH-000169,-0.24290672759918785
ACH-000178,-0.16176556523556312
ACH-000183,-0.26664278751778064
ACH-000188,-0.07052280818992761
ACH-000189,-0.21339938626566074
ACH-000190,-0.19404446924449184
ACH-000198,-0.20821571274392367
ACH-000203,0.3835773531490016
ACH-000204,-0.020094963545376168
ACH-000206,-0.298278040122624
ACH-000207,-0.4448660513508098
ACH-000208,-0.06542428853774472
ACH-000210,-0.3073237953012161
ACH-000211,-0.10821253209266027
ACH-000215,-0.20931069716201076
ACH-000221,-0.32349390157297125
ACH-000222,-0.08712420133467863
ACH-000223,-0.2466383153414033
ACH-000226,-0.19130417492524093
ACH-000227,-0.21432644984383165
ACH-000228,-0.3125996501992171
ACH-000231,-0.12859158784717695
ACH-000232,-0.2679840930865845
ACH-000233,-0.25041116034309563
ACH-000234,-0.13322634123844931
ACH-000235,-0.14087430063407202
ACH-000237,-0.268200078270194
ACH-000238,-0.21293340519512186
ACH-000242,-0.14283802019157998
ACH-000243,-0.270625786719006
ACH-000244,-0.1919705966475694
ACH-000246,-0.17948737010376792
ACH-000248,-0.2387899329754169
ACH-000250,-0.12139824583241945
ACH-000251,-0.2362078940945917
ACH-000252,0.0009204581646097316
ACH-000253,-0.2226744833264928
ACH-000255,-0.1788594926112267
ACH-000256,-0.3037017626447701
ACH-000257,-0.25601186166015644
ACH-000258,-0.20404994640507296
ACH-000259,-0.20635371819552045
ACH-000260,-0.2094373078556981
ACH-000261,-0.18091863059950208
ACH-000262,-0.2567628195072283
ACH-000263,-0.3856624054990558
ACH-000264,-0.1543046265706777
ACH-000265,-0.16469784985065716
ACH-000266,-0.2091450114218419
ACH-000272,-0.2371459374808903
ACH-000274,-0.20050782333443634
ACH-000277,-0.07494312021816994
ACH-000278,-0.33222238901766865
ACH-000279,-0.2173669717647864
ACH-000280,-0.08531715420684881
ACH-000281,-0.0964513662775568
ACH-000288,-0.18195728274387687
ACH-000291,-0.2960088595018078
ACH-000293,-0.19994709005610045
ACH-000294,-0.04008719359237158
ACH-000295,0.05398027448882762
ACH-000296,-0.23723826948801735
ACH-000302,-0.11512708521881004
ACH-000304,-0.2488884786993877
ACH-000307,-0.19152502688536105
ACH-000308,-0.21778989393443296
ACH-000310,-0.1694069435120423
ACH-000311,-0.07800180710156622
ACH-000312,-0.17106215387209858
ACH-000315,-0.1375713402452058
ACH-000316,-0.10971478355126092
ACH-000317,-0.18920167876036234
ACH-000318,-0.2305520450965109
ACH-000319,-0.12104212184228308
