,NOL9 (79707)
ACH-000004,-0.9216949300261108
ACH-000005,-0.5981390621444661
ACH-000007,-0.8998745742150122
ACH-000009,-1.0166067770661524
ACH-000011,-1.0220147873478391
ACH-000012,-0.9638565668621952
ACH-000013,-0.6936151840111202
ACH-000014,-1.0203701661611326
ACH-000015,-1.1457175128864745
ACH-000017,-0.9008347543807071
ACH-000018,-1.182676411437914
ACH-000019,-0.6065062633955774
ACH-000021,-0.944477537410248
ACH-000022,-1.1372855920760374
ACH-000025,-0.9430834803318958
ACH-000028,-0.8354465032935638
ACH-000030,-1.022409535101202
ACH-000035,-1.2014781575809703
ACH-000036,-1.0133788985772711
ACH-000037,-1.2624302346148328
ACH-000039,-0.9260987310438864
ACH-000040,-0.9272789893343326
ACH-000041,-0.9622153761250156
ACH-000042,-0.9437702833097856
ACH-000045,-0.7700541450406185
ACH-000047,-0.8940390195534664
ACH-000052,-1.1506238992159823
ACH-000053,-0.9199714901391478
ACH-000054,-0.8750696325013542
ACH-000055,-1.0541845167954806
ACH-000060,-0.9553426427135492
ACH-000067,-1.0443038238711404
ACH-000070,-0.8725067944483709
ACH-000075,-0.9897407414993336
ACH-000078,-0.9615532332075128
ACH-000082,-0.698573562530654
ACH-000085,-0.9211270774955772
ACH-000086,-1.0668074333689632
ACH-000087,-0.8693385961708974
ACH-000092,-0.9511631116348241
ACH-000095,-0.8958951479286692
ACH-000097,-0.9597045946785786
ACH-000098,-1.2546120707302346
ACH-000099,-1.0842441784445969
ACH-000108,-0.9644906927704944
ACH-000113,-0.99962024871685
ACH-000116,-0.992158848089024
ACH-000118,-0.9226166979723018
ACH-000120,-1.114012412628699
ACH-000123,-0.978128872029188
ACH-000127,-0.996978981121776
ACH-000128,-1.1174450487822378
ACH-000132,-1.0260285753447886
ACH-000133,-1.036828141370462
ACH-000137,-1.0685444174539822
ACH-000138,-1.0021244027794634
ACH-000142,-1.0776526059705125
ACH-000143,-0.9689543984267719
ACH-000146,-0.7930721017427902
ACH-000148,-1.118581648595367
ACH-000150,-1.046602517682568
ACH-000152,-1.1114107930867831
ACH-000153,-1.1789497460913496
ACH-000159,-0.9855315041124724
ACH-000160,-1.3849721749530968
ACH-000163,-1.07218096504026
ACH-000167,-0.8048466037178615
ACH-000168,-1.0015761287185203
ACH-000169,-1.0639727330340485
ACH-000178,-0.9016330152081552
ACH-000183,-1.0612816833398329
ACH-000188,-0.7031851858313012
ACH-000189,-1.0522002095522582
ACH-000190,-0.8879818614836631
ACH-000198,-0.8394923921529162
ACH-000203,-1.2735956371120811
ACH-000204,-0.9697818142781572
ACH-000206,-0.9023556797851764
ACH-000207,-0.9991271197552036
ACH-000208,-1.0555875775078138
ACH-000210,-0.9633480097660232
ACH-000211,-0.9142952678773336
ACH-000215,-1.0513578788440812
ACH-000221,-0.7767497230487149
ACH-000222,-0.919657600615172
ACH-000223,-0.8272920214779571
ACH-000226,-1.016475639395395
ACH-000227,-0.8063590667560113
ACH-000228,-1.1865209486051853
ACH-000231,-0.9846433981089364
ACH-000232,-1.0829414393834629
ACH-000233,-0.8851552142536383
ACH-000234,-1.0775517921741051
ACH-000235,-0.9927903380876156
ACH-000237,-1.0958474338573334
ACH-000238,-1.059669836798218
ACH-000242,-1.117052583674552
ACH-000243,-0.8655788068671149
ACH-000244,-0.8009560718482512
ACH-000246,-1.2119455182360148
ACH-000248,-1.0184204913756152
ACH-000250,-0.9408214032318156
ACH-000251,-1.0658512792296035
ACH-000252,-1.0887853887135177
ACH-000253,-1.0483853923500692
ACH-000255,-0.9129610591159236
ACH-000256,-0.7294158104055409
ACH-000257,-0.8632003626243641
ACH-000258,-0.9746725614618524
ACH-000259,-0.8909295118420649
ACH-000260,-1.043712840015804
ACH-000261,-0.98359465918891
ACH-000262,-1.0801847341226074
ACH-000263,-0.9265090562681918
ACH-000264,-0.5613027085370734
ACH-000265,-0.9045042085012591
ACH-000266,-0.8759413613101374
ACH-000272,-1.003150577509884
ACH-000274,-0.9361088492943258
ACH-000277,-0.8123577625868275
ACH-000278,-0.867658380203959
ACH-000279,-1.0158031533461254
ACH-000280,-1.0069812071678823
ACH-000281,-1.0402168653265105
ACH-000288,-1.0288318220291321
ACH-000291,-0.9245568133529096
ACH-000293,-0.7331014639347174
ACH-000294,-1.0062737841000964
ACH-000295,-0.9950033388116784
ACH-000296,-0.8097593196804836
ACH-000302,-1.0324791072020023
ACH-000304,-0.9219363892810374
ACH-000307,-1.0561290807407056
ACH-000308,-0.8804830318880326
ACH-000310,-0.9191161175782848
ACH-000311,-0.9224417266468984
ACH-000312,-1.1204124327891916
ACH-000315,-1.279881394237009
ACH-000316,-1.14834544522033
ACH-000317,-1.3110374844112311
ACH-000318,-1.1461567400595642
ACH-000319,-1.0523206281550723
ACH-000320,-1.1295429123266656
ACH-000322,-1.0548826770753394
ACH-000323,-1.1798559502983128
ACH-000324,-0.9946335028564552
ACH-000329,-0.8539076091931397
ACH-000330,-1.1214019242876625
ACH-000331,-1.0253488920288578
ACH-000332,-1.0727331541656566
ACH-000334,-0.9104530279123756
ACH-000335,-1.1189648924493112
ACH-000336,-1.1714083027185709
ACH-000337,-1.0643870057923497
ACH-000338,-1.060721648247887
ACH-000339,-0.9032108874960048
ACH-000341,-0.8115594386872991
ACH-000348,-0.8748168869385986
ACH-000350,-0.8552350471007657
ACH-000352,-1.0546076280643026
ACH-000356,-0.8809529451116267
ACH-000361,-0.9835488078146768
ACH-000362,-0.8155656101417528
ACH-000363,-0.7382273932194388
ACH-000364,-0.9999784527469122
ACH-000365,-1.2039678519515271
ACH-000366,-1.0642198126412878
