,BTAF1 (9044)
ACH-000004,-0.05537593225761299
ACH-000005,-0.0222601409379682
ACH-000007,-0.29186500742813426
ACH-000009,-0.3327499524025679
ACH-000011,-0.24707373268256816
ACH-000012,-0.038239320004565015
ACH-000013,-0.1453342642131341
ACH-000014,-0.2484087231840112
ACH-000015,-0.4466679359721772
ACH-000017,-0.3185025872284002
ACH-000018,-0.328879960676419
ACH-000019,-0.3675562134374141
ACH-000021,-0.17523188594827574
ACH-000022,-0.2425519560890617
ACH-000025,-0.17252166498969645
ACH-000028,-0.5826020188994135
ACH-000030,-0.16941928087133085
ACH-000035,-0.20366024595613275
ACH-000036,-0.2433989713871464
ACH-000037,-0.27321351004066263
ACH-000039,-0.4295894990213077
ACH-000040,-0.43450404632450657
ACH-000041,-0.4645545780653965
ACH-000042,-0.3464598235430527
ACH-000045,-0.4027642253387937
ACH-000047,-0.2663554501516288
ACH-000052,-0.1833786646715852
ACH-000053,-0.02112628832192619
ACH-000054,0.04623891192227152
ACH-000055,-0.3386829736773396
ACH-000060,-0.4035787606417401
ACH-000067,-0.6167770424746628
ACH-000070,-0.6873175727393104
ACH-000075,-0.15486740534760765
ACH-000078,-0.1959782576950531
ACH-000082,-0.4357436636782628
ACH-000085,-0.34013401251313885
ACH-000086,-0.0947104351353771
ACH-000087,-0.4260395474052193
ACH-000092,-0.17635549602087988
ACH-000095,-0.4067963375031825
ACH-000097,-0.6268828961434929
ACH-000098,-0.15444768808201462
ACH-000099,-0.3953896102752199
ACH-000108,-0.17384878891949576
ACH-000113,-0.3189829031673961
ACH-000116,-0.5532923459239808
ACH-000118,-0.1902478240324324
ACH-000120,-0.4968703014073081
ACH-000123,-0.34984943615936875
ACH-000127,-0.36064293497752137
ACH-000128,-0.4441256474326958
ACH-000132,-0.1596177986574678
ACH-000133,-0.4870062696013334
ACH-000137,-0.3075068726960136
ACH-000138,-0.3463188299140395
ACH-000142,-0.5115147927895095
ACH-000143,-0.4624289298576132
ACH-000146,-0.3516629872971446
ACH-000148,-0.43581519357110493
ACH-000150,0.10158566234166626
ACH-000152,-0.5596820264912029
ACH-000153,-0.12892822481559388
ACH-000159,-0.2425638961675817
ACH-000160,-0.25999847416255445
ACH-000163,-0.3263927916560897
ACH-000167,0.059693708571152075
ACH-000168,-0.3323123136103905
ACH-000169,-0.26497314549101336
ACH-000178,-0.4733328247506743
ACH-000183,-0.4992417249409787
ACH-000188,-0.4454174455516303
ACH-000189,-0.3222242782047246
ACH-000190,-0.4095431092356742
ACH-000198,-0.4089936864164893
ACH-000203,-0.2580914307406721
ACH-000204,-0.4515555368334653
ACH-000206,-0.20395168306955894
ACH-000207,-0.6689781616790529
ACH-000208,-0.3617581123639502
ACH-000210,-0.1407078456887139
ACH-000211,-0.4544321661361493
ACH-000215,-0.3108103252646572
ACH-000221,-0.3561771449957358
ACH-000222,-0.4516418117228482
ACH-000223,-0.3830153498331399
ACH-000226,-0.21217673829115505
ACH-000227,-0.2445621777540518
ACH-000228,-0.25308051310738544
ACH-000231,-0.5134925911722011
ACH-000232,-0.5050201223702449
ACH-000233,0.02230591591197722
ACH-000234,-0.23270794083833865
ACH-000235,-0.4091804302868703
ACH-000237,-0.19071252740293876
ACH-000238,-0.3965110056004974
ACH-000242,-0.4634039107414528
ACH-000243,-0.645141438087567
ACH-000244,-0.11931373437458095
ACH-000246,-0.1783173006632456
ACH-000248,-0.14281316211223655
ACH-000250,-0.3787339796349838
ACH-000251,-0.005154777713510807
ACH-000252,-0.2440573688133036
ACH-000253,-0.1855355522562596
ACH-000255,0.01797332085875453
ACH-000256,-0.5071917507524807
ACH-000257,-0.35951341818824417
ACH-000258,-0.009184423708526335
ACH-000259,-0.3100651359080657
ACH-000260,-0.4496638128060237
ACH-000261,-0.3295234378161065
ACH-000262,-0.4747789706002302
ACH-000263,-0.15500463508146795
ACH-000264,-0.34951773697845523
ACH-000265,-0.1705061909198468
ACH-000266,-0.02717584233389756
ACH-000272,-0.3406204610324778
ACH-000274,0.1825744775478756
ACH-000277,-0.4223638026167103
ACH-000278,-0.393661683769388
ACH-000279,-0.3987727654040659
ACH-000280,-0.12282208945169047
ACH-000281,-0.3550027382708639
ACH-000288,-0.15265539466139275
ACH-000291,-0.27634314884247746
ACH-000293,-0.4370526883600333
ACH-000294,-0.1295994051191092
ACH-000295,-0.4089155860245494
ACH-000296,-0.4439773680345371
ACH-000302,-0.29808664107345045
ACH-000304,-0.4217614098506189
ACH-000307,-0.26426462504146875
ACH-000308,-0.2577682420899973
ACH-000310,-0.3449990929123805
ACH-000311,-0.17065588952975372
ACH-000312,-0.4473904197322748
ACH-000315,-0.7956747471292906
ACH-000316,-0.2358734328724692
ACH-000317,-0.5027389835233738
ACH-000318,-0.27774755414632074
ACH-000319,-0.22052965496652302
ACH-000320,-0.30283786563018344
ACH-000322,-0.31932992394937737
ACH-000323,-0.32483941382513565
ACH-000324,-0.17269680232251272
ACH-000329,-0.1263051575489992
ACH-000330,-0.5122952625531565
ACH-000331,-0.5287018021197316
ACH-000332,-0.422194047513537
ACH-000334,-0.7983236001858833
ACH-000335,-0.4446845767887161
ACH-000336,-0.5162691959384539
ACH-000337,-0.2139515499786649
ACH-000338,-0.5168777327805575
ACH-000339,-0.004519760933051354
ACH-000341,-0.3777996272248712
ACH-000348,-0.2914496025180773
ACH-000350,-0.2996872405352058
ACH-000352,-0.3687599170539863
ACH-000356,-0.17686395694555165
ACH-000361,0.4543453369165358
ACH-000362,-0.4287387400984332
ACH-000363,-0.435761907261844
ACH-000364,-0.4454962622089281
