,ZFR2 (23217)
ACH-000004,-0.0828431016022314
ACH-000005,-0.0690390332931403
ACH-000007,-0.02656416725726944
ACH-000009,-0.12940586642193389
ACH-000011,-0.1268952117919472
ACH-000012,-0.28863327624849583
ACH-000013,-0.17904517039004322
ACH-000014,-0.1939149818504397
ACH-000015,-0.1782695274303401
ACH-000017,-0.08146556123451199
ACH-000018,-0.04029572571669879
ACH-000019,-0.4709695100851952
ACH-000021,-0.24224254215291266
ACH-000022,-0.11741873196249228
ACH-000025,-0.07093204310366368
ACH-000028,-0.2426667749693305
ACH-000030,-0.15945845799142927
ACH-000035,-0.10299305120000063
ACH-000036,-0.06793998079805877
ACH-000037,-0.14236783890687468
ACH-000039,-0.10169668868403338
ACH-000040,-0.14277892476710305
ACH-000041,-0.03481003649408202
ACH-000042,-0.06886018049116695
ACH-000045,-0.21606891188750135
ACH-000047,-0.1821511910795832
ACH-000052,-0.22450816073829652
ACH-000053,-0.2100071244762387
ACH-000054,-0.17547595923037426
ACH-000055,-0.22654446607032305
ACH-000060,-0.08759372219495244
ACH-000067,-0.054540139587895074
ACH-000070,-0.14656024082341473
ACH-000075,0.08651782502930734
ACH-000078,-0.07375149184143537
ACH-000082,-0.20759400296723116
ACH-000085,-0.2430146721635281
ACH-000086,-0.08676952765514583
ACH-000087,-0.21439754900133887
ACH-000092,-0.0541003730193819
ACH-000095,-0.1361849287703661
ACH-000097,-0.07135135482528622
ACH-000098,-0.20405845421547475
ACH-000099,-0.2013212804215337
ACH-000108,-0.20360109287604988
ACH-000113,0.0016125366538137045
ACH-000116,-0.0484431138091817
ACH-000118,-0.20155513464445773
ACH-000120,-0.2203014643795834
ACH-000123,-0.1332778815437074
ACH-000127,-0.1713642054790989
ACH-000128,-0.12379316400367515
ACH-000132,-0.14257236513644506
ACH-000133,-0.08825172433994717
ACH-000137,-0.2259136602439692
ACH-000138,-0.05573343070842384
ACH-000142,-0.24519284706295594
ACH-000143,-0.2376791963070433
ACH-000146,-0.025925179937229068
ACH-000148,-0.143813627657873
ACH-000150,-0.2863860000693144
ACH-000152,-0.22075397193639135
ACH-000153,-0.04448913348790482
ACH-000159,-0.3034599497219604
ACH-000160,-0.03274446168034166
ACH-000163,-0.2240495645809412
ACH-000167,-0.16752303973856233
ACH-000168,-0.07139687789795664
ACH-000169,-0.16494900302026785
ACH-000178,-0.21454154337776368
ACH-000183,-0.2865065675819559
ACH-000188,-0.21677372983433388
ACH-000189,-0.2493399171905565
ACH-000190,-0.08133769335081832
ACH-000198,-0.04861056497954317
ACH-000203,-0.25290057175159114
ACH-000204,-0.3231190164827792
ACH-000206,-0.2175033027003345
ACH-000207,-0.07297898166679169
ACH-000208,0.08756547854487108
ACH-000210,-0.12307556087975105
ACH-000211,-0.12582342983324274
ACH-000215,-0.10630226304324214
ACH-000221,-0.13681016588219758
ACH-000222,0.002051093079647517
ACH-000223,-0.15955824025433646
ACH-000226,-0.19055726784576232
ACH-000227,-0.1485646133171663
ACH-000228,-0.08927569701739761
ACH-000231,-0.0958779261290604
ACH-000232,-0.004370299395383085
ACH-000233,-0.13902497558124702
ACH-000234,-0.15759164362852915
ACH-000235,-0.08914938779888829
ACH-000237,-0.24822279378691334
ACH-000238,-0.2560971490732301
ACH-000242,-0.2209219090225253
ACH-000243,-0.14695745247711886
ACH-000244,-0.24699536609563494
ACH-000246,-0.1912824133990572
ACH-000248,-0.18244244121300512
ACH-000250,-0.08839189680144613
ACH-000251,-0.4154421054553198
ACH-000252,-0.3561715959096879
ACH-000253,-0.16394930971019622
ACH-000255,-0.23445438020916434
ACH-000256,-0.05806383409762601
ACH-000257,-0.07562199309365199
ACH-000258,-0.05196966906112668
ACH-000259,-0.15060025902249444
ACH-000260,-0.14625814203460466
ACH-000261,-0.1316338898384847
ACH-000262,-0.2959110968976434
ACH-000263,-0.3918169490193722
ACH-000264,-0.1327736914408109
ACH-000265,-0.12215366851975312
ACH-000266,-0.17993980299035325
ACH-000272,-0.13894109741890195
ACH-000274,-0.20408548022063325
ACH-000277,-0.22463424535635027
ACH-000278,-0.2496331324984524
ACH-000279,-0.02089248043125751
ACH-000280,-0.13456686487425853
ACH-000281,-0.16723264135200547
ACH-000288,-0.04092866618922095
ACH-000291,-0.12438463748470265
ACH-000293,-0.2169017587882337
ACH-000294,-0.15413639285578656
ACH-000295,-0.04946233872063721
ACH-000296,-0.2422286169026717
ACH-000302,-0.14359153146293144
ACH-000304,-0.16215753166650607
ACH-000307,-0.07898957338886317
ACH-000308,-0.17762376451085596
ACH-000310,-0.2700462345623725
ACH-000311,-0.20348650400931567
ACH-000312,-0.13084364026138084
ACH-000315,-0.026879205715724514
ACH-000316,-0.20608700825744766
ACH-000317,-0.05971728944793709
ACH-000318,-0.2294120760664665
ACH-000319,-0.2389305541652172
ACH-000320,-0.07177882178867212
ACH-000322,0.028698068978117462
ACH-000323,-0.202682481895628
ACH-000324,-0.024602962755905063
ACH-000329,-0.08715437005731899
ACH-000330,-0.2296368024023828
ACH-000331,-0.14639708783213212
ACH-000332,-0.10542285633916296
ACH-000334,0.04159833725570694
ACH-000335,-0.18401999445331466
ACH-000336,0.08999090522825089
ACH-000337,-0.05672369272021064
ACH-000338,-0.3897668782748547
ACH-000339,-0.2565824692453368
ACH-000341,-0.33294540810987805
ACH-000348,-0.09993738324612207
ACH-000350,-0.11317855936053135
ACH-000352,-0.05338356772845472
ACH-000356,-0.19230852675274415
ACH-000361,-0.0694154042356642
ACH-000362,0.07111068325757923
ACH-000363,-0.13509063014068648
ACH-000364,-0.12020529108038686
ACH-000365,-0.1693514659865024
ACH-000366,-0.2606220207459677
ACH-000368,-0.05350188969713776
ACH-000374,0.03817157291152765
ACH-000375,-0.1931900583981619
ACH-000376,-0.01167566470361353
ACH-000381,-0.1011780003396182
ACH-000383,-0.1636027714396794
ACH-000387,-0.21659736773234026
ACH-000389,-0.28152021651544945
ACH-000390,-0.10124768275036557
ACH-000393,0.004821825973874511
ACH-000395,-0.1784306273519199
ACH-000396,-0.3617234991323089
ACH-000397,-0.030151265360858125
ACH-000401,-0.27071647622592393
ACH-000402,-0.07247692957752215
ACH-000403,-0.18485387905836467
ACH-000404,-0.24721944433304924
ACH-000406,-0.11158990253863997
ACH-000407,-0.29129040180677673
ACH-000408,-0.15777611279615664
ACH-000410,-0.14427496621980715
ACH-000411,-0.2734735068830371
ACH-000414,-0.11767938927390365
ACH-000415,-0.013455361967127624
ACH-000416,-0.16701653250030904
ACH-000420,-0.2599042656577984
ACH-000421,-0.07317791107463226
ACH-000424,-0.07451098106352785
ACH-000425,-0.2703020790581126
ACH-000426,0.00011065786712608171
ACH-000427,-0.14963510105817818
ACH-000433,-0.3441152378236202
ACH-000435,0.018279399268600772
ACH-000436,-0.2103156819186748
ACH-000444,-0.03692467832904036
ACH-000445,-0.28628149063047675
ACH-000448,-0.1285734799818022
ACH-000450,-0.22287975520377967
ACH-000452,-0.043282608246755734
ACH-000454,-0.19400254693057728
ACH-000458,-0.14180779112820555
ACH-000459,-0.03126658894709376
ACH-000460,-0.02456049281455676
ACH-000461,-0.0025134097870674783
ACH-000463,-0.13451155397628506
ACH-000464,-0.05568755351342095
ACH-000466,-0.06331068324893104
ACH-000467,-0.11827985392561766
ACH-000468,-0.18501378393136544
ACH-000469,-0.2161412687994828
ACH-000470,0.08789759392773525
ACH-000471,-0.09985442817602516
ACH-000472,-0.1507177632355522
ACH-000473,-0.13884155001937795
ACH-000475,-0.05556061632840849
ACH-000476,0.009498454503944228
ACH-000477,-0.1299931330577168
ACH-000479,0.01685322785270767
ACH-000480,-0.08524420322737651
ACH-000481,-0.07836024708571697
ACH-000483,-0.19170889286407145
ACH-000484,-0.1979084797590424
ACH-000485,0.01758207972880461
ACH-000486,-0.08114090121398469
ACH-000487,-0.12326521459893475
ACH-000488,-0.17427423283638127
ACH-000490,-0.16365778040764925
ACH-000491,-0.13468120431146574
ACH-000495,-0.2852334536542527
ACH-000496,-0.037633335609909065
ACH-000499,-0.2190469172208234
ACH-000500,-0.4377541556618621
ACH-000502,-0.20958831231812508
ACH-000503,-0.1629133679599648
ACH-000505,-0.12787153479667412
ACH-000507,-0.011826463756678493
ACH-000510,-0.18195444953474754
ACH-000511,-0.2919857168390268
ACH-000512,-0.09626582702911296
ACH-000516,-0.16222641751662287
ACH-000517,-0.16797141089423442
ACH-000518,-0.11260792433594655
ACH-000520,-0.2855530452241172
ACH-000521,-0.12774377782857205
ACH-000522,-0.18221994251175685
ACH-000524,-0.1841141742122457
ACH-000527,-0.21380897067584384
ACH-000528,-0.19580503437055824
ACH-000537,0.01904487297137495
ACH-000541,-0.09311793952596856
ACH-000542,-0.17413796005540955
ACH-000544,0.00941165641170584
ACH-000545,-0.1415220791942623
ACH-000547,0.07923782439729933
ACH-000548,0.005068228104055997
ACH-000549,-0.16294318944406666
ACH-000550,-0.1366858152323424
ACH-000552,-0.0544231574838679
ACH-000556,-0.3115799293893803
ACH-000557,0.020494014763460616
ACH-000569,-0.01940414200459421
ACH-000570,-0.08691979138358469
ACH-000571,-0.19937979622746946
ACH-000573,-0.05064506710498953
ACH-000576,-0.1020492011726626
ACH-000579,0.05649726938194954
ACH-000580,0.034001657684165965
ACH-000584,-0.1724154813823485
ACH-000585,-0.2726734163790435
ACH-000588,-0.025723342891316232
ACH-000589,-0.0436115352468042
ACH-000591,-0.1630078524355402
ACH-000593,-0.10334368182043542
ACH-000600,-0.08149414067814376
ACH-000601,-0.3432272637503553
ACH-000605,-0.05922242270407248
ACH-000606,-0.049194144458940936
ACH-000608,-0.16844577301249006
ACH-000614,-0.00025796280101740137
ACH-000616,-0.15899074367829766
ACH-000618,-0.027107497606464824
ACH-000619,-0.05758854283498234
ACH-000620,-0.24164660200984306
ACH-000621,-0.2888965120841184
ACH-000622,-0.057151452407776665
ACH-000623,-0.27476559538912304
ACH-000624,-0.2650472603215744
ACH-000627,-0.19728241641338795
ACH-000630,-0.19443681940864144
ACH-000631,-0.059118903344161734
ACH-000632,-0.19101341375714312
ACH-000633,-0.15791041338437506
ACH-000637,-0.07480618015599748
ACH-000638,-0.1921496084600871
