,DLST (1743)
ACH-000004,-0.6662790065704443
ACH-000005,-0.7600703920571931
ACH-000007,-0.22067134647729827
ACH-000009,-0.29001382064857906
ACH-000011,-0.8123050855748191
ACH-000012,-0.2481023309091873
ACH-000013,-0.1460197789388782
ACH-000014,-0.3045061078809489
ACH-000015,-0.08264797870073012
ACH-000017,-0.4510138401999183
ACH-000018,-0.27420401338038725
ACH-000019,-0.3600324171169628
ACH-000021,-0.10380080378535657
ACH-000022,-0.17106066438045914
ACH-000025,-0.4071383014563933
ACH-000028,-0.0737895824872372
ACH-000030,-0.2571547606292309
ACH-000035,-0.1985281536925288
ACH-000036,-0.0449546015042434
ACH-000037,-0.2574068202667425
ACH-000039,-0.2571056287690854
ACH-000040,-0.13856714586085925
ACH-000041,-0.4128063412153997
ACH-000042,-0.3312825468761702
ACH-000045,-0.4553717159283245
ACH-000047,-0.5971281559323515
ACH-000052,-0.017877167631360397
ACH-000053,-0.5587628862968407
ACH-000054,-0.3279760106350137
ACH-000055,-0.4596311662132452
ACH-000060,-0.2444814843388097
ACH-000067,-0.21233264603527374
ACH-000070,-0.4596494939734515
ACH-000075,-0.17461490907018676
ACH-000078,-0.21039710309534249
ACH-000082,-0.30944062913913084
ACH-000085,0.07217970684485772
ACH-000086,-0.08860431542570464
ACH-000087,-0.4568459972553258
ACH-000092,-0.2934348201914885
ACH-000095,-0.04399672352357237
ACH-000097,-0.4048570527561172
ACH-000098,-0.18327870523320533
ACH-000099,-0.31310526285205365
ACH-000108,-0.4053784792784659
ACH-000113,-0.2175065981279969
ACH-000116,-0.0428016094779696
ACH-000118,-0.30343210414923816
ACH-000120,-0.20951862337299554
ACH-000123,-0.16294008160964615
ACH-000127,-0.3906958895167232
ACH-000128,-0.12363259469945903
ACH-000132,-0.0829985354927802
ACH-000133,-0.1688232244866116
ACH-000137,-0.031347566610361165
ACH-000138,-0.35397126760693826
ACH-000142,-0.3102814687989318
ACH-000143,-0.2854179683551797
ACH-000146,-0.7084197456032361
ACH-000148,-0.3571646078904613
ACH-000150,0.16017724555617985
ACH-000152,-0.2326693835395032
ACH-000153,-0.32507760930125684
ACH-000159,-0.4608513336897373
ACH-000160,0.03806079215621693
ACH-000163,-0.13909200889432494
ACH-000167,0.619465410184192
ACH-000168,-0.3508639368209493
ACH-000169,-0.02416930060088758
ACH-000178,-0.13557198426504402
ACH-000183,-0.5160005782602631
ACH-000188,-0.07785897953093787
ACH-000189,-0.5075071524778233
ACH-000190,0.01971684035455416
ACH-000198,-0.4688990847662097
ACH-000203,-0.12012064604675332
ACH-000204,-0.5541855969451159
ACH-000206,-0.5302143573663759
ACH-000207,-0.4116921518402149
ACH-000208,-0.2598678714078181
ACH-000210,-0.2313427209206117
ACH-000211,-0.20863792294047007
ACH-000215,-0.1943045407362038
ACH-000221,-0.4569254097200049
ACH-000222,-0.4851254694847716
ACH-000223,-0.17991411853066686
ACH-000226,-0.5236833107848519
ACH-000227,-0.14862749459107155
ACH-000228,-0.2626616284560377
ACH-000231,-0.16957882731221166
ACH-000232,-0.028415823580240526
ACH-000233,-0.3233155214130309
ACH-000234,-0.24545058088653404
ACH-000235,-0.5860595510615596
ACH-000237,-0.08997199082991114
ACH-000238,-0.1573499712771586
ACH-000242,-0.1869199016566187
ACH-000243,-0.17588511975763724
ACH-000244,-0.17134399334908754
ACH-000246,-0.2696217826279577
ACH-000248,-0.12851418950161478
ACH-000250,-0.6251927104223328
ACH-000251,-0.2953324794274473
ACH-000252,-0.17911506959165904
ACH-000253,-0.4007264908736407
ACH-000255,-0.13130238648106682
ACH-000256,-0.20005076514099765
ACH-000257,-0.5987419017732172
ACH-000258,-0.34958199103166504
ACH-000259,-0.38794004096457213
ACH-000260,-0.02532749418202048
ACH-000261,-0.5044751828454194
ACH-000262,-0.6647721191202488
ACH-000263,-0.5335079205954171
ACH-000264,-0.403487365283445
ACH-000265,-0.06650903246082526
ACH-000266,-0.19386082418842
ACH-000272,-0.4503510267041982
ACH-000274,-0.2202319764857612
ACH-000277,-0.54490325660848
ACH-000278,-0.12859096705841416
ACH-000279,-0.38842122509868254
ACH-000280,-0.20345147463824387
ACH-000281,-0.2518552108677839
ACH-000288,-0.2738985079762257
ACH-000291,-0.13425341282111894
ACH-000293,-0.21125642822594806
ACH-000294,-0.5011166145825414
ACH-000295,-0.5243761481156286
ACH-000296,-0.035273399174306136
ACH-000302,-0.17210925103841376
ACH-000304,-0.3431104062230372
ACH-000307,-0.5139669602747087
ACH-000308,-0.2989851470734055
ACH-000310,-0.11291097588014355
ACH-000311,-0.30799572044226586
ACH-000312,-0.016937805256111584
ACH-000315,-0.499815225387188
ACH-000316,-0.5031791471610539
ACH-000317,-0.6944603644894757
ACH-000318,-0.4147397971987353
ACH-000319,-0.22247726453011354
ACH-000320,-0.4546617379572011
ACH-000322,-0.17337664461132188
ACH-000323,-0.18225526194188466
ACH-000324,-0.15171153231683712
ACH-000329,-0.2611437366734439
ACH-000330,-0.2773779568643356
ACH-000331,0.017082731844997718
ACH-000332,-0.21191400996748647
ACH-000334,-0.4925931248899329
ACH-000335,-0.2968012849159671
ACH-000336,-0.2927662672115618
ACH-000337,-0.3548833344917317
ACH-000338,-0.09858321715124947
ACH-000339,-0.34247771295385737
ACH-000341,-0.02559477968820025
ACH-000348,-0.21474312254863212
ACH-000350,-0.4576489534267481
ACH-000352,-0.5151995795373475
ACH-000356,-0.370657331292895
ACH-000361,-0.2821196556405135
ACH-000362,-0.43458396229751856
ACH-000363,-0.5202308255945788
ACH-000364,-0.2170796496445279
ACH-000365,-0.5887433667881757
ACH-000366,-0.13003526432144372
ACH-000368,-0.27461625252306004
ACH-000374,-0.2287820767142529
ACH-000375,-0.21946444503956025
ACH-000376,-0.14854870238490914
ACH-000381,-0.1968101354671445
ACH-000383,-0.5447470118822206
ACH-000387,-0.5448515087415164
ACH-000389,-0.02227973669803349
ACH-000390,-0.5266693664492196
ACH-000393,-0.28799824250560685
ACH-000395,-0.38207263604352665
ACH-000396,-0.3337529391800316
ACH-000397,-0.3600782761962828
ACH-000401,-0.4214119980355712
ACH-000402,-0.4846498595439624
ACH-000403,-0.1712049077738963
ACH-000404,-0.7337424803602618
ACH-000406,-0.5837759554700298
ACH-000407,-0.2600392053346661
ACH-000408,-0.2271700639685095
ACH-000410,-0.37064551353937736
ACH-000411,-0.6665542175593607
ACH-000414,-0.3099771479882916
ACH-000415,-0.1939619408261984
ACH-000416,-0.3027496752815922
ACH-000420,-0.3628175114735036
ACH-000421,-0.3722629780371665
ACH-000424,-0.2903660783747557
ACH-000425,-0.5329520490882828
ACH-000426,-0.5919311673982712
ACH-000427,-0.10384046292329524
ACH-000433,-0.2185491872074041
ACH-000435,-0.28806277505444045
ACH-000436,-0.7164090779075317
ACH-000444,-0.7084677564272641
ACH-000445,-0.26691284812595284
ACH-000448,-0.2366408784222625
