,RITA1 (84934)
ACH-000004,-0.2603658544638429
ACH-000005,-0.5128410666670008
ACH-000007,-0.13119178085245733
ACH-000009,-0.2987880485362359
ACH-000011,-0.3911825143227058
ACH-000012,-0.31085949086590353
ACH-000013,-0.16256788131197994
ACH-000014,-0.4061008844239852
ACH-000015,-0.3982874770695597
ACH-000017,-0.2784596033008307
ACH-000018,-0.2712414666888015
ACH-000019,-0.08894116395671113
ACH-000021,-0.4096248489235356
ACH-000022,-0.2254764153712545
ACH-000025,-0.319279591570576
ACH-000028,-0.21657052293263213
ACH-000030,-0.2439864899156
ACH-000035,-0.12098729184895778
ACH-000036,-0.3159161147599604
ACH-000037,-0.3124592721529012
ACH-000039,-0.10437698991037264
ACH-000040,-0.38074680883798173
ACH-000041,-0.2963279191110409
ACH-000042,-0.36952012095640335
ACH-000045,-0.2626813213876613
ACH-000047,-0.3414900303756242
ACH-000052,-0.3292393787228248
ACH-000053,-0.2919325217380226
ACH-000054,-0.3358294528283275
ACH-000055,-0.21260963464347407
ACH-000060,-0.20471901088902075
ACH-000067,-0.3591629511391616
ACH-000070,-0.3782064609962158
ACH-000075,-0.2998460175068647
ACH-000078,-0.33662612829896044
ACH-000082,-0.2950321864346113
ACH-000085,-0.27128999337408083
ACH-000086,-0.285251105861895
ACH-000087,-0.19824354514682496
ACH-000092,-0.3280685903452664
ACH-000095,-0.26690459009663786
ACH-000097,-0.37467134228340665
ACH-000098,-0.304103671845474
ACH-000099,-0.3376403665202767
ACH-000108,-0.39540734803308414
ACH-000113,-0.2865926904027438
ACH-000116,-0.2753976444200273
ACH-000118,-0.4081702309449121
ACH-000120,-0.3815925940739738
ACH-000123,-0.22460320461480104
ACH-000127,-0.3086198803140351
ACH-000128,-0.2815652134206149
ACH-000132,-0.1815929714744289
ACH-000133,-0.3181969327088762
ACH-000137,-0.3822321912747672
ACH-000138,-0.319253674149023
ACH-000142,-0.2345545994947353
ACH-000143,-0.17866943766298618
ACH-000146,-0.34203454469914857
ACH-000148,-0.18492193831879924
ACH-000150,-0.3581423475830537
ACH-000152,-0.4579083845084467
ACH-000153,-0.2595638855429596
ACH-000159,-0.2547781985166201
ACH-000160,-0.3550513789314024
ACH-000163,-0.35681109632036506
ACH-000167,-0.32363340644132194
ACH-000168,-0.4330688131561701
