,CNNM4 (26504)
ACH-000374,-0.26810073354353275
ACH-000375,-0.12480184204931075
ACH-000376,0.1921301831446375
ACH-000381,-0.17185586038046954
ACH-000383,-0.02471637261148088
ACH-000387,-0.06794589781909684
ACH-000389,-0.14093207586627512
ACH-000390,-0.07241614561980385
ACH-000393,-0.15442847251443328
ACH-000395,-0.10164469482489484
ACH-000396,0.08845832737921543
ACH-000397,0.044811071385430015
ACH-000401,-0.2053017332970259
ACH-000402,0.00828380334188687
ACH-000403,-0.01695515607708539
ACH-000404,-0.13009263993236844
ACH-000406,-0.09220664635136876
ACH-000407,-0.07558053974641749
ACH-000408,0.09430528485946152
ACH-000410,-0.017004158983597417
ACH-000411,-0.055443627431663735
ACH-000414,-0.08291987890489079
ACH-000415,-0.11164221749398084
ACH-000416,-0.2145531330251076
ACH-000420,-0.07976394321236814
ACH-000421,0.04881399425764192
ACH-000424,-0.1915427354064124
ACH-000425,-0.1773090261645752
ACH-000426,0.02496613608732112
ACH-000427,-0.10654966205362566
ACH-000433,-0.0659338441826446
ACH-000435,0.08277514287978928
ACH-000436,-0.04753570031900472
ACH-000444,-0.013960094414805693
ACH-000445,-0.06349978579313162
ACH-000448,-0.039046223710023205
ACH-000450,-0.12084911325084825
ACH-000452,0.06698946406380797
ACH-000454,0.014568289064093512
ACH-000458,-0.04635157514631413
ACH-000459,0.11488116599676965
ACH-000460,0.051499238828587736
ACH-000461,-0.2294025526325681
ACH-000463,-0.09446093979076754
ACH-000464,-0.11953850291006055
ACH-000466,-0.038603690772915165
ACH-000467,-0.018703921677275474
ACH-000468,0.0468372600659028
ACH-000469,-0.05669985469264292
ACH-000470,0.07541187280790805
ACH-000471,-0.0865304134478983
ACH-000472,-0.0023872359031071448
ACH-000473,0.01818522064606768
ACH-000475,-0.06294403115382517
ACH-000476,-0.002749275596344332
ACH-000477,-0.18219778402478756
ACH-000479,0.06482870713128967
ACH-000480,-0.06033002249770088
ACH-000481,-0.16245577114405307
ACH-000483,0.040279083016280234
ACH-000484,-0.18665806997840095
ACH-000485,0.003759486987336855
ACH-000486,-0.09298658195338053
ACH-000487,-0.16873710347941304
ACH-000488,-0.0144226472036118
ACH-000490,0.023095501962625088
ACH-000491,-0.051425735853955115
ACH-000495,-0.17695835691216974
ACH-000496,-0.2305697757315276
ACH-000499,-0.19287726214924925
ACH-000500,-0.22064610020183975
ACH-000502,-0.016988443602947483
ACH-000503,-0.053713535629596576
ACH-000505,-0.06767698831681583
ACH-000507,0.04577485992076548
ACH-000510,-0.1813767018852738
ACH-000511,-0.03698867941207178
ACH-000512,-0.19391513224781107
ACH-000516,-0.04318000474878204
ACH-000517,0.007795335454239441
ACH-000518,-0.01853540523871071
ACH-000520,-0.14926468242538196
ACH-000521,-0.10593737592884124
ACH-000522,-0.10600289726839314
ACH-000524,-0.04127064678546133
ACH-000527,0.033167086076288134
ACH-000528,0.012881470313380498
ACH-000537,-0.05050187321592901
ACH-000541,-0.20945623511338896
ACH-000542,-0.07064582389590611
ACH-000544,-0.15330457063180405
ACH-000545,-0.028886950852972233
ACH-000547,-0.08450962767660544
ACH-000548,-0.1033092955395412
ACH-000549,-0.1476479200633669
ACH-000550,0.010019437399290128
ACH-000552,-0.008229122663537267
ACH-000556,-0.053081267533399264
ACH-000557,0.04007893261393285
ACH-000569,-0.4292757065960651
ACH-000570,-0.1128537188827063
ACH-000571,0.001839366893057832
ACH-000573,0.03986786808143652
ACH-000576,-0.002681429136308673
ACH-000579,-0.10901009175621523
ACH-000580,0.0481173949059392
ACH-000584,-0.09248721373521286
ACH-000585,0.06686779692922935
ACH-000588,-0.15242093607423846
ACH-000589,-0.17898941162654058
ACH-000591,-0.007494194378300945
ACH-000593,0.09518204820300027
ACH-000600,-0.0988434368893153
ACH-000601,-0.061500241341786326
ACH-000605,0.07111424392583829
ACH-000606,-0.07036013931607167
ACH-000608,0.07455193513536623
ACH-000614,-0.09092971691901368
ACH-000616,-0.16154039153063818
ACH-000618,-0.13373978579756712
ACH-000619,-0.006065257533498175
ACH-000620,-0.07994055860690565
ACH-000621,-0.049087536362701134
ACH-000622,-0.07655153211025115
ACH-000623,-0.07976359296636279
ACH-000624,-0.059834006554050995
ACH-000627,-0.07284083661909524
ACH-000630,-0.10458506857605054
ACH-000631,0.07328472102648939
ACH-000632,-0.03827936039206879
ACH-000633,-0.045518396495563794
ACH-000637,-0.04568487141464416
ACH-000638,-0.06433854026853877
ACH-000646,-0.06525316741658886
ACH-000647,-0.025761426445183616
ACH-000648,-0.07869678526790197
ACH-000649,-0.13597935735280858
ACH-000651,-0.03188475814613232
ACH-000652,0.10800431962892523
ACH-000653,-0.02505057823453676
ACH-000657,-0.08411107911492359
ACH-000658,0.011317601741280534
ACH-000661,0.061922164777097825
ACH-000662,0.06999997155427662
ACH-000663,0.048700355774573885
ACH-000665,-0.19169988084282635
ACH-000671,-0.07435245232930525
ACH-000672,-0.15780552960241365
ACH-000673,-0.10355791782883718
ACH-000676,-0.048837293538598836
ACH-000677,-0.12430865937608115
ACH-000681,-0.06674193700820791
ACH-000683,-0.0072231606967397685
ACH-000684,0.006812482442408596
ACH-000688,-0.16632298230669024
ACH-000693,-0.1471235239761226
ACH-000694,-0.1212527812491817
ACH-000695,-0.25416168212157936
ACH-000696,-0.0868542690819284
ACH-000697,-0.2942540964387285
ACH-000699,-0.05439833750876885
ACH-000701,-6.287465624481414e-05
ACH-000706,-0.0470865761674436
ACH-000711,-0.07407863110430596
ACH-000713,-0.11419851511666065
ACH-000714,0.014169321173272116
ACH-000718,0.025138120374373813
ACH-000720,-0.10429118743136
ACH-000721,-0.1678156260504025
ACH-000724,-0.05139511377102314
ACH-000725,0.13411363064650053
