,BUD31 (8896)
ACH-000004,-1.540353170393004
ACH-000005,-1.6217192376721443
ACH-000007,-1.4039361857253014
ACH-000009,-1.3971729692433654
ACH-000011,-1.4598621895685426
ACH-000012,-1.3365481113447375
ACH-000013,-1.2789878304304316
ACH-000014,-1.3873222651062949
ACH-000015,-1.2994399038312814
ACH-000017,-1.2285110505662395
ACH-000018,-1.300604020039846
ACH-000019,-1.0704234571516766
ACH-000021,-1.375512058174808
ACH-000022,-1.2067042368849683
ACH-000025,-1.4588398568455552
ACH-000028,-1.1409899809169015
ACH-000030,-1.3352116082501837
ACH-000035,-1.3455601232124401
ACH-000036,-1.1361670501922088
ACH-000037,-1.640965338046812
ACH-000039,-1.357965272753729
ACH-000040,-1.1560998695621
ACH-000041,-1.3862862322857703
ACH-000042,-1.4297377890595058
ACH-000045,-1.1954746834815062
ACH-000047,-1.464750216069325
ACH-000052,-1.3656278843406096
ACH-000053,-1.3663945683564709
ACH-000054,-1.1474591897691186
ACH-000055,-1.3203926628408993
ACH-000060,-1.559161426159824
ACH-000067,-1.2583205516207476
ACH-000070,-1.11581467629055
ACH-000075,-1.4343642665033254
ACH-000078,-1.3184225566637873
ACH-000082,-1.4397023997047969
ACH-000085,-1.477769754998541
ACH-000086,-1.151254460043865
ACH-000087,-1.3679298320964164
ACH-000092,-1.3258934141729168
ACH-000095,-1.3453831646588446
ACH-000097,-1.3244859163646805
ACH-000098,-1.1096451528304598
ACH-000099,-1.1955692095355528
ACH-000108,-1.4074461046280036
ACH-000113,-1.4991794376740781
ACH-000116,-1.2011435529525945
ACH-000118,-1.3397770639916209
ACH-000120,-1.4078645270348038
ACH-000123,-1.3814537727925158
ACH-000127,-1.1781772788378837
ACH-000128,-1.663622691429294
ACH-000132,-1.3698900398067486
ACH-000133,-1.378078403983436
ACH-000137,-1.2567429386861706
ACH-000138,-1.17984923930984
ACH-000142,-1.0847764924600254
ACH-000143,-1.1776098736437082
ACH-000146,-1.5019791116983865
ACH-000148,-1.3721133330906965
