,BUB3 (9184)
ACH-000004,-1.7025421362062716
ACH-000005,-1.988403098620953
ACH-000007,-1.5123280901278378
ACH-000009,-1.7256153518820143
ACH-000011,-1.6702597315109315
ACH-000012,-1.6032386708638602
ACH-000013,-1.8810788121165969
ACH-000014,-1.669893165537152
ACH-000015,-1.5434581761579218
ACH-000017,-1.875936950015816
ACH-000018,-1.3310144682169165
ACH-000019,-1.4097576780687646
ACH-000021,-1.7224256409901342
ACH-000022,-1.824183872405788
ACH-000025,-1.5263021299162407
ACH-000028,-1.5141501007294167
ACH-000030,-1.6970511663864143
ACH-000035,-1.5406550180208514
ACH-000036,-1.2207441026005987
ACH-000037,-1.4660452054692947
ACH-000039,-1.505787464895654
ACH-000040,-1.4448498579450768
ACH-000041,-1.7630382429186453
ACH-000042,-1.849276421441236
ACH-000045,-1.416899539303416
ACH-000047,-1.7136518540529833
ACH-000052,-1.5747083259427888
ACH-000053,-1.519190858727577
ACH-000054,-1.6705545426159645
ACH-000055,-1.9325350391357283
ACH-000060,-1.6936241175247506
ACH-000067,-1.403515467098696
ACH-000070,-1.4737005854739682
ACH-000075,-1.441059764850362
ACH-000078,-1.4119006261335998
ACH-000082,-1.307544992881566
ACH-000085,-2.129173333814504
ACH-000086,-1.5145318813572834
ACH-000087,-1.824338271552188
ACH-000092,-1.4551452367516198
ACH-000095,-1.5708981112424891
ACH-000097,-1.5660956560464805
ACH-000098,-1.5542886144883419
ACH-000099,-1.4064132689708486
ACH-000108,-1.6776712285702344
ACH-000113,-1.524001142253197
ACH-000116,-1.7424843462507438
ACH-000118,-1.8224684579725117
ACH-000120,-1.603532868059883
ACH-000123,-1.4922770218610732
ACH-000127,-1.5625856470675854
ACH-000128,-1.5813807758673561
ACH-000132,-1.6489584172713865
ACH-000133,-1.7937409377956712
ACH-000137,-1.6919293850806756
ACH-000138,-1.6989958375644685
ACH-000142,-1.7842539069912349
ACH-000143,-1.6874956827890364
ACH-000146,-1.8005782001460262
ACH-000148,-1.7829718629626043
ACH-000150,-1.5298202371338436
ACH-000152,-1.301621660116464
ACH-000153,-1.6083561783075002
ACH-000159,-1.5806279773725844
ACH-000160,-1.7343215358043684
ACH-000163,-1.6879821738995675
ACH-000167,-3.0929149373738576
ACH-000168,-1.8112724633972663
ACH-000169,-1.5523286562454832
ACH-000178,-1.5418498150937177
ACH-000183,-1.5357959264501866
ACH-000188,-1.7270043425665738
ACH-000189,-1.6040573430371403
ACH-000190,-1.4972042210453451
ACH-000198,-1.4994693845663114
ACH-000203,-1.2412796195484954
ACH-000204,-1.2492292134630008
ACH-000206,-1.9122928158459984
ACH-000207,-1.4656612555859645
ACH-000208,-1.127986743279406
ACH-000210,-1.4947035432281603
ACH-000211,-1.5819477252291805
ACH-000215,-1.3709710840789828
ACH-000221,-1.4552569128884063
ACH-000222,-1.7430387248095132
ACH-000223,-1.342138431448865
ACH-000226,-1.5869782578552636
ACH-000227,-1.7986270195021938
ACH-000228,-1.8944996414529336
ACH-000231,-1.3934725991465229
ACH-000232,-1.6662271337714665
ACH-000233,-1.8546760505110127
ACH-000234,-1.8092351249123524
ACH-000235,-1.5650087218988675
ACH-000237,-1.7671415737691292
ACH-000238,-1.6185344589295754
ACH-000242,-1.9876975897455558
ACH-000243,-1.9092567482786484
ACH-000244,-1.5026655938243314
ACH-000246,-1.5846665646708415
ACH-000248,-1.7442834962694969
ACH-000250,-1.4640461074351363
ACH-000251,-2.076008428935285
ACH-000252,-1.6833549894029392
ACH-000253,-1.5109434985139958
ACH-000255,-1.4419973739435423
