,RPUSD3 (285367)
ACH-000004,-0.4053012836508657
ACH-000005,-0.05890567462164804
ACH-000007,-0.4150680245251102
ACH-000009,-0.4232562388204636
ACH-000011,-0.2228261894101475
ACH-000012,-0.3347724768751173
ACH-000013,-0.4516894899138454
ACH-000014,-0.30313659995245346
ACH-000015,-0.4680172619872429
ACH-000017,-0.3363549867310083
ACH-000018,-0.37864755698961344
ACH-000019,-0.18958502047846568
ACH-000021,-0.4279564102358379
ACH-000022,-0.5409180359858597
ACH-000025,-0.4837974891963472
ACH-000028,-0.4827977870732624
ACH-000030,-0.317753294155638
ACH-000035,-0.5442158514652916
ACH-000036,-0.25002309407958656
ACH-000037,-0.353468944816584
ACH-000039,-0.2983775304594462
ACH-000040,-0.4576787527496365
ACH-000041,-0.4682185908242144
ACH-000042,-0.39160316544615453
ACH-000045,-0.6900786788992026
ACH-000047,-0.5286548379637832
ACH-000052,-0.23332972461440565
ACH-000053,-0.3721111341006734
ACH-000054,-0.35511293764883683
ACH-000055,-0.18302627217404951
ACH-000060,-0.4808305919067342
ACH-000067,-0.4148904161487961
ACH-000070,-0.3763735746524873
ACH-000075,-0.4633439137379002
ACH-000078,-0.5227012281144607
ACH-000082,-0.2641665660686829
ACH-000085,-0.3773514594534514
ACH-000086,-0.3822994372085257
ACH-000087,-0.7292268976843864
ACH-000092,-0.4959055112416886
ACH-000095,-0.2971330314936072
ACH-000097,-0.25564137877092424
ACH-000098,-0.26508283301833985
ACH-000099,-0.4087432463557507
ACH-000108,-0.2829876081891645
ACH-000113,-0.8066693594769979
ACH-000116,-0.3867107811621111
ACH-000118,-0.532335258952008
ACH-000120,-0.16565736236719486
ACH-000123,-0.613895752493594
ACH-000127,-0.30507606007964
ACH-000128,-0.7815211665533651
ACH-000132,-0.4334871381262671
ACH-000133,-0.2912247705209685
ACH-000137,-0.4809778059443581
ACH-000138,-0.3344774193612107
ACH-000142,-0.3700605920378294
ACH-000143,-0.2903824062317608
ACH-000146,-0.43160126177517205
ACH-000148,-0.4240068980745553
ACH-000150,-0.8223846940738478
ACH-000152,-0.3295662286346246
ACH-000153,-0.520034040114237
ACH-000159,-0.3432070770792315
ACH-000160,-0.652560393987651
ACH-000163,-0.2721580108017825
ACH-000167,-0.03942904019994232
ACH-000168,-0.2829475019207158
