,PDCD6IP (10015)
ACH-000004,-0.6406817072527804
ACH-000005,-0.5147189275252785
ACH-000007,-0.3381019238178605
ACH-000009,-0.13107565112059955
ACH-000011,-0.819988338747567
ACH-000012,-0.36591489132183797
ACH-000013,-0.3140351043408392
ACH-000014,-0.452734043623311
ACH-000015,-0.3996078047577299
ACH-000017,-0.7007953935870851
ACH-000018,-0.2856346532253333
ACH-000019,-0.3415118750437939
ACH-000021,-0.2892248578171977
ACH-000022,-0.3145594486614942
ACH-000025,-0.4005135625082381
ACH-000028,-0.5247529183215371
ACH-000030,-0.33961782998313195
ACH-000035,-0.4351539765753529
ACH-000036,-0.5057362011275327
ACH-000037,-0.4839790109822477
ACH-000039,-0.5459974719863059
ACH-000040,-0.31535228960861345
ACH-000041,-0.3662491894184748
ACH-000042,-0.5197393408896894
ACH-000045,-0.5906881577812209
ACH-000047,-0.5133025290649906
ACH-000052,-0.25302307322095996
ACH-000053,-0.34455472662661074
ACH-000054,-0.5499854283036058
ACH-000055,-0.6730896661378164
ACH-000060,-0.7788091853006355
ACH-000067,-0.9993966317304288
ACH-000070,-0.5186963200894971
ACH-000075,-0.534843338084708
ACH-000078,-0.8531202191071778
ACH-000082,-0.3271414390181692
ACH-000085,-0.4372366065766416
ACH-000086,-0.2764380584407947
ACH-000087,-0.27178439470599275
ACH-000092,-0.3698888567793573
ACH-000095,-0.5233017226415226
ACH-000097,-0.4041200038021605
ACH-000098,-0.6496163669790674
ACH-000099,-0.6316266003504893
ACH-000108,-0.3230649392600137
ACH-000113,-0.5174139000935893
ACH-000116,-0.2395391668011759
ACH-000118,-0.3166323857245137
ACH-000120,-0.6117026244367967
ACH-000123,-0.2588238732797998
ACH-000127,-0.4144621209506141
ACH-000128,-0.7130519041226376
ACH-000132,-0.26583234369876635
ACH-000133,-0.4443928227911021
ACH-000137,-0.36688672489157054
ACH-000138,-0.5353803129193793
ACH-000142,-0.6131298675078557
ACH-000143,-0.7162537530145101
ACH-000146,-0.37890735264452413
ACH-000148,-0.2266330804651996
ACH-000150,-0.7462198208195496
ACH-000152,-0.33412184769000497
ACH-000153,-0.24806751748010056
ACH-000159,-0.34069010710304576
ACH-000160,-0.5989866970242473
ACH-000163,-0.052745722444447835
