,LSM4 (25804)
ACH-000004,-1.1548505769668769
ACH-000005,-0.8426963025286285
ACH-000007,-0.4203678342467633
ACH-000009,-0.7088575595790438
ACH-000011,-0.6191145203791617
ACH-000012,-0.7735629453317507
ACH-000013,-0.7896765739149123
ACH-000014,-0.6887328253561493
ACH-000015,-1.0153717553745092
ACH-000017,-0.8757060259488825
ACH-000018,-0.6470970831611879
ACH-000019,-0.605135295476429
ACH-000021,-0.8718832954792628
ACH-000022,-0.6494458115365361
ACH-000025,-0.6542274081661658
ACH-000028,-0.7460031242554711
ACH-000030,-0.7611079628658148
ACH-000035,-1.048308588858126
ACH-000036,-0.7250857436293036
ACH-000037,-0.7099486896030118
ACH-000039,-0.8139543514212703
ACH-000040,-0.6268448361570733
ACH-000041,-0.8239068257765642
ACH-000042,-0.6971503178664766
ACH-000045,-0.7015515686484285
ACH-000047,-0.9985708917447551
ACH-000052,-0.7111180497081668
ACH-000053,-0.6642416381072709
ACH-000054,-0.9184223756607346
ACH-000055,-0.8162311192284006
ACH-000060,-0.7652833752785474
ACH-000067,-0.7467088972866139
ACH-000070,-0.28649139487636555
ACH-000075,-1.0065116673973342
ACH-000078,-0.8441623800888813
ACH-000082,-0.7515866342079459
ACH-000085,-0.9312387182049232
ACH-000086,-0.908616447965609
ACH-000087,-0.8141942464554486
ACH-000092,-0.7788625557485656
ACH-000095,-0.712985252213981
ACH-000097,-0.8425125566569672
ACH-000098,-0.9192442879913127
ACH-000099,-0.8264158432636511
ACH-000108,-0.9177207303577626
ACH-000113,-0.7273317800765191
ACH-000116,-0.6940591093851819
ACH-000118,-0.6082630594469098
ACH-000120,-0.8784347471757271
ACH-000123,-0.8180476549585352
ACH-000127,-0.7064733995433488
ACH-000128,-0.8063995734074577
ACH-000132,-0.6353416388918257
ACH-000133,-0.7950927071605075
ACH-000137,-0.9733691933168626
ACH-000138,-0.6281364110599154
ACH-000142,-0.6905699886916664
ACH-000143,-0.8358496183870867
ACH-000146,-0.5901362676857618
ACH-000148,-0.5467167651683176
ACH-000150,-0.7875053998040518
ACH-000152,-0.8303658137539529
ACH-000153,-0.35012466646209084
ACH-000159,-0.7087780088568914
ACH-000160,-0.8972567447261356
ACH-000163,-0.7108181344616077
ACH-000167,0.7792182980691491
ACH-000168,-0.6569988506603281
ACH-000169,-0.544779717294725
ACH-000178,-0.8373344663079253
ACH-000183,-0.5848704812528382
ACH-000188,-0.7811836619562115
ACH-000189,-0.903678535813162
ACH-000190,-0.6793777151173208
ACH-000198,-0.7445115504832382
ACH-000203,-1.0256435051218828
ACH-000204,-0.8950977629494621
ACH-000206,-0.7818301973407932
ACH-000207,-0.6245529369760213
ACH-000208,-1.0336034373240832
ACH-000210,-0.9512337983094112
ACH-000211,-0.8792197757013507
ACH-000215,-0.7299246148183923
ACH-000221,-0.830227861979965
ACH-000222,-0.5266470531004525
ACH-000223,-0.8767731139979962
ACH-000226,-0.9933603817585296
ACH-000227,-0.7386612429376781
ACH-000228,-0.7783548312795924
ACH-000231,-0.8384777514404593
ACH-000232,-0.8881609537003291
ACH-000233,-0.8190409202609396
ACH-000234,-0.6214884720856155
ACH-000235,-0.8032612408559333
ACH-000237,-0.8273017456217986
ACH-000238,-0.5197166954475411
ACH-000242,-0.7094784612854318
ACH-000243,-0.7161168804509693
ACH-000244,-0.8306004938123873
ACH-000246,-0.6602026709829502
ACH-000248,-0.6732890273485188
ACH-000250,-0.8731965750992431
ACH-000251,-0.8272038355360859
ACH-000252,-0.6415013522844788
ACH-000253,-0.6283402105662697
ACH-000255,-0.6587707595002542
ACH-000256,-0.7808117228674992
ACH-000257,-0.5318590379147223
ACH-000258,-0.6974698651934256
ACH-000259,-0.7998138999280965
ACH-000260,-0.7667387550992738
ACH-000261,-0.7445033205357935
ACH-000262,-0.7798956646596241
ACH-000263,-0.9208603452870568
ACH-000264,-0.8484046018079486
