,GUK1 (2987)
ACH-000004,-1.605342661017569
ACH-000005,-1.15943973968519
ACH-000007,-1.1713355925583813
ACH-000009,-1.384612228385063
ACH-000011,-1.0504667570347088
ACH-000012,-1.2525586539607485
ACH-000013,-1.2472149414813951
ACH-000014,-1.1935265604614913
ACH-000015,-1.3383968172069254
ACH-000017,-1.3138620381026802
ACH-000018,-1.1964351900236043
ACH-000019,-0.8085740555417179
ACH-000021,-1.0948726071809418
ACH-000022,-1.2726773072005102
ACH-000025,-1.037459145273856
ACH-000028,-1.1371178721311346
ACH-000030,-1.1011469910067562
ACH-000035,-1.1990108177815515
ACH-000036,-1.1002241784697877
ACH-000037,-1.2847119494567478
ACH-000039,-1.1265249815563276
ACH-000040,-0.8886937008678036
ACH-000041,-1.4037554611500236
ACH-000042,-1.256804268943229
ACH-000045,-1.1075028192145588
ACH-000047,-1.2078607479013608
ACH-000052,-1.310199085059922
ACH-000053,-1.2762758443818782
ACH-000054,-1.1728904225955123
ACH-000055,-0.9249100221281228
ACH-000060,-1.2832283671604192
ACH-000067,-1.1444450223637863
ACH-000070,-1.0368437149019032
ACH-000075,-0.9267750833626408
ACH-000078,-1.0947744085157842
ACH-000082,-0.8224100695862442
ACH-000085,-1.3097267002293231
ACH-000086,-1.3807713549203655
ACH-000087,-1.226063748467643
ACH-000092,-1.1535266815389122
ACH-000095,-1.2030258061789827
ACH-000097,-0.977092679342787
ACH-000098,-1.3196597519307305
ACH-000099,-1.1703772967488215
ACH-000108,-1.2855231651590255
ACH-000113,-0.8874924154913706
ACH-000116,-0.971522644905724
ACH-000118,-1.1983110301674793
ACH-000120,-1.0943440805196964
ACH-000123,-1.2949239199175513
ACH-000127,-1.2263335119156156
ACH-000128,-1.2482757888773268
ACH-000132,-1.317718816004969
ACH-000133,-1.2837485995843718
ACH-000137,-1.2561613683064858
ACH-000138,-1.1342306139370129
ACH-000142,-1.2690920593306465
ACH-000143,-1.1701025536529994
ACH-000146,-1.0488076049826411
ACH-000148,-1.1677743546800765
ACH-000150,-1.2311713262620283
ACH-000152,-1.466599526811638
ACH-000153,-1.0015194406605166
ACH-000159,-1.0850679494639894
ACH-000160,-1.4469365255807098
ACH-000163,-0.8712122728816306
ACH-000167,-1.9575994472179727
ACH-000168,-1.3827232034648522
ACH-000169,-1.3443554740175057
ACH-000178,-1.1605425606888995
ACH-000183,-1.0898735426131494
ACH-000188,-1.1596603371210377
ACH-000189,-1.1268315954296424
ACH-000190,-1.123218678676874
ACH-000198,-1.0430666744825048
ACH-000203,-0.9626844393636352
ACH-000204,-1.104146185275547
ACH-000206,-1.205992257847465
ACH-000207,-1.1465353818022073
ACH-000208,-1.5863843151931676
ACH-000210,-1.4212970804048115
ACH-000211,-1.3568161494240467
ACH-000215,-1.1769083900507824
ACH-000221,-1.364785416078686
ACH-000222,-1.3805683475190045
ACH-000223,-1.2502262035882592
ACH-000226,-1.0819321364999084
ACH-000227,-0.9898614800401581
ACH-000228,-1.0888459155212846
ACH-000231,-1.335385752639177
ACH-000232,-1.2072514798361418
ACH-000233,-1.1978376389889536
ACH-000234,-1.1433740825296361
ACH-000235,-1.180002046839962
ACH-000237,-1.2479252543961203
ACH-000238,-1.1614337821772571
ACH-000242,-1.4994585415117188
ACH-000243,-1.226670457600199
ACH-000244,-0.9143030079220787
ACH-000246,-1.069802503745752
ACH-000248,-1.1043604621560414
ACH-000250,-1.184589578889317
ACH-000251,-1.364289656280415
ACH-000252,-1.1859738646408595
ACH-000253,-1.2070220401580192
ACH-000255,-1.2259979496585296
ACH-000256,-1.2862621504870315
ACH-000257,-1.237474359448417
ACH-000258,-0.9884960269210796
ACH-000259,-1.1474342882568478
ACH-000260,-1.3057629727837583
ACH-000261,-1.284857864088152
ACH-000262,-1.392078121544499
ACH-000263,-1.4816375236194412
ACH-000264,-1.4731403000899732
ACH-000265,-1.2273507415589653
ACH-000266,-1.1737631103319397
ACH-000272,-1.1967555507427572
ACH-000274,-1.1441549160049242
ACH-000277,-1.2124155547039366
ACH-000278,-1.2703880853931562
ACH-000279,-1.3898108122872352
ACH-000280,-1.1349774002675814
ACH-000281,-1.360630526601615
ACH-000288,-1.3346911103304386
ACH-000291,-1.0276928271958232
ACH-000293,-1.2878044396566966
ACH-000294,-1.5655975122471784
ACH-000295,-1.7068070816726202
ACH-000296,-1.3384140253595722
ACH-000302,-1.2345986336570485
ACH-000304,-1.2333194574725352
ACH-000307,-1.1619475941756203
ACH-000308,-1.2656831345859032
ACH-000310,-1.0734548200620917
ACH-000311,-1.1733881270511928
ACH-000312,-1.1884664668293696
ACH-000315,-1.3014147303324055
ACH-000316,-1.291513095908989
ACH-000317,-1.1690516216199245
ACH-000318,-1.1186583641194028
ACH-000319,-1.357218231624248
ACH-000320,-1.3399196330929841
ACH-000322,-0.9974401688691886
ACH-000323,-1.5131376658615945
ACH-000324,-1.129496416234614
ACH-000329,-1.0367536274720994
ACH-000330,-1.200324743186724
ACH-000331,-1.0853728136132774
ACH-000332,-1.1948760245207752
ACH-000334,-1.2492273234389
ACH-000335,-1.254734282787994
ACH-000336,-1.1803893857961136
ACH-000337,-1.208818121760585
ACH-000338,-1.3506300084279017
ACH-000339,-1.2001393501188566
ACH-000341,-1.399037224212602
ACH-000348,-0.9910864646158426
ACH-000350,-0.9252557783522892
ACH-000352,-1.0784647174484132
ACH-000356,-1.4425724071334347
ACH-000361,-1.3094413353103465
ACH-000362,-1.103545681538444
ACH-000363,-1.0297218652641202
ACH-000364,-1.2184646262276102
ACH-000365,-1.2330212609785551
ACH-000366,-1.199515018148425
ACH-000368,-0.9521817612358038
ACH-000374,-1.369118116775198
ACH-000375,-1.2999638947731202
ACH-000376,-1.474189003281308
ACH-000381,-1.4226366240321155
ACH-000383,-1.3283362914639802
ACH-000387,-1.3429714819175198
ACH-000389,-1.2130603269262594
ACH-000390,-1.587810904725622
ACH-000393,-1.2148371689741246
ACH-000395,-1.3674330300844824
ACH-000396,-1.3116592017031758
ACH-000397,-1.3176470666223483
ACH-000401,-1.1875133917695868
ACH-000402,-1.1153562234141372
ACH-000403,-1.1778637837911716
ACH-000404,-1.2905131881825498
ACH-000406,-1.2367965154630256
ACH-000407,-1.0970895672932632
ACH-000408,-1.4680216680940836
ACH-000410,-1.5000037734892724
ACH-000411,-1.0227182576690177
ACH-000414,-0.9781157907404407
ACH-000415,-1.275957020649998
ACH-000416,-1.3393067759626471
ACH-000420,-1.15718884680693
ACH-000421,-1.3300202712903952
ACH-000424,-1.0031758627855298
ACH-000425,-1.3031168406675169
ACH-000426,-1.1137537972647815
ACH-000427,-1.0268051254371489
ACH-000433,-0.8907952949314971
ACH-000435,-1.6793681111105632
ACH-000436,-1.1410103426384064
ACH-000444,-1.0871531514953128
ACH-000445,-1.0543126656501616
ACH-000448,-1.1334133694473998
ACH-000450,-1.3477706210041456
ACH-000452,-1.5057614911560342
ACH-000454,-1.21820517122198
ACH-000458,-1.176696947082061
ACH-000459,-0.6654552985378349
ACH-000460,-1.2028327799805258
ACH-000461,-1.220931351281982
ACH-000463,-0.9683426017873208
ACH-000464,-1.2385100644355294
ACH-000466,-1.4774401322718147
ACH-000467,-1.1797003366733163
ACH-000468,-1.2082781022200595
ACH-000469,-1.0958754107364557
