,CRYGC (1420)
ACH-000004,-0.2588244511658743
ACH-000005,-0.1233578197732139
ACH-000007,-0.22239459503904604
ACH-000009,-0.2582612221780901
ACH-000011,-0.1901793866975963
ACH-000012,-0.164250472746861
ACH-000013,-0.17148406608272754
ACH-000014,-0.1927955051992473
ACH-000015,-0.2379030016117459
ACH-000017,-0.25905697191185256
ACH-000018,-0.18676043399996856
ACH-000019,-0.19039641477873634
ACH-000021,-0.3672997910421981
ACH-000022,-0.29512208631456033
ACH-000025,-0.1899218409126767
ACH-000028,-0.1809051744334089
ACH-000030,-0.06547908213266178
ACH-000035,0.14781115465475247
ACH-000036,-0.3392442238014732
ACH-000037,-0.20422313497556
ACH-000039,-0.05155812119095849
ACH-000040,-0.17708287013102597
ACH-000041,-0.3425936730564461
ACH-000042,-0.29894838176785404
ACH-000045,-0.12503058170194664
ACH-000047,-0.17806409465040446
ACH-000052,-0.4274610188061405
ACH-000053,-0.18121645939354772
ACH-000054,-0.19712266807491868
ACH-000055,-0.11134570349456636
ACH-000060,-0.3296050165981112
ACH-000067,-0.13773829139430788
ACH-000070,-0.3156154803000985
ACH-000075,-0.23184859985870535
ACH-000078,-0.11207401136225033
ACH-000082,-0.25005321750877035
ACH-000085,-0.22952067302877735
ACH-000086,-0.082922651019045
ACH-000087,-0.07598337710233365
ACH-000092,-0.21185516050435352
ACH-000095,-0.2657766311472983
ACH-000097,-0.1833552569322488
ACH-000098,-0.2820618482696021
ACH-000099,-0.11754896254354615
ACH-000108,-0.2615166503455153
ACH-000113,-0.10621404672783516
ACH-000116,-0.1925466636494956
ACH-000118,-0.28297855151713586
ACH-000120,-0.20508626584925332
ACH-000123,-0.2524928526486751
ACH-000127,-0.14359935982702615
ACH-000128,-0.08660422821131067
ACH-000132,-0.08519060193833254
ACH-000133,-0.3065116694339239
ACH-000137,-0.06581288194688749
ACH-000138,-0.24518154650301796
ACH-000142,-0.1066310643199204
ACH-000143,-0.07707486973302805
ACH-000146,-0.2107499699171725
ACH-000148,-0.3409092915042253
ACH-000150,-0.1506949855816918
ACH-000152,-0.196995449638672
ACH-000153,-0.2083922576778856
ACH-000159,-0.2142655179088759
ACH-000160,-0.0934561880817932
ACH-000163,-0.2971798167267525
ACH-000167,-0.4368623027969865
ACH-000168,-0.2487667061306059
ACH-000169,-0.16470200120631373
ACH-000178,-0.20067268465284965
ACH-000183,-0.07957817503883823
ACH-000188,-0.18215663199542728
ACH-000189,-0.2465616573207837
ACH-000190,-0.32840405674998996
ACH-000198,-0.10466903657926564
ACH-000203,-0.4109062761630022
ACH-000204,-0.0744935588238984
ACH-000206,-0.3459772725552708
ACH-000207,-0.1117395288782026
ACH-000208,-0.05850474837674835
ACH-000210,-0.3569221720532006
ACH-000211,-0.248907855938146
ACH-000215,-0.19122170235613556
ACH-000221,-0.2364250012426739
ACH-000222,-0.2926831985973269
ACH-000223,-0.2528773655694153
