,HCFC1R1 (54985)
ACH-000004,-0.1291238934517956
ACH-000005,-0.2950614564891407
ACH-000007,-0.3801745618949659
ACH-000009,-0.1129334574251037
ACH-000011,-0.566678313715861
ACH-000012,-0.2086159127797986
ACH-000013,-0.2882071033902979
ACH-000014,-0.23439206526302256
ACH-000015,-0.24997163930611616
ACH-000017,-0.2616468475980419
ACH-000018,-0.11870200336624195
ACH-000019,-0.3518253892920318
ACH-000021,-0.179431715671951
ACH-000022,-0.1832920445048337
ACH-000025,-0.4451868744359658
ACH-000028,-0.3584997353770365
ACH-000030,-0.18735718663471929
ACH-000035,-0.1885828295185263
ACH-000036,-0.7159491711306422
ACH-000037,-0.441940609922286
ACH-000039,-0.25769968317766295
ACH-000040,-0.3257834751218117
ACH-000041,-0.2897913228336295
ACH-000042,-0.18254163200647835
ACH-000045,-0.3586306160262225
ACH-000047,-0.4457043389407036
ACH-000052,-0.08390109618832667
ACH-000053,-0.2860603799994777
ACH-000054,-0.31166743188007623
ACH-000055,-0.15821503411114934
ACH-000060,-0.3777057417039681
ACH-000067,-0.3277604189602604
ACH-000070,-0.23378693187459584
ACH-000075,-0.2894205718754008
ACH-000078,-0.31384228789347035
ACH-000082,-0.3807238437535049
ACH-000085,-0.3107017709216654
ACH-000086,-0.2237743234104441
ACH-000087,-0.4142185620283359
ACH-000092,-0.3764844203440236
ACH-000095,-0.2828473260456378
ACH-000097,-0.4465952809822151
ACH-000098,-0.3122978820622129
ACH-000099,-0.24351686173122186
ACH-000108,-0.3961175377996566
ACH-000113,-0.14657619447886375
ACH-000116,-0.2958494955228031
ACH-000118,-0.26548937361229513
ACH-000120,-0.2331174521216277
ACH-000123,-0.28584041106127683
ACH-000127,-0.2330778162259644
ACH-000128,-0.17838138177314028
ACH-000132,-0.3661302826110914
ACH-000133,-0.26515710973461043
ACH-000137,-0.3582376926677341
ACH-000138,-0.1838106121329578
ACH-000142,-0.29149819176554304
ACH-000143,-0.20368270208505396
ACH-000146,-0.25721664480211953
ACH-000148,-0.4027572350686249
ACH-000150,-0.3728347948391476
ACH-000152,-0.27579886236554857
ACH-000153,-0.2895598150700552
ACH-000159,-0.31897600501743584
ACH-000160,-0.015727303464471862
ACH-000163,-0.2448078172001173
ACH-000167,-0.12541013157440464
ACH-000168,-0.3572898699039987
ACH-000169,-0.372129021397
ACH-000178,-0.28133740935248
ACH-000183,-0.24764989332274664
ACH-000188,-0.25272722935084946
ACH-000189,-0.4723571151917769
ACH-000190,-0.3949444716482081
ACH-000198,-0.09272292312262062
ACH-000203,-0.4215854747881169
ACH-000204,-0.3827104468759685
ACH-000206,-0.043378121036941344
ACH-000207,-0.2496779790760549
ACH-000208,-0.27882843559810466
ACH-000210,-0.07960863433359693
ACH-000211,-0.27546709956844584
ACH-000215,-0.3299348321798736
ACH-000221,-0.16869814291527055
ACH-000222,-0.3032306096395225
ACH-000223,-0.18339404249066515
ACH-000226,-0.32143834336611915
ACH-000227,-0.28127873990195673
ACH-000228,-0.054334660966317457
ACH-000231,-0.2823515297541192
ACH-000232,-0.30538149818260985
ACH-000233,-0.3847846653166408
ACH-000234,-0.7322168560047659
ACH-000235,-0.300767238358855
ACH-000237,-0.3287559883563845
ACH-000238,-0.29032235017309005
ACH-000242,0.01536823715635681
ACH-000243,-0.15706905931897674
ACH-000244,-0.10509565437199404
ACH-000246,-0.35326562362866515
ACH-000248,-0.17640634875275865
ACH-000250,-0.4126905328244187
ACH-000251,-0.41671851605761207
ACH-000252,-0.2702526771026755
ACH-000253,-0.3041925618554987
ACH-000255,-0.212108360895032
ACH-000256,-0.3740495116339849
ACH-000257,-0.17492019104631076
ACH-000258,-0.2251805618302233
ACH-000259,-0.27972897496656185
ACH-000260,-0.3277912471345438
ACH-000261,-0.2951182667305373
ACH-000262,-0.27350243212881464
ACH-000263,-0.2452472430549164
ACH-000264,-0.3475036548485375
ACH-000265,-0.3057658261383166
ACH-000266,-0.1410281632377512
ACH-000272,-0.2110178532405924
ACH-000274,-0.29121394117107074
ACH-000277,-0.4884483387078912
ACH-000278,-0.21775910432151374
ACH-000279,-0.13255269804473704
ACH-000280,-0.3112379689041383
ACH-000281,-0.028478676548606932
ACH-000288,-0.2674271205094722
ACH-000291,-0.2139262329015542
ACH-000293,-0.3732931878274954
ACH-000294,-0.2176670486237477
ACH-000295,-0.2215759110518721
ACH-000296,-0.3758920329858309
ACH-000302,-0.22505272269610255
ACH-000304,-0.45015198274679796
ACH-000307,-0.24508395596415
ACH-000308,-0.2316301457986837
ACH-000310,-0.14590577059000284
ACH-000311,-0.3845107082794667
ACH-000312,-0.15939487795476642
ACH-000315,0.045612944578812285
ACH-000316,-0.3334817146195789
ACH-000317,-0.07093679129584812
ACH-000318,-0.18355208778888754
