,PRLHR (2834)
ACH-000004,-0.16247268314922605
ACH-000005,-0.3016040877951915
ACH-000007,-0.014449253967507604
ACH-000009,-0.2762191075561161
ACH-000011,-0.0038260403355979225
ACH-000012,-0.2579518401163678
ACH-000013,-0.0988317452753947
ACH-000014,-0.2924542171508032
ACH-000015,-0.1788997355299727
ACH-000017,-0.1730476208153461
ACH-000018,-0.030721473123753056
ACH-000019,-0.2649719521298057
ACH-000021,-0.0554925499255353
ACH-000022,-0.08418034341286622
ACH-000025,-0.09036191005922238
ACH-000028,-0.1323483648478412
ACH-000030,-0.24881837030374465
ACH-000035,-0.28859722492234097
ACH-000036,-0.2719102124461309
ACH-000037,-0.12940963536140826
ACH-000039,-0.2125146706470369
ACH-000040,-0.3121999220026929
ACH-000041,-0.1780505493421678
ACH-000042,-0.26562896261304514
ACH-000045,-0.11098555843583348
ACH-000047,-0.15006057177460028
ACH-000052,-0.16266049433149232
ACH-000053,-0.12281460178156632
ACH-000054,-0.3287803963397352
ACH-000055,-0.09022875605550347
ACH-000060,-0.08529218592992538
ACH-000067,-0.2548351142818885
ACH-000070,-0.1942414747288986
ACH-000075,-0.06171791020702036
ACH-000078,-0.1799380753067639
ACH-000082,-0.14214459435037552
ACH-000085,-0.2446262424324495
ACH-000086,-0.2295610857073891
ACH-000087,-0.1026819939877896
ACH-000092,-0.020793871208452386
ACH-000095,-0.188517834084061
ACH-000097,-0.15189201990632192
ACH-000098,-0.2684350208495934
ACH-000099,-0.28255432057503965
ACH-000108,-0.1755196912620354
ACH-000113,-0.22332411009670272
ACH-000116,-0.1801185257994798
ACH-000118,-0.17416984160223162
ACH-000120,-0.10353840425856327
ACH-000123,-0.16050154449194962
ACH-000127,-0.1913216375084419
ACH-000128,-0.1984751724800147
ACH-000132,-0.1643076490400573
ACH-000133,-0.3041236782345745
ACH-000137,-0.23260492743978484
ACH-000138,-0.13492272346085252
ACH-000142,-0.1069815075803104
ACH-000143,-0.2331440030436621
ACH-000146,0.003631782061982912
ACH-000148,-0.251019993163714
ACH-000150,-0.16637714588511607
ACH-000152,-0.08010776420189958
ACH-000153,-0.4697106382922856
ACH-000159,-0.28117175574842723
ACH-000160,-0.20146716649509347
ACH-000163,-0.055814968508665526
ACH-000167,0.4580046796888466
ACH-000168,-0.10576203092639484
ACH-000169,-0.015283612046608804
ACH-000178,-0.13511869838785606
ACH-000183,-0.20123416114347864
ACH-000188,-0.25142646861712936
ACH-000189,-0.16181215351533593
ACH-000190,-0.11178344169390904
ACH-000198,-0.14831545037661584
ACH-000203,0.1162214160881866
ACH-000204,-0.2486824696979413
ACH-000206,-0.20470592664232345
ACH-000207,-0.11601430265788215
ACH-000208,-0.2482138821568625
ACH-000210,-0.13109512049801228
