,NWD2 (57495)
ACH-000004,-0.012016238574040309
ACH-000005,-0.11485814232439005
ACH-000007,0.11482522513050294
ACH-000009,-0.04811384948852862
ACH-000011,-0.07180414893766833
ACH-000012,-0.045821195637668254
ACH-000013,-0.010709022243614748
ACH-000014,-0.03935221256763465
ACH-000015,-0.08799798724840166
ACH-000017,-0.1757150434603545
ACH-000018,-0.1131924592651248
ACH-000019,0.03985455566746777
ACH-000021,-0.05499405243110112
ACH-000022,-0.14103023122503391
ACH-000025,-0.16457895524486485
ACH-000028,-0.04235318493645402
ACH-000030,-0.1704020603201789
ACH-000035,0.026227434373433476
ACH-000036,-0.14035780041500914
ACH-000037,-0.18597259608176794
ACH-000039,-0.15224725447705995
ACH-000040,0.029492100154113236
ACH-000041,-0.016785869576158158
ACH-000042,-0.10918972009027264
ACH-000045,-0.036174033502827566
ACH-000047,-0.17768917670231366
ACH-000052,-0.1626974451827724
ACH-000053,-0.15233861588793388
ACH-000054,-0.0322858824725242
ACH-000055,-0.2183138363002389
ACH-000060,-0.13507201373913558
ACH-000067,-0.0704281247421556
ACH-000070,-0.12929190022159062
ACH-000075,0.012929375090881596
ACH-000078,-0.08049386143307588
ACH-000082,-0.043983874173328316
ACH-000085,-0.028566984077718894
ACH-000086,-0.036353435200007216
ACH-000087,0.06020598269493495
ACH-000092,-0.1056590964753876
ACH-000095,-0.010336722824628391
ACH-000097,-0.08300317262769316
ACH-000098,0.04397006306792735
ACH-000099,-0.04306661038140015
ACH-000108,-0.12428649724357307
ACH-000113,-0.16577320856075636
ACH-000116,-0.06005731470311997
ACH-000118,-0.11361404109625703
ACH-000120,0.016998394712304056
ACH-000123,-0.13773223957342484
ACH-000127,-0.13543592570192814
ACH-000128,0.008472895158795046
ACH-000132,-0.0961270391977278
ACH-000133,-0.2031153850814075
ACH-000137,-0.15098716877187562
ACH-000138,-0.003984659639050382
ACH-000142,-0.05516958267641717
ACH-000143,-0.31704673937439043
ACH-000146,-0.08141863077353306
ACH-000148,-0.05837857074366117
ACH-000150,-0.1243896560563848
ACH-000152,-0.0465102328847716
ACH-000153,-0.006785482152687974
ACH-000159,-0.19707160848942187
ACH-000160,-0.07582256494259444
ACH-000163,-0.2564271436252345
ACH-000167,-0.14777642307034716
ACH-000168,-0.1579796290153921
ACH-000169,-0.07535994174685932
ACH-000178,0.014748771706538969
ACH-000183,-0.04324903168659842
ACH-000188,-0.062425072099290525
ACH-000189,0.013061278025630738
ACH-000190,-0.08231549694567783
ACH-000198,-0.06744231504403622
ACH-000203,-0.2737683336928993
ACH-000204,-0.0973250540225824
ACH-000206,-0.14328343854998266
ACH-000207,0.16884058499984225
ACH-000208,-0.09368324568746983
ACH-000210,0.048609283760540516
ACH-000211,0.048493558046668515
ACH-000215,-0.11940418175828008
ACH-000221,-0.02150239430668861
ACH-000222,-0.14383500895348045
ACH-000223,-0.04157039430005493
ACH-000226,-0.12564088172384896
ACH-000227,-0.08645034356268293
ACH-000228,-0.08408790126070337
ACH-000231,-0.10613471942701776
ACH-000232,-0.04181993783930938
ACH-000233,-0.05693250853064372
ACH-000234,0.03530205603603264
ACH-000235,-0.03337599109419278
ACH-000237,-0.15917702549798826
ACH-000238,-0.2927831145491966
ACH-000242,-0.022871214719620843
ACH-000243,-0.14364062338734715
ACH-000244,-0.08301775542860321
ACH-000246,-0.04263774027167073
ACH-000248,-0.10155185914903518
ACH-000250,-0.1300260930265726
ACH-000251,0.013021251631814336
ACH-000252,0.06113926442043774
ACH-000253,-0.09770470179028376
ACH-000255,-0.03740065713592735
ACH-000256,-0.02186263184644112
ACH-000257,-0.2038245276122473
ACH-000258,-0.0310888476219078
ACH-000259,-0.072838866369937
ACH-000260,-0.09616328013446307
ACH-000261,-0.12507415130905447
ACH-000262,-0.07880319818362158
ACH-000263,-0.17689475751951092
ACH-000264,-0.16450562865305274
ACH-000265,-0.04143061577533316
ACH-000266,-0.11010369933233394
ACH-000272,-0.0877925789942246
ACH-000274,-0.6610283539993552
ACH-000277,-0.03583503693155188
ACH-000278,-0.06840520599105415
