,DIRAS3 (9077)
ACH-000004,-0.1079717489066126
ACH-000005,-0.09203423591121476
ACH-000007,-0.07322675283113612
ACH-000009,-0.15314300568322167
ACH-000011,-0.1345322578032747
ACH-000012,-0.30020158172722233
ACH-000013,-0.21311590620511414
ACH-000014,-0.1767409953528132
ACH-000015,-0.1811627248874146
ACH-000017,-0.2341919026199046
ACH-000018,-0.13829821222750505
ACH-000019,-0.12139719715299548
ACH-000021,-0.3509135545455471
ACH-000022,-0.16816536529788406
ACH-000025,-0.2321980026576989
ACH-000028,-0.22836911838980364
ACH-000030,-0.2498004357739652
ACH-000035,-0.3301936045120871
ACH-000036,-0.1365482271727396
ACH-000037,-0.1917769134216633
ACH-000039,-0.17000650158076874
ACH-000040,-0.17608081037785586
ACH-000041,-0.37661842317194827
ACH-000042,-0.11969591867693173
ACH-000045,-0.04358510716456897
ACH-000047,-0.10258734154974633
ACH-000052,-0.2422397667461731
ACH-000053,-0.2363302880184058
ACH-000054,-0.08260013342278552
ACH-000055,-0.1066522209575046
ACH-000060,-0.30323712759353033
ACH-000067,-0.038052895442767916
ACH-000070,-0.0703950447667772
ACH-000075,-0.1405164630651403
ACH-000078,-0.3370065480201397
ACH-000082,-0.1804723244944783
ACH-000085,-0.30491336646797834
ACH-000086,-0.21197490490230386
ACH-000087,-0.18678322245131326
ACH-000092,-0.2764957170191927
ACH-000095,-0.12648452515029912
ACH-000097,-0.1358341900234497
ACH-000098,-0.20491041734370352
ACH-000099,-0.16046948729903715
ACH-000108,-0.12428998986265495
ACH-000113,-0.18878500834119807
ACH-000116,-0.1935342374325414
ACH-000118,-0.2031426075334466
ACH-000120,-0.13094003938004084
ACH-000123,-0.2002477298344072
ACH-000127,-0.26958520965446464
ACH-000128,-0.18957054193916245
ACH-000132,-0.2435753374796001
ACH-000133,-0.2209971091601018
ACH-000137,-0.2388147099088199
ACH-000138,-0.06604533741748403
ACH-000142,-0.1647012220960375
ACH-000143,-0.21137298015601635
ACH-000146,-0.10932189594103002
ACH-000148,-0.10969377459287112
ACH-000150,-0.2890857051569556
ACH-000152,-0.20758251292746852
ACH-000153,-0.18972340738067794
ACH-000159,-0.07954576383850387
ACH-000160,-0.09915581751563897
ACH-000163,-0.28660150645514865
ACH-000167,0.2687550820358902
ACH-000168,-0.12630479608717118
ACH-000169,-0.17739441164129466
ACH-000178,-0.2372782568775501
ACH-000183,-0.08354066740616628
ACH-000188,-0.2741082366507697
ACH-000189,-0.1479567736380372
ACH-000190,-0.210397993967968
ACH-000198,-0.2918672215084521
ACH-000203,0.32502145307674496
ACH-000204,-0.02811109926478788
ACH-000206,-0.6166742630075818
ACH-000207,-0.08595654450251282
ACH-000208,-0.3199560327816793
ACH-000210,0.02819294194233185
ACH-000211,-0.047742681838033374
ACH-000215,-0.2549340818710101
ACH-000221,-0.3701495592777788
ACH-000222,-0.14576340281455571
ACH-000223,-0.12647235562915873
ACH-000226,-0.18128163726835467
ACH-000227,-0.1336901276944893
ACH-000228,-0.351674182532818
ACH-000231,-0.14551160483994827
ACH-000232,-0.1148643928588312
