,RPTOR (57521)
ACH-000004,-0.7137900999539418
ACH-000005,-0.7326804653589479
ACH-000007,-0.8470890245138927
ACH-000009,-0.7701821485846487
ACH-000011,-0.609150013851807
ACH-000012,-0.6443798064607646
ACH-000013,-0.7739206709527618
ACH-000014,-0.7828777228740598
ACH-000015,-0.6429916175506715
ACH-000017,-0.8290567958725007
ACH-000018,-0.9003276226617055
ACH-000019,-0.629665331303582
ACH-000021,-0.98505726892196
ACH-000022,-0.6869640112931819
ACH-000025,-0.7501249966571251
ACH-000028,-0.8047651472386571
ACH-000030,-0.889211440479393
ACH-000035,-0.8024646605040078
ACH-000036,-0.7783504228696957
ACH-000037,-0.8601631635705191
ACH-000039,-0.6712755172047128
ACH-000040,-0.8386708972537958
ACH-000041,-0.7396811458151187
ACH-000042,-0.4312566870438487
ACH-000045,-0.7722231507788456
ACH-000047,-0.4234859709150629
ACH-000052,-0.7625820082087412
ACH-000053,-0.8466926371960669
ACH-000054,-0.7841185558556781
ACH-000055,-0.7690809354035408
ACH-000060,-0.8211331340066772
ACH-000067,-0.9628556399714876
ACH-000070,-0.6832007399839733
ACH-000075,-0.8067719019246568
ACH-000078,-0.747399298017119
ACH-000082,-0.6985356070983002
ACH-000085,-0.6358374238837831
ACH-000086,-0.9725793508110044
ACH-000087,-0.904887446986022
ACH-000092,-0.7418148457957408
ACH-000095,-0.6350171670654717
ACH-000097,-0.6567758647289167
ACH-000098,-0.8117567041361291
ACH-000099,-0.6191401653875533
ACH-000108,-0.5267075963840927
ACH-000113,-0.7900175721862704
ACH-000116,-0.693816343015946
ACH-000118,-0.43171187652945775
ACH-000120,-0.6441470521256379
ACH-000123,-0.6682298089609708
ACH-000127,-0.9763947460293056
ACH-000128,-0.8765614956214846
ACH-000132,-0.7549282754548327
ACH-000133,-0.7542719951534216
ACH-000137,-0.6616807553101892
ACH-000138,-0.6932861615536448
ACH-000142,-0.8314816161484787
ACH-000143,-0.9579207663275124
ACH-000146,-0.6188726681228912
ACH-000148,-0.9929588043016564
ACH-000150,-1.0319520892531626
ACH-000152,-0.8476061732037337
ACH-000153,-0.6350579534614413
ACH-000159,-0.9008110746302834
ACH-000160,-0.6547025458877651
ACH-000163,-1.0780564450627759
ACH-000167,-0.9313512386627376
ACH-000168,-0.8983578818799101
ACH-000169,-0.6661257383270014
ACH-000178,-0.7020583431691455
ACH-000183,-0.8882526973161556
ACH-000188,-0.6684928821306148
ACH-000189,-1.060334716159208
ACH-000190,-0.7478605656057401
ACH-000198,-0.7010339118255269
ACH-000203,-1.0986999448883892
ACH-000204,-0.9771993965484778
ACH-000206,-0.8864701640298306
ACH-000207,-0.6372404127654374
ACH-000208,-0.8714657330193311
ACH-000210,-0.5033433112799129
ACH-000211,-0.9860672909905372
ACH-000215,-0.9735481486424707
ACH-000221,-0.7928326534032614
ACH-000222,-0.5434969258483558
ACH-000223,-0.7259049980800514
ACH-000226,-0.6478672281880843
ACH-000227,-0.6672109735709961
ACH-000228,-0.7834180712147198
ACH-000231,-0.9051150498840642
ACH-000232,-0.8850480082498892
ACH-000233,-0.6414524062498254
ACH-000234,-0.6473889095719749
ACH-000235,-0.7549953064640407
ACH-000237,-0.6435360905942247
ACH-000238,-0.6368148321172804
ACH-000242,-0.5826646676898871
ACH-000243,-0.8510440171414505
ACH-000244,-0.9277468432084388
ACH-000246,-0.7041722252407802
ACH-000248,-1.0623849714229503
ACH-000250,-0.7032635740676145
ACH-000251,-0.7515485552065699
ACH-000252,-0.7252894932305045
ACH-000253,-0.6612442277836067
ACH-000255,-0.8968192697975158
ACH-000256,-0.8044445515654969
ACH-000257,-0.6909757586121439
ACH-000258,-0.7581425845936358
ACH-000259,-0.6797492802493279
ACH-000260,-0.6071026016116285
ACH-000261,-0.6612217814808757
ACH-000262,-0.7212887317605259
ACH-000263,-0.5004142281519641
ACH-000264,-0.5266249485653353
ACH-000265,-0.7998818053134049
ACH-000266,-0.7901000459470985
ACH-000272,-0.924528322797126
ACH-000274,-0.714723256921068
ACH-000277,-0.7595902495516461
ACH-000278,-0.6601789654865025
ACH-000279,-0.9467939512804592
ACH-000280,-0.7071592843460557
ACH-000281,-0.6219369953641665
ACH-000288,-0.9669073403880826
ACH-000291,-0.8302939978940371
ACH-000293,-0.6438478941429244
ACH-000294,-0.7435542369318214
ACH-000295,-0.8935540995310183
ACH-000296,-0.8081211443353487
ACH-000302,-0.8830326784922162
ACH-000304,-0.8632099864289433
ACH-000307,-0.6749123573736092
ACH-000308,-0.9159410112444932
ACH-000310,-0.8557477844256818
ACH-000311,-0.7049580176146492
ACH-000312,-0.8330768537139281
ACH-000315,-1.1133213833111573
ACH-000316,-0.9466555671078516
ACH-000317,-0.8337107859311433
ACH-000318,-0.6252065763832708
ACH-000319,-0.6780582860142627
ACH-000320,-0.8012567497482596
ACH-000322,-0.6489853975773243
ACH-000323,-1.1200461760377798
ACH-000324,-0.7572358817724436
ACH-000329,-0.94190928531854
ACH-000330,-0.7800394412134609
ACH-000331,-0.7460861491280536
ACH-000332,-0.6792180001200099
ACH-000334,-1.25172357657247
ACH-000335,-0.9590516731471632
ACH-000336,-0.564807810796508
ACH-000337,-0.6134183941731733
ACH-000338,-0.6525471559343046
ACH-000339,-0.8571371683604857
ACH-000341,-0.6261072379543011
ACH-000348,-0.5334159053191675
ACH-000350,-0.4744466492477642
ACH-000352,-0.8601043690651686
ACH-000356,-0.6120917524271399
ACH-000361,-1.1760181335003914
ACH-000362,-0.8189894032539399
ACH-000363,-0.7632638209996359
ACH-000364,-0.6309758792494098
ACH-000365,-0.9841902227110304
ACH-000366,-0.836418703904388
ACH-000368,-0.5614141671832964
ACH-000374,-0.7144889720912692
ACH-000375,-0.7468766458447755
ACH-000376,-0.9022918752671268
ACH-000381,-0.7355264018340799
ACH-000383,-0.8418757773506687
ACH-000387,-0.8757084512472748
ACH-000389,-0.7779889395162254
ACH-000390,-0.7285349197053914
ACH-000393,-0.908732143021508
ACH-000395,-0.7741709311654571
ACH-000396,-0.7326816207993381
ACH-000397,-0.921555041672084
ACH-000401,-0.3236460320952275
ACH-000402,-0.5004915345872544
ACH-000403,-0.7998521905051257
ACH-000404,-0.5322081074742432
ACH-000406,-1.0013144043240658
ACH-000407,-0.5643328767830947
ACH-000408,-0.5726148910622234
ACH-000410,-0.619170096417021
ACH-000411,-0.720291616074543
ACH-000414,-0.5810238421565748
ACH-000415,-0.7107791730323166
ACH-000416,-0.9203240791347068
ACH-000420,-0.7433089220170259
ACH-000421,-0.6435360060743878
ACH-000424,-0.7196906137628305
ACH-000425,-1.0500881913681408
ACH-000426,-0.7587294671566049
ACH-000427,-0.4906530503267248
ACH-000433,-0.7544189927060984
ACH-000435,-0.7262856334505475
ACH-000436,-0.5550243969043791
ACH-000444,-0.5166196376592254
ACH-000445,-0.7953335028158386
ACH-000448,-0.5158760093821925
ACH-000450,-0.8582554826633813
ACH-000452,-0.6175621615240383
ACH-000454,-0.6980565804158206
ACH-000458,-0.5390172536595887
ACH-000459,-0.4949117931302775
ACH-000460,-0.9095978511622748
ACH-000461,-0.6621270195213127
ACH-000463,-0.8646821426517871
ACH-000464,-0.8658792723679651
ACH-000466,-0.7240774058857533
ACH-000467,-0.6616736489129557
ACH-000468,-0.6918597494728249
ACH-000469,-0.8048587491103855
ACH-000470,-0.6212350452018703
ACH-000471,-1.09535788977271
ACH-000472,-0.7010449075125265
ACH-000473,-0.6540102685617001
ACH-000475,-0.8050055419863267
ACH-000476,-0.7863263831148206
ACH-000477,-0.6966135784296412
ACH-000479,-0.579342667463715
ACH-000480,-0.7325807017982329
ACH-000481,-0.7506794280524999
ACH-000483,-0.7819825588288171
ACH-000484,-0.6377451600846137
ACH-000485,-0.4151202575224509
ACH-000486,-0.7473029408740198
ACH-000487,-0.7255743109762212
ACH-000488,-0.7442799109781558
ACH-000490,-0.6914244419302682
ACH-000491,-0.5560763205414098
ACH-000495,-0.5067869355301128
ACH-000496,-0.8514562613519011
ACH-000499,-0.6090571575520554
ACH-000500,-0.6307713741103933
ACH-000502,-0.6398373901977917
ACH-000503,-0.8032018717222147
ACH-000505,-0.9016326239851766
ACH-000507,-0.752201477112787
ACH-000510,-0.6973223361824297
ACH-000511,-0.7133683381328791
ACH-000512,-0.6804809916706539
ACH-000516,-0.7874066552419203
ACH-000517,-0.9488501819389688
ACH-000518,-0.6546723678480653
ACH-000520,-0.7985644199827507
ACH-000521,-0.8693971322253014
ACH-000522,-0.8324282863333795
ACH-000524,-0.7194617211889702
ACH-000527,-0.6987459891712853
ACH-000528,-0.6973816901775522
ACH-000537,-0.6182797050397117
ACH-000541,-0.4159614011823733
ACH-000542,-0.822426101807766
ACH-000544,-1.069962527870726
ACH-000545,-0.8441688101546785
ACH-000547,-0.9443466693389582
ACH-000548,-0.8261655718339906
ACH-000549,-0.941404486851988
ACH-000550,-0.892212038285654
ACH-000552,-0.6350777494561984
ACH-000556,-0.6908926012543405
ACH-000557,-0.6090941290774824
ACH-000569,-0.3576486723022254
ACH-000570,-0.7609913140189839
ACH-000571,-0.5787439607070394
ACH-000573,-0.6981804844871051
ACH-000576,-0.6564943160786463
ACH-000579,-0.6222949857176816
ACH-000580,-0.5295877966678115
ACH-000584,-0.5744129876720633
ACH-000585,-0.6393112812854774
ACH-000588,-0.7769351774846781
ACH-000589,-0.5949564450633948
ACH-000591,-0.7233740913402686
ACH-000593,-0.8891652867663468
ACH-000600,-0.8953950820725534
ACH-000601,-0.8553635714734027
ACH-000605,-0.6627819435031601
ACH-000606,-0.6499445004997506
ACH-000608,-0.6819939814336294
ACH-000614,-0.6770253924495458
ACH-000616,-0.6849845417344531
ACH-000618,-0.5693421621602268
ACH-000619,-0.8224749861931042
ACH-000620,-0.6611757989690791
ACH-000621,-0.6438318041729266
ACH-000622,-0.7994009125014158
ACH-000623,-0.8194157568902364
ACH-000624,-0.6951991423363928
ACH-000627,-0.7830418448443061
ACH-000630,-0.7881453417036741
ACH-000631,-0.9618631699537687
ACH-000632,-0.7788928161666888
ACH-000633,-0.93984257890831
ACH-000637,-0.6456266886631797
ACH-000638,-0.6867285112867789
ACH-000646,-0.7887209883717626
ACH-000647,-0.8054278568085579
ACH-000648,-0.5690733072668374
ACH-000649,-0.7438456239939443
ACH-000651,-0.9089562958023464
ACH-000652,-0.6095333256114581
ACH-000653,-0.448092573927816
ACH-000657,-0.8076965388627451
ACH-000658,-0.5798797982965247
ACH-000661,-0.6331072183615456
ACH-000662,-0.7458143176403563
ACH-000663,-0.7202468985265593
ACH-000665,-0.6488578099245468
ACH-000671,-0.7368283531222436
ACH-000672,-1.0515953440190478
ACH-000673,-0.9408092541309708
ACH-000676,-0.9064807742818101
ACH-000677,-0.40670581589580296
ACH-000681,-0.6755847504599282
ACH-000683,-0.6746803911456074
ACH-000684,-0.6893967478774158
ACH-000688,-0.6832015633504143
ACH-000693,-0.670247514923155
ACH-000694,-0.7293055113947641
ACH-000695,-0.5304464339633536
ACH-000696,-0.8019907410667552
