,SUCO (51430)
ACH-000004,-0.26943983308033465
ACH-000005,-0.19315894524557845
ACH-000007,-0.4550703267657836
ACH-000009,-0.4538247992456376
ACH-000011,-0.1755935881560909
ACH-000012,-0.12991829253667114
ACH-000013,-0.3802755308402745
ACH-000014,-0.3516244072642776
ACH-000015,-0.4517575806846669
ACH-000017,-0.18569751009187474
ACH-000018,-0.3325686913327972
ACH-000019,-0.23130169812383397
ACH-000021,-0.20804176608733693
ACH-000022,-0.17036500164759066
ACH-000025,-0.2336134978638211
ACH-000028,-0.0022811472523753657
ACH-000030,-0.5209223962433395
ACH-000035,-0.2873600839806564
ACH-000036,-0.5346256698252353
ACH-000037,-0.16602721678421026
ACH-000039,-0.3535168549925537
ACH-000040,-0.21431974593843509
ACH-000041,-0.21710155157360245
ACH-000042,-0.15638386006884694
ACH-000045,-0.21609997556009264
ACH-000047,-0.2035244750375189
ACH-000052,-0.3756901319202265
ACH-000053,-0.3121349708403868
ACH-000054,-0.10473125954498147
ACH-000055,-0.6805685357934462
ACH-000060,-0.07550919473180534
ACH-000067,-0.09642341699218747
ACH-000070,0.022744634661183896
ACH-000075,-0.1716281874784185
ACH-000078,0.0007205422670461026
ACH-000082,-0.32131976439967425
ACH-000085,-0.5757327057851997
ACH-000086,-0.331807397201582
ACH-000087,-0.12105058288185118
ACH-000092,-0.20743235188327136
ACH-000095,-0.1832235890117208
ACH-000097,-0.2823871939398714
ACH-000098,-0.4471599873736666
ACH-000099,-0.2560142164994232
ACH-000108,-0.5107531260325905
ACH-000113,-0.364479683997841
ACH-000116,-0.18390402524977648
ACH-000118,0.1189442860426733
ACH-000120,-0.3912892483282082
ACH-000123,-0.3653938562328821
ACH-000127,-0.17409352010787704
ACH-000128,-0.2406196498641298
ACH-000132,-0.4688220504008126
ACH-000133,-0.295683674235323
ACH-000137,-0.2449264213086416
ACH-000138,-0.2412366220515051
ACH-000142,-0.15818860971677734
ACH-000143,-0.1883116359350686
ACH-000146,-0.3832096541993245
ACH-000148,-0.2281102067444753
ACH-000150,-0.4712469431712376
ACH-000152,-0.21117440193706746
ACH-000153,-0.3980750120300812
ACH-000159,-0.10906970077513284
ACH-000160,-0.3631574160591193
ACH-000163,-0.15340802746917293
ACH-000167,-0.15966946520921796
ACH-000168,-0.0977679800370627
ACH-000169,0.04818696169276163
ACH-000178,-0.5903895614014321
ACH-000183,-0.15518380329426007
ACH-000188,-0.4020603490544936
ACH-000189,0.06369445731390855
ACH-000190,-0.3780268122892023
ACH-000198,-0.18528963257903755
ACH-000203,-0.2996700464001337
ACH-000204,-0.31871730084983146
ACH-000206,-0.2259292529862703
ACH-000207,-0.1597638861815713
ACH-000208,-0.4598749743757853
ACH-000210,-0.21977641770614156
ACH-000211,-0.2421850157830976
ACH-000215,-0.4126853817911075
ACH-000221,-0.05091578885283656
ACH-000222,-0.25362202963629976
ACH-000223,-0.15842761139564182
ACH-000226,-0.10106834664598316
ACH-000227,-0.11001475834284072
ACH-000228,-0.7599567519598728
ACH-000231,-0.2277018266567196
ACH-000232,-0.4635271480340774
ACH-000233,-0.3313790697320484
ACH-000234,-0.33604826299646345
ACH-000235,-0.3038730068640917
ACH-000237,-0.767000591856675
ACH-000238,-0.047831048791739536
ACH-000242,-0.4210316240205644
ACH-000243,-0.5321439316871621
ACH-000244,-0.2148254555115008
ACH-000246,-0.13951329958128594
ACH-000248,-0.2863760202887553
ACH-000250,-0.6156000787437811
ACH-000251,-0.7249015313583812
ACH-000252,-0.3537097866816555
ACH-000253,-0.3265916044936953
ACH-000255,-0.3916824324637019
ACH-000256,-0.3483940440190841
ACH-000257,-0.14518730222951273
ACH-000258,-0.14121601224295727
ACH-000259,-0.32344896891039243
ACH-000260,-0.2236719756481529
ACH-000261,-0.11823258800421725
ACH-000262,-0.2720444611912103
ACH-000263,-0.3508777103184937
ACH-000264,-0.24571859560134926
ACH-000265,-0.1521228047494732
ACH-000266,-0.1578304753516491
ACH-000272,-0.3056402915026512
ACH-000274,-0.6455555592167705
ACH-000277,-0.11973291535607265
ACH-000278,-0.4208237309389084
ACH-000279,-0.20286196141637666
ACH-000280,-0.2003906796448634
ACH-000281,-0.29036040432959703
ACH-000288,-0.14468944385811414
ACH-000291,-0.6355827266868288
ACH-000293,-0.3162569180049625
ACH-000294,-0.3542066087555001
ACH-000295,-0.11317198028906135
ACH-000296,-0.3903238694275145
ACH-000302,-0.17906398584494368
ACH-000304,-0.42545163462435215
ACH-000307,-0.1697119151146765
ACH-000308,-0.4398454027043672
ACH-000310,-0.22102894840254747
ACH-000311,-0.4995266226606542
ACH-000312,-0.1670710176964749
ACH-000315,-0.08298232221957881
ACH-000316,-0.27029389500821976
ACH-000317,-0.4200094427634775
ACH-000318,-0.2402902830931629
ACH-000319,-0.5877012457213335
ACH-000320,-0.2426039499855399
ACH-000322,-0.08059341585464193
ACH-000323,-0.2308832831783568
ACH-000324,-0.4247370134312531
ACH-000329,-0.2423394536963085
ACH-000330,-0.3939578912494898
ACH-000331,-0.7542133672171952
ACH-000332,-0.4093591514229983
ACH-000334,-0.02123639261278396
ACH-000335,-0.5482928599998353
ACH-000336,-0.109590733841133
ACH-000337,-0.4982915132140458
ACH-000338,-0.17296459186278645
ACH-000339,-0.34820154977434553
ACH-000341,-0.0978642831199178
ACH-000348,-0.15796878533568165
ACH-000350,-0.14105689962198312
ACH-000352,-0.11326102898585362
ACH-000356,-0.35133713626316443
ACH-000361,-0.2740994303976168
ACH-000362,-0.19139974901480886
ACH-000363,0.06361868572172419
ACH-000364,-0.4865734832215076
ACH-000365,-0.40457982721707625
ACH-000366,-0.15034173674329396
ACH-000368,-0.4134660799774458
ACH-000374,-0.26717483476290443
ACH-000375,-0.6077128323040187
ACH-000376,-0.5608898344310665
ACH-000381,-0.4419058114821799
ACH-000383,-0.17126294431951786
ACH-000387,-0.3776895082613782
ACH-000389,-0.2778232748947476
ACH-000390,-0.4557866248539149
ACH-000393,-0.4781751505509445
ACH-000395,-0.17333623612249335
ACH-000396,-0.34817910736953833
ACH-000397,-0.035340471493634784
ACH-000401,-0.6445583710212932
ACH-000402,-0.5875832371121218
ACH-000403,-0.188616486517263
ACH-000404,-0.34614718260085203
ACH-000406,-0.18591771038466445
ACH-000407,-0.4319204323113397
ACH-000408,-0.17080981350435148
ACH-000410,-0.4247630029335936
ACH-000411,-0.4051163613500462
ACH-000414,-0.30200133217400216
ACH-000415,-0.20206678170363526
ACH-000416,-0.5071757806534936
ACH-000420,-0.5232214140725036
ACH-000421,-0.41295734835697395
ACH-000424,-0.16113391961368864
ACH-000425,-0.2493751362247309
ACH-000426,-0.022397478654618573
ACH-000427,-0.5248910627532911
ACH-000433,-0.38914454581002006
ACH-000435,-0.21741294797145394
ACH-000436,-0.0749383790203717
ACH-000444,-0.320761814969215
ACH-000445,-0.5497935138931359
ACH-000448,-0.16072487092778898
ACH-000450,-0.5753136076829174
ACH-000452,-0.1842619645808564
ACH-000454,-0.8327966783176804
ACH-000458,-0.7602442923071918
ACH-000459,0.11020600377576684
ACH-000460,-0.2892330073747361
ACH-000461,-0.21756461685409076
ACH-000463,-0.6059724957467634
ACH-000464,-0.3055096777056445
ACH-000466,-0.08095092028088766
ACH-000467,-0.371176806803292
ACH-000468,-0.4011185507707234
ACH-000469,-0.43936062400515735
ACH-000470,-0.34662243831021544
ACH-000471,-0.6029429227083328
ACH-000472,-0.008598917506018839
ACH-000473,-0.18880514988117333
ACH-000475,-0.5351745321133253
ACH-000476,-0.012133873654959552
ACH-000477,-0.01508829876874043
ACH-000479,-0.13429410538239356
ACH-000480,-0.13285195923252371
ACH-000481,-0.7562808694081145
ACH-000483,-0.34219173154134863
ACH-000484,-0.06606591414480892
ACH-000485,-0.11184075175646452
ACH-000486,-0.13921755926589185
ACH-000487,-0.13669846937523186
ACH-000488,-0.3199162082230374
ACH-000490,-0.384865241572812
ACH-000491,-0.2834312646944561
ACH-000495,-0.2199795196228999
ACH-000496,-0.5888597120421286
ACH-000499,-0.002318887660688829
ACH-000500,-0.2881343530208367
ACH-000502,-0.3650103882335269
ACH-000503,-0.4385546567437282
ACH-000505,-0.08760161693959298
ACH-000507,-0.27626516540628754
ACH-000510,-0.296754692607968
ACH-000511,0.034634340759524145
ACH-000512,-0.44722423222035584
ACH-000516,-0.4535270206882777
ACH-000517,-0.4329081303184759
ACH-000518,-0.4977846530772628
ACH-000520,-0.4099935728460187
ACH-000521,-0.4542220939355002
ACH-000522,-0.20778551695948608
ACH-000524,-0.2890897486126597
ACH-000527,-0.05510658971542922
ACH-000528,-0.026614173710515904
ACH-000537,-0.1927180619134882
ACH-000541,-0.23267429943963344
ACH-000542,-0.29469403026435675
ACH-000544,-0.4586956367809387
ACH-000545,-0.1759862272620489
ACH-000547,-0.037147814096054124
ACH-000548,-0.7662699762979241
ACH-000549,-0.24701344266746525
ACH-000550,-0.3877835627543981
ACH-000552,-0.15787093101305286
ACH-000556,-0.1083803985950016
ACH-000557,-0.13341896509068046
ACH-000569,-0.3588232267467527
ACH-000570,-0.35064851492877896
ACH-000571,-0.4765620120467927
ACH-000573,-0.2042042162473471
ACH-000576,-0.1482571056123027
ACH-000579,-0.08046592832956191
ACH-000580,-0.0944406155739921
ACH-000584,0.04994904423220146
ACH-000585,-0.06494071609474777
ACH-000588,-0.21739024802934206
ACH-000589,-0.43352481398993103
ACH-000591,-0.07461307814397057
ACH-000593,-0.5058019579936054
ACH-000600,-0.3843585344410643
ACH-000601,-0.2522222996667882
ACH-000605,-0.5762212814466134
ACH-000606,-0.38623097677781376
ACH-000608,-0.2820875123789165
ACH-000614,-0.15303146187880032
ACH-000616,-0.13924056320989991
ACH-000618,-0.3580518614969756
ACH-000619,-0.16705288159728604
ACH-000620,-0.1880127938476749
ACH-000621,-0.2551996600931431
ACH-000622,-0.4135625814434802
ACH-000623,-0.3845180366714883
ACH-000624,-0.8269698395103704
ACH-000627,-0.2162727323749532
ACH-000630,-0.5011673685258542
ACH-000631,-0.7950079985692793
ACH-000632,-0.4588789136164266
ACH-000633,-0.2512091939631072
ACH-000637,-0.11071479136141528
ACH-000638,-0.11257482373644008
ACH-000646,-0.046074556977554214
ACH-000647,-0.4211166849505963
ACH-000648,-0.5181669163115274
ACH-000649,-0.3067845466635273
ACH-000651,-0.2762682622280275
ACH-000652,-0.5795375588807802
ACH-000653,-0.17683562948115072
ACH-000657,-0.24974326113563436
ACH-000658,-0.2994022759960859
ACH-000661,-0.31649773876126946
ACH-000662,-0.41106929913633705
ACH-000663,-0.1731816377383175
ACH-000665,-0.7387634340598119
