,ATG2A (23130)
ACH-000004,-0.30220035606059725
ACH-000005,0.036984691551984465
ACH-000007,-0.3719311994036396
ACH-000009,-0.3296319603123532
ACH-000011,-0.22170279424733108
ACH-000012,-0.26752956713054976
ACH-000013,-0.31335860414293804
ACH-000014,-0.10565205855854386
ACH-000015,-0.20174318868951274
ACH-000017,-0.07379436680177444
ACH-000018,-0.3621744340824192
ACH-000019,-0.2297530516816614
ACH-000021,-0.4075139483192153
ACH-000022,-0.38253085125954295
ACH-000025,-0.29087535239692464
ACH-000028,-0.23647860004834534
ACH-000030,-0.2256723174587616
ACH-000035,-0.3496807640953197
ACH-000036,-0.2918191903415755
ACH-000037,-0.258450926459755
ACH-000039,-0.3847195616173527
ACH-000040,-0.17579663883719066
ACH-000041,-0.1859373281074468
ACH-000042,-0.3017589319948758
ACH-000045,-0.3604259281505247
ACH-000047,-0.17378285118170375
ACH-000052,-0.1594440444087543
ACH-000053,-0.2575104238823219
ACH-000054,-0.3092547514109194
ACH-000055,-0.10939543567569676
ACH-000060,-0.19850483268922692
ACH-000067,-0.2416242885885508
ACH-000070,-0.2622873168283628
ACH-000075,-0.2642722023771535
ACH-000078,-0.3080132888343277
ACH-000082,-0.3397399423284929
ACH-000085,-0.3284408923889284
ACH-000086,-0.4650776475103052
ACH-000087,-0.4395314698823123
ACH-000092,-0.23327410088666176
ACH-000095,-0.18922338111972775
ACH-000097,-0.2136987134007552
ACH-000098,-0.1038415748613579
ACH-000099,-0.4911871803396802
ACH-000108,-0.23359220455733495
ACH-000113,-0.35494567061222904
ACH-000116,-0.38758386888986784
ACH-000118,-0.25666084939320144
ACH-000120,-0.27110883352239784
ACH-000123,-0.3535758183405304
ACH-000127,-0.2675796345279787
ACH-000128,-0.05826237310696499
ACH-000132,-0.4353738401931063
ACH-000133,-0.20312955575270425
ACH-000137,-0.4466873605765326
ACH-000138,-0.3239490764144223
ACH-000142,-0.3419228884904809
ACH-000143,-0.3428424255850984
ACH-000146,-0.12768019619118004
ACH-000148,-0.13327210425483973
ACH-000150,-0.2904286875112483
ACH-000152,-0.14152788710825612
ACH-000153,-0.3703177014963306
ACH-000159,-0.21471721077285624
ACH-000160,-0.4490269992355773
ACH-000163,-0.2441884245113512
ACH-000167,-0.4332917985569034
ACH-000168,-0.2918689583949716
ACH-000169,-0.3085858564176637
ACH-000178,-0.39641914137374457
ACH-000183,-0.22359468464063287
ACH-000188,-0.4121692860946938
ACH-000189,-0.5018554113939394
ACH-000190,-0.26953769081782475
ACH-000198,-0.2317600530695265
ACH-000203,-0.3172807131765477
ACH-000204,-0.3836090130061721
ACH-000206,-0.33679855104845297
ACH-000207,-0.4878139677449778
ACH-000208,-0.4107715252560277
ACH-000210,-0.3653919879377196
ACH-000211,-0.3161033764410486
ACH-000215,-0.20907871985093288
ACH-000221,-0.35754035910993304
ACH-000222,-0.4553928058840217
ACH-000223,-0.3250477647986844
ACH-000226,-0.3127384924975221
ACH-000227,-0.2554771390064374
ACH-000228,-0.38149240551587377
ACH-000231,-0.2249465556094521
ACH-000232,-0.1890947154795292
ACH-000233,-0.5008743560786239
ACH-000234,-0.20377392155234603
ACH-000235,-0.26575672285921603
