,FDX1 (2230)
ACH-000004,-0.4973818703014046
ACH-000005,-0.5662748593623157
ACH-000007,-0.3874554584702114
ACH-000009,-0.21441320270605252
ACH-000011,-0.3270679276668577
ACH-000012,-0.3372030387777931
ACH-000013,-0.4043114525566117
ACH-000014,-0.3699672650862693
ACH-000015,-0.24750163145363
ACH-000017,-0.4237087513835773
ACH-000018,-0.5175625126252934
ACH-000019,-0.5669400866586489
ACH-000021,-0.34634651799385485
ACH-000022,-0.3791457277790179
ACH-000025,-0.32052513053692777
ACH-000028,-0.6649706984813872
ACH-000030,-0.26609296695523976
ACH-000035,-0.1621411781236561
ACH-000036,-0.2028753990512801
ACH-000037,-0.32420547936549376
ACH-000039,-0.3333654075811029
ACH-000040,-0.28713582981790525
ACH-000041,-0.3337331264563749
ACH-000042,-0.4729242122331663
ACH-000045,-0.3317262389089196
ACH-000047,-0.6864368591514617
ACH-000052,-0.03743537292815742
ACH-000053,-0.6572562953510042
ACH-000054,-0.44209482075899537
ACH-000055,-0.5079655858404175
ACH-000060,-0.3528967148899049
ACH-000067,-0.05294981676234682
ACH-000070,-0.5136247795545428
ACH-000075,-0.26263801731057623
ACH-000078,-0.4445238531908856
ACH-000082,-0.41734182632883376
ACH-000085,-0.4346842181213226
ACH-000086,-0.3549489032433133
ACH-000087,-0.5074850280020583
ACH-000092,-0.3944579603967987
ACH-000095,-0.1607155654878362
ACH-000097,-0.3674780066864436
ACH-000098,-0.2559930093190681
ACH-000099,-0.35401304107061243
ACH-000108,-0.5954475763589108
ACH-000113,-0.6061433423673609
ACH-000116,-0.3757648062291731
ACH-000118,-0.7738633108539511
ACH-000120,-0.3975051857571157
ACH-000123,-0.06224591955522945
ACH-000127,-0.28525832395325146
ACH-000128,-0.4200579373005587
ACH-000132,-0.2346383291686588
ACH-000133,-0.17267570232250595
ACH-000137,-0.3975411652419069
ACH-000138,-0.44955556469683416
ACH-000142,-0.3930956187508328
ACH-000143,-0.236964905545364
ACH-000146,-0.3397384251895512
ACH-000148,-0.3083701157222426
ACH-000150,-0.20261386321995994
ACH-000152,-0.2341057144086207
ACH-000153,-0.6455138387941753
ACH-000159,-0.4017508590835179
ACH-000160,-0.5295941326141059
ACH-000163,-0.2455056594554863
ACH-000167,0.002047046046405776
ACH-000168,-0.3183455552748896
ACH-000169,-0.16558779587669434
ACH-000178,-0.41329348144960576
ACH-000183,-0.2545855677902821
ACH-000188,-0.25626489311706785
ACH-000189,-0.3047647550990976
ACH-000190,-0.3241963158029065
ACH-000198,-0.5675984494578206
ACH-000203,-0.018328950189085896
ACH-000204,-0.5969133179467934
ACH-000206,-0.2123144855028052
ACH-000207,-0.3459095135392434
ACH-000208,-0.6174992617327545
ACH-000210,-0.2541053576390184
ACH-000211,-0.26579896078989285
ACH-000215,-0.3945564214307468
ACH-000221,-0.3078269722807345
ACH-000222,-0.7017733054550378
ACH-000223,-0.2646150168837886
ACH-000226,-0.3349996191052004
ACH-000227,-0.2993937884308852
ACH-000228,-0.4574087651668226
ACH-000231,-0.3217570482828141
ACH-000232,-0.2427021362699789
ACH-000233,-0.30496113894858345
ACH-000234,-0.3316445418260883
ACH-000235,-0.50802555202526
ACH-000237,-0.25205204525317176
ACH-000238,-0.3731769143471058
ACH-000242,-0.3148827924146394
ACH-000243,-0.3342873114767
ACH-000244,-0.7061022365041697
ACH-000246,-0.5582014672031854
ACH-000248,-0.3457267622737412
ACH-000250,-0.2487579878422367
ACH-000251,-0.3921852596893244
ACH-000252,-0.4213547603464232
ACH-000253,-0.5094024130814382
ACH-000255,-0.4539381321129445
ACH-000256,-0.26242981836163576
ACH-000257,-0.33506670537023475
ACH-000258,-0.3713900801505981
ACH-000259,-0.5413215506318285
ACH-000260,-0.2375376783619253
ACH-000261,-0.4615750262011333
ACH-000262,-0.3663458623343108
ACH-000263,-0.2484376136038021
ACH-000264,-0.4548122933626369
ACH-000265,-0.40651508007285975
ACH-000266,-0.415276291611474
ACH-000272,-0.4191480944501944
ACH-000274,-0.3614387621562489
ACH-000277,-0.7370160837764205
ACH-000278,-0.19725662586954826
ACH-000279,-0.2408097156272616
ACH-000280,-0.11862511060809015
ACH-000281,-0.2471106468285157
ACH-000288,-0.2530166645143057
ACH-000291,-0.4179016472664749
ACH-000293,-0.32111299788663833
ACH-000294,-0.4074133172182024
ACH-000295,-0.6103733985466802
ACH-000296,0.09413563461197487
