,CCSAP (126731)
ACH-000004,-0.1989652427719928
ACH-000005,0.10552488895711028
ACH-000007,-0.4760910199154808
ACH-000009,-0.31578319419259016
ACH-000011,-0.26797130756530857
ACH-000012,-0.2286718435368753
ACH-000013,-0.1901449789408705
ACH-000014,-0.025264594328126864
ACH-000015,-0.2259819267945749
ACH-000017,-0.17282188150642253
ACH-000018,-0.4250628398508873
ACH-000019,-0.19795542191746685
ACH-000021,-0.18243435502457586
ACH-000022,-0.04828401374327405
ACH-000025,0.0026132333590388715
ACH-000028,-0.055137645619558535
ACH-000030,-0.2427412618868073
ACH-000035,0.0043424993037333775
ACH-000036,-0.2739471742005403
ACH-000037,-0.18787567358326407
ACH-000039,-0.3871576078216502
ACH-000040,-0.28415021727198103
ACH-000041,-0.1750991460495168
ACH-000042,-0.21311560721682604
ACH-000045,-0.19697882095698246
ACH-000047,-0.11561185908583965
ACH-000052,-0.1625776507009568
ACH-000053,-0.3107819503067213
ACH-000054,-0.2900714711825829
ACH-000055,-0.12425922977367615
ACH-000060,-0.09873448689553764
ACH-000067,-0.10544581516635117
ACH-000070,-0.273139717837441
ACH-000075,-0.3610155769311246
ACH-000078,0.004197039799238142
ACH-000082,-0.14840439973235084
ACH-000085,0.0011303124925003205
ACH-000086,-0.19533180705972575
ACH-000087,-0.03464105120269904
ACH-000092,-0.20546676719889914
ACH-000095,-0.3611373456745632
ACH-000097,-0.15260661109103746
ACH-000098,-0.2580995906295889
ACH-000099,-0.1458963060858473
ACH-000108,-0.2301369272604052
ACH-000113,-0.1872333774167829
ACH-000116,-0.12111885287583173
ACH-000118,-0.052047290748938636
ACH-000120,-0.08289512765298593
ACH-000123,-0.13815414004937787
ACH-000127,-0.04085050096756032
ACH-000128,-0.20892635713901012
ACH-000132,-0.07185322887887198
ACH-000133,-0.0783123534831318
ACH-000137,-0.2205997387045432
ACH-000138,-0.24588851268468584
ACH-000142,-0.34263400639963976
ACH-000143,-0.040453164752147615
ACH-000146,-0.1929997380281148
ACH-000148,-0.08021096342154202
ACH-000150,-0.14203833682129802
ACH-000152,-0.06846100040461191
ACH-000153,-0.25582735056209216
ACH-000159,-0.14521862610229033
ACH-000160,-0.10921676017617217
ACH-000163,-0.1983150374302161
ACH-000167,0.2215245728727494
ACH-000168,-0.14662998501889504
ACH-000169,-0.4137023448209472
ACH-000178,-0.22110182891973196
ACH-000183,-0.18393391405763146
ACH-000188,-0.11146301396542033
ACH-000189,-0.26126518604064364
ACH-000190,-0.32056696542086377
ACH-000198,-0.14249640576232098
ACH-000203,-0.4435992913961419
ACH-000204,-0.30476225783701444
ACH-000206,-0.055653751255349465
ACH-000207,-0.14921345074725245
ACH-000208,-0.2739686235211292
ACH-000210,-0.2604326979959103
ACH-000211,-0.2873241760908711
ACH-000215,-0.26123065231109754
ACH-000221,-0.032074907779958334
ACH-000222,-0.13923485855061346
ACH-000223,-0.2305586777541756
ACH-000226,-0.2602656592079381
ACH-000227,0.1325497531028436
ACH-000228,-0.10719406633115228
ACH-000231,-0.0450871013801617
ACH-000232,-0.20682901808351686
ACH-000233,-0.13228284609570107
ACH-000234,-0.3467595136704889
ACH-000235,-0.21159329395168425
ACH-000237,-0.2333213764968621
ACH-000238,-0.19518683206319185
ACH-000242,-0.09238629003333848
ACH-000243,-0.16920219790716212
ACH-000244,-0.2263618797336227
ACH-000246,-0.2739925057352093
ACH-000248,-0.23713219967526006
ACH-000250,-0.14840344784627624
ACH-000251,-0.2723830274540361
ACH-000252,0.08949711943711759
ACH-000253,-0.16485857322377975
ACH-000255,-0.16074859399761904
ACH-000256,-0.21896353904529206
ACH-000257,-0.09382095638272092
ACH-000258,-0.2695974179166541
ACH-000259,-0.20434199409838855
ACH-000260,-0.1977829681846069
ACH-000261,-0.18857874251396933
ACH-000262,0.018547484411337814
ACH-000263,-0.2300507151630763
