,TSR1 (55720)
ACH-000004,-1.4234351878535798
ACH-000005,-1.3175535542812022
ACH-000007,-1.256797103236831
ACH-000009,-1.1975414586313704
ACH-000011,-1.2121598440150685
ACH-000012,-1.15371569405756
ACH-000013,-1.277151907777199
ACH-000014,-1.3732295723263166
ACH-000015,-1.2944846632352915
ACH-000017,-1.187192267364137
ACH-000018,-1.1433131341134841
ACH-000019,-1.1548803031482644
ACH-000021,-1.2006108438474905
ACH-000022,-1.090231852169644
ACH-000025,-1.0940884788289869
ACH-000028,-0.9967071390850092
ACH-000030,-1.1212817588104838
ACH-000035,-1.1943273709123436
ACH-000036,-1.083104698327375
ACH-000037,-1.2499973662659423
ACH-000039,-1.369458752579934
ACH-000040,-1.1439996917441728
ACH-000041,-1.5116514317100622
ACH-000042,-1.4428699559534492
ACH-000045,-1.0954762134703562
ACH-000047,-1.1999346017885903
ACH-000052,-1.260213602314823
ACH-000053,-1.3792908419926946
ACH-000054,-1.1662127135586098
ACH-000055,-1.3755531250305342
ACH-000060,-1.3135934438304453
ACH-000067,-1.233259136343168
ACH-000070,-0.9546018857762028
ACH-000075,-1.1772109875278116
ACH-000078,-1.2579404403101415
ACH-000082,-1.2700492084831916
ACH-000085,-1.286786120094012
ACH-000086,-1.0985541076226255
ACH-000087,-1.2598516773837372
ACH-000092,-1.2080858304049344
ACH-000095,-1.3332144933131822
ACH-000097,-1.2423952379527354
ACH-000098,-1.3303715443869566
ACH-000099,-1.3239149005259507
ACH-000108,-1.2482883059907162
ACH-000113,-1.092061659374156
ACH-000116,-1.3857542578857682
ACH-000118,-1.1464022177564377
ACH-000120,-1.0979619547065649
ACH-000123,-1.2730529835631892
ACH-000127,-1.1578383432664887
ACH-000128,-1.0212474010456083
ACH-000132,-1.1997453202880315
ACH-000133,-1.1231339806776068
ACH-000137,-1.2660910912839514
ACH-000138,-1.2451139667885882
ACH-000142,-1.5308952727305638
ACH-000143,-1.4001217662565213
ACH-000146,-1.290185287990277
ACH-000148,-1.2049442283835596
ACH-000150,-1.115389872811292
ACH-000152,-1.1725229610901913
ACH-000153,-1.1105796376868031
ACH-000159,-0.9566454399677388
