,NAIF1 (203245)
ACH-000004,0.09024619527966936
ACH-000005,-0.28759515124638513
ACH-000007,-0.03247341144793619
ACH-000009,-0.2663672220663865
ACH-000011,-0.05225782030349243
ACH-000012,-0.23124663824084896
ACH-000013,-0.2193049264320565
ACH-000014,0.07160251477490423
ACH-000015,-0.22887390345032976
ACH-000017,-0.1676325996122461
ACH-000018,-0.42611477612736776
ACH-000019,-0.11748120520730025
ACH-000021,-0.1658409372968421
ACH-000022,-0.1773171669018965
ACH-000025,-0.18504625916938086
ACH-000028,-0.028777692483105306
ACH-000030,-0.096559572457945
ACH-000035,-0.11512833144764865
ACH-000036,-0.07134971123942255
ACH-000037,-0.02670034945598957
ACH-000039,-0.07352742149700983
ACH-000040,-0.16619056071979868
ACH-000041,-0.2337243772524962
ACH-000042,-0.2350197058608625
ACH-000045,-0.4065673727962194
ACH-000047,-0.2383597785507748
ACH-000052,-0.3692938568415861
ACH-000053,-0.0731728586724469
ACH-000054,-0.047882299230501586
ACH-000055,-0.08497923044775928
ACH-000060,-0.12510590115846695
ACH-000067,-0.10611330805378233
ACH-000070,-0.13271098345715895
ACH-000075,-0.005021755364271191
ACH-000078,-0.17611382688654034
ACH-000082,-0.07855651184279669
ACH-000085,0.03911400524370527
ACH-000086,0.013391149555913143
ACH-000087,-0.07813219325820515
ACH-000092,-0.16633921024617834
ACH-000095,-0.04701924235238195
ACH-000097,-0.028590224508300306
ACH-000098,-0.30775453725699675
ACH-000099,-0.1604118727642549
ACH-000108,-0.035196340886507166
ACH-000113,-0.09321869590669518
ACH-000116,-0.17512580577197556
ACH-000118,-0.06536466446492277
ACH-000120,-0.2565058674643576
ACH-000123,-0.09544229999795996
ACH-000127,-0.14665449904601358
ACH-000128,-0.27057005696463626
ACH-000132,-0.08770722899965565
ACH-000133,-0.1062328747386218
ACH-000137,0.09866280599766876
ACH-000138,-0.12611365049634907
ACH-000142,0.023466718957089197
ACH-000143,-0.25812614330484634
ACH-000146,-0.302571125748676
ACH-000148,-0.12641249464670012
ACH-000150,0.095153416063339
ACH-000152,0.04762333149826841
ACH-000153,-0.0452937839224083
ACH-000159,-0.09705127707856838
ACH-000160,-0.025064288938492014
ACH-000163,-0.10599347707548258
ACH-000167,-0.30728238312780576
ACH-000168,-0.2182213377079715
ACH-000169,-0.25069063151241794
ACH-000178,-0.12532313690965144
ACH-000183,-0.19190599532484945
ACH-000188,-0.2817946064470628
ACH-000189,0.031048490648847238
ACH-000190,-0.2308724203652481
ACH-000198,-0.2488926507149951
ACH-000203,0.6015709830206589
ACH-000204,-0.07895620459843894
ACH-000206,-0.09549100199137353
ACH-000207,-0.16357244380290045
ACH-000208,0.007151393286537155
ACH-000210,-0.009292703241503376
ACH-000211,-0.07400681194927271
ACH-000215,-0.1096786687421128
ACH-000221,-0.2471027241483138
ACH-000222,-0.2196623801795448
ACH-000223,-0.06981198993812854
ACH-000226,-0.1677992202263876
ACH-000227,-0.18567744719293694
ACH-000228,-0.19721283232452336
ACH-000231,-0.11727825682151165
ACH-000232,-0.036448244785109385
ACH-000233,-0.02207002728907457
ACH-000234,-0.27123838599314604
ACH-000235,-0.12129106058893005
ACH-000237,-0.33349067755502537
ACH-000238,-0.1241535632347626
ACH-000242,-0.04979965854965168
ACH-000243,-0.09975562688254977
ACH-000244,-0.5458993568664029
ACH-000246,-0.09165035801316218
ACH-000248,-0.20843437157533146
ACH-000250,-0.20613682740575934
ACH-000251,-0.0727344831492005
ACH-000252,-0.1765479015320275
ACH-000253,-0.07301052359778132
ACH-000255,-0.17488790896117826
ACH-000256,0.09293644905532968
ACH-000257,-0.08034759537447507
ACH-000258,0.08373113551714848
ACH-000259,-0.19978105865399295
ACH-000260,-0.20059929159438727
ACH-000261,-0.11501668490611575
ACH-000262,0.008556742152482966
ACH-000263,-0.6549951921310503
ACH-000264,-0.15714799961056944
ACH-000265,-0.08082893411686186
ACH-000266,-0.1629450709590304
ACH-000272,-0.14659583844391627
ACH-000274,-0.23508241818341
ACH-000277,-0.11702515279879205
