,MTRF1 (9617)
ACH-000004,-0.1994687113592046
ACH-000005,-0.03867354552645672
ACH-000007,-0.44249202677961136
ACH-000009,-0.17125634976650694
ACH-000011,-0.16543023419087804
ACH-000012,-0.2535826656996615
ACH-000013,-0.2634852139387137
ACH-000014,-0.004699821369585887
ACH-000015,-0.2883230923477688
ACH-000017,-0.17434829718171116
ACH-000018,0.07495266127060732
ACH-000019,-0.31950128149868084
ACH-000021,-0.242764725682097
ACH-000022,-0.10926538039933097
ACH-000025,-0.20826891289380664
ACH-000028,-0.33181708093693124
ACH-000030,-0.14869926558751234
ACH-000035,-0.31676918688605266
ACH-000036,-0.058644376993005114
ACH-000037,-0.07740851475390359
ACH-000039,-0.19382881887880585
ACH-000040,-0.13431192156597613
ACH-000041,-0.21134886655998653
ACH-000042,-0.2425461354407194
ACH-000045,0.04633997179364113
ACH-000047,-0.12242701679194673
ACH-000052,-0.2628402149961539
ACH-000053,-0.1048305902842984
ACH-000054,-0.19961059406491724
ACH-000055,-0.2487824798408809
ACH-000060,-0.2287838139713572
ACH-000067,-0.23646059174665826
ACH-000070,-0.2975708632441033
ACH-000075,-0.2576581416868681
ACH-000078,-0.17042326258828913
ACH-000082,-0.015732029127809192
ACH-000085,-0.190154635905042
ACH-000086,-0.1677718790595112
ACH-000087,-0.17681270982674452
ACH-000092,-0.18619012161970236
ACH-000095,-0.08646749322235653
ACH-000097,-0.2415433315152079
ACH-000098,-0.0497266346668439
ACH-000099,-0.17520058855852938
ACH-000108,-0.009567804067321837
ACH-000113,-0.22443919004621696
ACH-000116,-0.16550240758673038
ACH-000118,-0.15668703366894832
ACH-000120,-0.17085657406980045
ACH-000123,-0.21942148347464455
ACH-000127,-0.1109275294299872
ACH-000128,-0.3803159077039624
ACH-000132,-0.3521289360949118
ACH-000133,-0.11715664460427434
ACH-000137,-0.17170496306549352
ACH-000138,-0.2481207020331997
ACH-000142,-0.22038670834845275
ACH-000143,-0.3025900058106123
ACH-000146,-0.037642638772603834
ACH-000148,-0.19490129481363694
ACH-000150,-0.21503041552024246
ACH-000152,-0.2139108332629079
ACH-000153,-0.12037326764017707
ACH-000159,-0.21379569453358874
ACH-000160,-0.18415483591244974
ACH-000163,-0.13997709091427932
ACH-000167,-0.21631966070417946
ACH-000168,-0.08488885658667125
ACH-000169,-0.23091597864905825
ACH-000178,-0.05009197401341338
ACH-000183,-0.07214248385251233
ACH-000188,-0.14761674145883755
ACH-000189,-0.1022056612758168
ACH-000190,-0.06335242280342478
ACH-000198,-0.12819959016777194
ACH-000203,0.20521407430307234
ACH-000204,-0.4845356817955178
ACH-000206,-0.2021192998023741
ACH-000207,-0.14971206387564578
ACH-000208,-0.06867294248557637
ACH-000210,-0.17971530744879466
ACH-000211,-0.1436154704788484
ACH-000215,-0.09062343205161598
ACH-000221,-0.12389435456391172
ACH-000222,-0.1293326553291742
ACH-000223,-0.21658708928290804
ACH-000226,-0.10488638760069494
ACH-000227,-0.20177510730374315
ACH-000228,-0.1461935532779192
ACH-000231,-0.2191474640580131
ACH-000232,-0.17939527656158624
ACH-000233,-0.20959745280429248
ACH-000234,-0.4199958682527802
ACH-000235,-0.0728983203247689
ACH-000237,-0.152092760051951
ACH-000238,-0.2458368849979411
ACH-000242,0.24051168799396996
ACH-000243,-0.07629765439678719
ACH-000244,-0.4251471041883597
ACH-000246,-0.2830884776860526
ACH-000248,-0.04561395319015661
ACH-000250,-0.17407657265955265
ACH-000251,-0.39364612379135067
ACH-000252,-0.2531282600400966
ACH-000253,-0.20534735645720087
ACH-000255,-0.10512363772094173
ACH-000256,0.02713837713335471
ACH-000257,-0.04884783708885219
ACH-000258,-0.3056027253196503
ACH-000259,-0.1712145419364308
ACH-000260,-0.1511120722672039
ACH-000261,-0.10073610293679247
ACH-000262,-0.20122609313133802
ACH-000263,-0.16973359287384493
ACH-000264,-0.17743117378773673
ACH-000265,-0.2497267886024696
ACH-000266,-0.1467566140494702
ACH-000272,-0.13615790004818384
ACH-000274,-0.1592974362986803
ACH-000277,-0.21604911276098995
ACH-000278,-0.15493903794532346
ACH-000279,-0.16302256202913434
ACH-000280,-0.0964760299939036
ACH-000281,-0.17811598723857075
ACH-000288,-0.16910415520745908
ACH-000291,-0.026604967992003157
ACH-000293,-0.2734868656129665
ACH-000294,-0.04857165168331146
ACH-000295,-0.2792411959365652
ACH-000296,-0.3531737677389051
ACH-000302,-0.2145122810569345
ACH-000304,-0.147475791460002
ACH-000307,-0.045509262036998656
ACH-000308,-0.13684140853549195
ACH-000310,-0.1447376734843034
ACH-000311,-0.1964837674663864
ACH-000312,-0.08788352192854837
ACH-000315,-0.281266020907273
ACH-000316,0.02437873560949544
ACH-000317,-0.0932606794530751
ACH-000318,-0.12438081243086195
ACH-000319,-0.2627141167750438
ACH-000320,-0.011808682397739802
ACH-000322,-0.13850245783534665
ACH-000323,-0.2805477711317417
ACH-000324,-0.22004231219621032
ACH-000329,-0.2318158194688371
ACH-000330,-0.0068004230264265535
ACH-000331,-0.19253132173291293
ACH-000332,-0.07339203222271319
ACH-000334,-0.17943530097270352
ACH-000335,0.05348110530645642
ACH-000336,-0.13649865985508544
ACH-000337,-0.07855945070745515
ACH-000338,-0.2340705163416203
ACH-000339,-0.12539038358737928
ACH-000341,-0.1341891328085532
ACH-000348,-0.2411899929903873
ACH-000350,0.021280762590516245
ACH-000352,-0.3099274046558285
ACH-000356,-0.2975130312824641
ACH-000361,-0.08499042768668902
ACH-000362,-0.022032877923247072
ACH-000363,-0.17613241119726156
ACH-000364,-0.058270288017794276
ACH-000365,-0.15307940008107326
ACH-000366,-0.025671167596455303
ACH-000368,-0.2823708281030212
ACH-000374,-0.0818334080340044
ACH-000375,-0.02399199587424509
ACH-000376,-0.21152738544371752
ACH-000381,-0.2234379674205008
ACH-000383,-0.29404660750300204
ACH-000387,-0.06850563216909268
ACH-000389,-0.06861102592316454
ACH-000390,-0.1823399608970933
ACH-000393,-0.2700961092766772
ACH-000395,-0.15078915033331067
ACH-000396,-0.4862948313605273
