,CYP4F12 (66002)
ACH-000548,-0.037070666628488916
ACH-000549,-0.2909277180090851
ACH-000550,0.0038768577490110377
ACH-000552,-0.026215831200835583
ACH-000556,-0.03731371029280536
ACH-000557,0.09784804552026972
ACH-000569,-0.3282934722203306
ACH-000570,-0.044541670174586316
ACH-000571,-0.0953913980167785
ACH-000573,0.025803853271107718
ACH-000576,0.047778589304365474
ACH-000579,0.015248090631166332
ACH-000580,0.08458360138714148
ACH-000584,-0.07981305984650539
ACH-000585,-0.08863519431572935
ACH-000588,0.020781265446956985
ACH-000589,-0.0239421835481269
ACH-000591,-0.1335883398523251
ACH-000593,-0.04644484957564922
ACH-000600,-0.07620315834385573
ACH-000601,0.02420233872102809
ACH-000605,-0.19568019277333829
ACH-000606,-0.042286628752217725
ACH-000608,0.04015742198297394
ACH-000614,-0.006275090787589943
ACH-000616,0.12371770743655207
ACH-000618,-0.10574804757864376
ACH-000619,-0.09324760628443753
ACH-000620,-0.1533114784180998
ACH-000621,-0.09665576258671832
ACH-000622,0.06522894505721358
ACH-000623,-0.0324466431516952
ACH-000624,-0.07738226754830313
ACH-000627,-0.11693005832323973
ACH-000630,-0.057171984818880466
ACH-000631,-0.09237420747868136
ACH-000632,0.0699821364683677
ACH-000633,-0.2679581612412873
ACH-000637,-0.0909141576305758
ACH-000638,-0.05367743123049405
ACH-000646,-0.10196188796433177
ACH-000647,-0.028224758369029313
ACH-000648,-0.10972842924187504
ACH-000649,-0.025125399753484646
ACH-000651,-0.11123539673524806
ACH-000652,0.03132962273414081
ACH-000653,0.02909795123960503
ACH-000657,-0.14885031759801956
ACH-000658,-0.030965448485146412
ACH-000661,-0.11118608180053688
ACH-000662,-0.0972233618359682
ACH-000663,0.026120935860440647
ACH-000665,-0.211595893322565
ACH-000671,0.02357703525021581
ACH-000672,0.019772544183969253
ACH-000673,0.02351774357188439
ACH-000676,-0.06045638421843396
ACH-000677,0.039922231470004704
ACH-000681,0.14032646451329894
ACH-000683,-0.15244298509687856
ACH-000684,-0.02780258283229285
ACH-000688,-0.1426413120426349
ACH-000693,-0.11305444174756026
ACH-000694,0.0076735122543962345
