,RXRG (6258)
ACH-000004,-0.18210539148281416
ACH-000005,0.15290404796959156
ACH-000007,-0.16405518754911985
ACH-000009,-0.22870516664967785
ACH-000011,-0.1099357456652809
ACH-000012,-0.09442441459766626
ACH-000013,-0.1827382919794381
ACH-000014,-0.1992671721614256
ACH-000015,-0.2041498452896849
ACH-000017,-0.1693226790988664
ACH-000018,-0.0783664275910867
ACH-000019,-0.15518700395851706
ACH-000021,-0.15471024017356824
ACH-000022,-0.2300452926206196
ACH-000025,-0.11855441985354208
ACH-000028,-0.09434136326483003
ACH-000030,-0.17887933103055156
ACH-000035,-0.1608549218881752
ACH-000036,-0.057709009259258315
ACH-000037,-0.2096025605753768
ACH-000039,-0.29487182290564345
ACH-000040,-0.08323211908624308
ACH-000041,-0.19761760669541176
ACH-000042,-0.011450811185157336
ACH-000045,-0.138722394618553
ACH-000047,-0.13050681943793402
ACH-000052,-0.3286323325617576
ACH-000053,-0.14616259834966305
ACH-000054,-0.13094008936990126
ACH-000055,-0.15581798208210132
ACH-000060,-0.25613365632551943
ACH-000067,-0.06618760262853829
ACH-000070,-0.32064213624425864
ACH-000075,-0.12876960413863256
ACH-000078,0.028971029183069694
ACH-000082,-0.15459383140067048
ACH-000085,-0.17903516886879428
ACH-000086,-0.2356175117565515
ACH-000087,-0.0987386275917336
ACH-000092,-0.2247506209049388
ACH-000095,-0.13214269414262253
ACH-000097,-0.08803319085235514
ACH-000098,-0.19467417723841196
ACH-000099,-0.15630225301370484
ACH-000108,-0.10331618686827287
ACH-000113,-0.2579304045960576
ACH-000116,-0.2276463648956947
ACH-000118,-0.19503644284389055
ACH-000120,-0.08475355718616605
ACH-000123,-0.09368110173670427
ACH-000127,-0.2128800516654905
ACH-000128,-0.21306624176187006
ACH-000132,-0.14558653464229654
ACH-000133,-0.2506077161404895
ACH-000137,-0.18368190840848705
ACH-000138,-0.14005033995222513
ACH-000142,-0.18919267487930128
ACH-000143,-0.0964420768955012
ACH-000146,-0.13087086515219232
ACH-000148,-0.16075653743536172
ACH-000150,-0.006725639913516207
ACH-000152,-0.1689232094046048
ACH-000153,-0.29431321234610275
ACH-000159,-0.08309377145034727
ACH-000160,-0.056834215699915376
ACH-000163,-0.1198558289496446
ACH-000167,-0.2121065395369569
ACH-000168,0.05200888434338902
ACH-000169,-0.15325517402596786
ACH-000178,-0.07925193919553374
ACH-000183,-0.1901006868318338
ACH-000188,-0.10268082027992796
ACH-000189,-0.15159577575336652
ACH-000190,-0.1382350437168799
ACH-000198,-0.23671181420333515
ACH-000203,0.15476114416293316
ACH-000204,-0.3319569144160875
ACH-000206,-0.261403371767409
ACH-000207,-0.04051529680472493
ACH-000208,-0.056125644880319965
ACH-000210,-0.4025798614575061
ACH-000211,-0.12169365513831328
ACH-000215,-0.11376914381051882
ACH-000221,-0.19675164446650992
ACH-000222,-0.03198700687803791
ACH-000223,-0.2197331417801441
ACH-000226,-0.12440163434455125
ACH-000227,-0.16601525682525564
ACH-000228,-0.2194480339642089
ACH-000231,-0.057093313708015625
ACH-000232,-0.2465796733420677
ACH-000233,-0.04875201915474845
ACH-000234,-0.1853843455245054
ACH-000235,-0.14831414288881214
ACH-000237,-0.15440705492024745
ACH-000238,0.007927538801434392
ACH-000242,-0.1200095936795315
ACH-000243,-0.18594232488332255
ACH-000244,-0.17250002555462374
ACH-000246,-0.15059088759351313
ACH-000248,-0.1629572517499594
ACH-000250,-0.12885552501977396
ACH-000251,-0.08207718729080397
ACH-000252,-0.026529631359201892
ACH-000253,-0.09641805891581294
ACH-000255,-0.18651971222877853
ACH-000256,-0.15954040129642974
ACH-000257,-0.3219526833876272
ACH-000258,-0.2076724333203105
ACH-000259,-0.1706903899147559
ACH-000260,-0.13969282320327125
ACH-000261,-0.11507617103397386
ACH-000262,-0.1188183024349836
ACH-000263,-0.02767636147531765
ACH-000264,-0.2139745135044641
ACH-000265,-0.1364895934519069
ACH-000266,-0.11226341776063258
ACH-000272,-0.21451348866063644
ACH-000274,-0.03406887542924844
ACH-000277,0.07217460302990837
ACH-000278,-0.10742355267782043
ACH-000279,-0.14985390325304085
ACH-000280,-0.15778377528020304
ACH-000281,-0.2429679534744273
ACH-000288,-0.16639275853269664
ACH-000291,-0.1517834176774814
ACH-000293,-0.14411904441920154
ACH-000294,-0.15074338996699585
ACH-000295,-0.19954767273658688
ACH-000296,-0.18006165607540742
ACH-000302,-0.19231811457142275
ACH-000304,-0.21140940471148395
ACH-000307,-0.221150350615822
ACH-000308,-0.13687764188910384
ACH-000310,-0.11797077999561185
ACH-000311,-0.22149624324165754
ACH-000312,-0.08131490661087891
ACH-000315,-0.08725222961870455
ACH-000316,-0.1912644485195485
ACH-000317,-0.34307307845229873
ACH-000318,-0.2104964943422068
ACH-000319,-0.1953944310596365
ACH-000320,-0.2126703356934149
ACH-000322,-0.10567664867918944
ACH-000323,-0.12856556712870412
ACH-000324,-0.10871792733694312
ACH-000329,-0.17283828014599878
ACH-000330,-0.05345518943831889
ACH-000331,-0.2108221955335465
ACH-000332,-0.16712550699702602
ACH-000334,-0.12353934976847593
ACH-000335,-0.15592674738577447
ACH-000336,-0.1657285588758137
ACH-000337,0.0005130521480951846
ACH-000338,-0.06947710547166801
