,ADPRHL1 (113622)
ACH-000004,-0.0161728757456017
ACH-000005,-0.1593685291199113
ACH-000007,-0.16962831149469562
ACH-000009,-0.0897213736967342
ACH-000011,0.0508137284423662
ACH-000012,-0.1924273215975856
ACH-000013,-0.1952552984929108
ACH-000014,-0.1582834854251069
ACH-000015,-0.19021104683987375
ACH-000017,-0.2357074057281996
ACH-000018,-0.1914699740051848
ACH-000019,-0.3066948459613257
ACH-000021,-0.08760179614790961
ACH-000022,-0.057339769371911924
ACH-000025,-0.2741207165166288
ACH-000028,-0.18033672623143304
ACH-000030,-0.14287936335629545
ACH-000035,-0.2413761487572139
ACH-000036,-0.2367287586521731
ACH-000037,-0.31146285450915795
ACH-000039,-0.3150866403881578
ACH-000040,-0.2293109894430377
ACH-000041,-0.2947762334666084
ACH-000042,-0.14702598307188355
ACH-000045,-0.12149387929048593
ACH-000047,-0.14479803216736853
ACH-000052,-0.06381797520041711
ACH-000053,-0.17549088495408047
ACH-000054,-0.2711906028296485
ACH-000055,-0.18989323033971175
ACH-000060,-0.18219032069075136
ACH-000067,-0.20744574760452536
ACH-000070,-0.2443900974784741
ACH-000075,-0.3289181384299431
ACH-000078,-0.4704747490777079
ACH-000082,-0.09726191195472714
ACH-000085,-0.27666019432145833
ACH-000086,-0.1028724487702441
ACH-000087,0.03503452934138597
ACH-000092,-0.17802066340279332
ACH-000095,-0.1302677445333484
ACH-000097,-0.13125385014479987
ACH-000098,-0.15320960704041287
ACH-000099,-0.3345839174538906
ACH-000108,-0.3274269412520463
ACH-000113,-0.15159182534873722
ACH-000116,-0.08685463479225104
ACH-000118,-0.12100906255154567
ACH-000120,-0.13826847902727818
ACH-000123,-0.08575161217222545
ACH-000127,-0.09330706561904993
ACH-000128,-0.1922928841257697
ACH-000132,-0.16315543451645192
ACH-000133,-0.18990673019918825
ACH-000137,0.0008695294672668027
ACH-000138,-0.13860279885729182
ACH-000142,-0.157765076132365
ACH-000143,0.004543716187461951
ACH-000146,-0.1858287238421964
ACH-000148,-0.1572730894102661
ACH-000150,-0.26213464043342904
ACH-000152,-0.2741655093544324
ACH-000153,-0.13925889110872894
ACH-000159,-0.09955735984229958
ACH-000160,-0.0497483661808325
ACH-000163,-0.1137065898518164
ACH-000167,0.09634682877550467
ACH-000168,-0.07119147593254886
ACH-000169,-0.19346683180494326
ACH-000178,-0.25661195733618875
ACH-000183,-0.2446112591239113
ACH-000188,-0.16482689161260045
ACH-000189,-0.2535742297644395
ACH-000190,-0.05178554199957816
ACH-000198,-0.1844002488991892
ACH-000203,-0.6344214374467386
ACH-000204,-0.2399266712992315
ACH-000206,-0.11629155890047382
ACH-000207,-0.1350207889513155
ACH-000208,-0.16275480016195845
ACH-000210,-0.16460630565846274
ACH-000211,-0.12372621984629248
ACH-000215,-0.1531535929147412
ACH-000221,-0.13119311200494774
ACH-000222,-0.1655015818294928
ACH-000223,-0.18069064598499504
ACH-000226,-0.1944750385395852
ACH-000227,-0.241215881762026
ACH-000228,-0.23832908596329996
ACH-000231,-0.1252967891282655
ACH-000232,-0.18619384950754408
ACH-000233,-0.2134086668420151
ACH-000234,-0.2870742704268669
ACH-000235,-0.2280362357192227
ACH-000237,-0.16798994612573034
ACH-000238,-0.33977534490675504
ACH-000242,-0.15520537805192242
ACH-000243,-0.13560367566620293
ACH-000244,-0.2661134652478941
ACH-000246,-0.1263212800173903
ACH-000248,-0.053887611071199285
ACH-000250,-0.24990062154237924
ACH-000251,-0.2146359644987084
ACH-000252,-0.32991557669635435
ACH-000253,-0.218736275685136
ACH-000255,-0.2036829392011286
ACH-000256,-0.1805739510574044
ACH-000257,0.07238565611951221
ACH-000258,-0.25560151805233544
ACH-000259,-0.1969705718566208
ACH-000260,-0.2153903529395909
ACH-000261,-0.17251262916638818
ACH-000262,-0.1302206400689497
ACH-000263,0.0327504138401173
ACH-000264,-0.12579276268946593
ACH-000265,-0.11719003013564387
ACH-000266,-0.24519252220129956
ACH-000272,-0.14612607736477706
ACH-000274,-0.3696324313494597
ACH-000277,-0.11624477045195235
ACH-000278,-0.12991139199671778
ACH-000279,-0.2421654308147603
ACH-000280,-0.1610679175850482
ACH-000281,-0.4217055894850703
ACH-000288,-0.3464060035191974
ACH-000291,-0.16229129667062822
ACH-000293,-0.27515080552563514
ACH-000294,-0.07389108730643157
ACH-000295,-0.27144206219644984
ACH-000296,0.03414875661275281
ACH-000302,-0.24735551823830926
ACH-000304,-0.2569543622306489
