,CHEK1 (1111)
ACH-000004,-1.099532691551857
ACH-000005,-1.2758982669008114
ACH-000007,-1.064437296522236
ACH-000009,-1.1600053879609449
ACH-000011,-1.2389503477884642
ACH-000012,-1.1742424034069898
ACH-000013,-1.36220904509984
ACH-000014,-1.1835943597542904
ACH-000015,-1.1687918980623695
ACH-000017,-1.252912020710818
ACH-000018,-1.0191220747290834
ACH-000019,-1.0497267498333054
ACH-000021,-1.0407040641028489
ACH-000022,-1.033187988958962
ACH-000025,-1.1233223639076853
ACH-000028,-1.2017418265511373
ACH-000030,-1.1854654694332176
ACH-000035,-1.165954069013846
ACH-000036,-0.9686041272561084
ACH-000037,-0.4633211434560544
ACH-000039,-1.317512011519438
ACH-000040,-0.9685964034685686
ACH-000041,-1.1824734661041785
ACH-000042,-1.006887646545046
ACH-000045,-1.2092235559414883
ACH-000047,-1.142644304609813
ACH-000052,-0.9920030483790732
ACH-000053,-1.1832384706161614
ACH-000054,-0.9148407143374092
ACH-000055,-1.0967847806336417
ACH-000060,-1.107408137078061
ACH-000067,-1.0801307634477126
ACH-000070,-1.3871652165668178
ACH-000075,-1.2877895237498167
ACH-000078,-1.2656011523343187
ACH-000082,-1.295689714605462
ACH-000085,-1.0524921316019271
ACH-000086,-1.0920737444315118
ACH-000087,-1.2036631519524523
ACH-000092,-1.3110324471440349
ACH-000095,-1.1769079508226812
ACH-000097,-1.2175388172964277
ACH-000098,-0.9641881307347052
ACH-000099,-1.2003672698458057
ACH-000108,-1.0326478906955958
ACH-000113,-1.0962301115213189
ACH-000116,-1.1271379906503487
ACH-000118,-1.1093604208678556
ACH-000120,-1.038432297731931
ACH-000123,-1.1839564737040773
ACH-000127,-1.1454632124168571
ACH-000128,-0.8123775191457592
ACH-000132,-1.159621434051474
ACH-000133,-1.005095741562705
ACH-000137,-1.1552836121997871
ACH-000138,-1.1473618232903324
ACH-000142,-1.1224223229817385
ACH-000143,-1.3731601013722126
ACH-000146,-1.2933153792963947
ACH-000148,-1.3715381778137614
ACH-000150,-1.2144296977853168
ACH-000152,-0.8877876115047578
ACH-000153,-0.9327068518415618
ACH-000159,-1.1516068904317966
ACH-000160,-1.1809380714054332
ACH-000163,-1.135112922950431
ACH-000167,-2.00474692036986
ACH-000168,-1.2210134673441737
ACH-000169,-1.1807459102217517
ACH-000178,-1.1763672951196893
ACH-000183,-1.3794215612158771
ACH-000188,-1.136335189954795
ACH-000189,-1.1511141256803534
ACH-000190,-1.0704056421046195
ACH-000198,-1.1642430525692509
ACH-000203,-1.5021379482134771
ACH-000204,-1.0046566459616229
ACH-000206,-1.1777234838939772
ACH-000207,-1.5159310382320552
ACH-000208,-1.1771332420709577
ACH-000210,-1.2414939530876328
ACH-000211,-1.1127729309460457
ACH-000215,-1.2771836940518322
ACH-000221,-1.1820104558209006
ACH-000222,-1.1623208255822257
ACH-000223,-1.4336730445927668
ACH-000226,-1.049597284781611
ACH-000227,-1.7449391730176922
ACH-000228,-1.2326664414398187
ACH-000231,-1.2981854842351388
ACH-000232,-1.2401211966058987
ACH-000233,-1.2646011613521149
ACH-000234,-1.2413827505838602
ACH-000235,-1.1422431681329552
ACH-000237,-1.1876972401946642
ACH-000238,-1.4845399753802742
ACH-000242,-1.049766740497715
ACH-000243,-1.1790392119477489
ACH-000244,-0.9493698290146336
ACH-000246,-1.325404393872405
ACH-000248,-1.123050258816205
ACH-000250,-1.0889615736494824
ACH-000251,-1.2259610127736718
ACH-000252,-1.2757225083132189
ACH-000253,-1.156877018092917
ACH-000255,-1.0035741996511585
ACH-000256,-1.1533803902781825
ACH-000257,-1.2232677448462244
ACH-000258,-1.3202920325857812
ACH-000259,-1.3345678391806841
ACH-000260,-1.2885087417761238
ACH-000261,-1.0441587865240287
ACH-000262,-1.116427316331301
ACH-000263,-0.980446864688572
ACH-000264,-1.5875743286556243
ACH-000265,-1.2025566014621458
ACH-000266,-1.0269184882420468
ACH-000272,-1.1163599700288018
ACH-000274,-1.2483343311520945
ACH-000277,-1.3552402378279813
ACH-000278,-1.3039433619457457
ACH-000279,-1.3996838300660024
ACH-000280,-0.9752789112223158
ACH-000281,-0.9922143439511696
ACH-000288,-1.2332552792743687
ACH-000291,-1.220913706668156
ACH-000293,-1.5381905878702269
