,HTR1F (3355)
ACH-000004,0.06587661031184522
ACH-000005,0.17246573737195206
ACH-000007,0.08141043453473781
ACH-000009,0.042582941649909764
ACH-000011,-0.08761266446564774
ACH-000012,-0.12739649725672494
ACH-000013,-0.03653196046442714
ACH-000014,-0.23699046607289315
ACH-000015,-0.20005157128663795
ACH-000017,0.08518978772984673
ACH-000018,-0.17715841191216514
ACH-000019,-0.023720362384781826
ACH-000021,-0.11471026642605707
ACH-000022,-0.05576319398719437
ACH-000025,-0.22787205672536445
ACH-000028,-0.18401052509195104
ACH-000030,-0.14495998189549422
ACH-000035,-0.1547907797887029
ACH-000036,-0.09159782999088097
ACH-000037,-0.03937788486750285
ACH-000039,0.06573433252598067
ACH-000040,-0.196511401176918
ACH-000041,-0.10548920964613516
ACH-000042,-0.08733783895667903
ACH-000045,-0.12349460218925258
ACH-000047,0.043557919012387064
ACH-000052,0.006446609337649817
ACH-000053,-0.09936645146542676
ACH-000054,-0.037327119299090564
ACH-000055,-0.09721444129441324
ACH-000060,-0.12749722172307795
ACH-000067,-0.29628227704658666
ACH-000070,-0.058720525094332475
ACH-000075,-0.0664283865466842
ACH-000078,-0.02033990378694448
ACH-000082,0.06943700455388782
ACH-000085,0.012350434958235826
ACH-000086,-0.1639173292301831
ACH-000087,-0.18225882789704292
ACH-000092,-0.1209573648727338
ACH-000095,-0.09606219158270253
ACH-000097,-0.06321823472616324
ACH-000098,-0.11550582630765845
ACH-000099,-0.11473380581992335
ACH-000108,-0.04916136047576261
ACH-000113,0.0024138979603081376
ACH-000116,-0.0738629606547867
ACH-000118,-0.1456868747134139
ACH-000120,0.09572656789317224
ACH-000123,-0.1926701508883566
ACH-000127,-0.18383820763808012
ACH-000128,-0.11296087534838327
ACH-000132,0.009308742271312936
ACH-000133,0.008599771796740366
ACH-000137,-0.18630520270651485
ACH-000138,-0.12053510762186966
ACH-000142,0.08075832576085452
ACH-000143,-0.09059392945707642
ACH-000146,-0.0706577836564523
ACH-000148,0.0037193833164170407
ACH-000150,-0.16824638936094494
ACH-000152,-0.17382195288643618
ACH-000153,0.04294933421378557
ACH-000159,-0.33712183325900225
ACH-000160,0.21758047220310653
ACH-000163,-0.018054575879389356
ACH-000167,-0.03384662752342678
ACH-000168,-0.14764345828677722
ACH-000169,-0.10146797171898676
ACH-000178,-0.03184703847997078
ACH-000183,0.15985482802098733
ACH-000188,-0.1697009418258246
ACH-000189,-0.14295253381014442
ACH-000190,-0.3609021020158352
ACH-000198,-0.13393756740424015
ACH-000203,-0.2816097801306999
ACH-000204,0.250986951363574
ACH-000206,-0.14734860179746678
ACH-000207,0.010547711231376504
ACH-000208,-0.34533484499255
ACH-000210,-0.21798328053349214
ACH-000211,-0.07170739186595583
ACH-000215,0.023139672149133574
ACH-000221,-0.17766331235894547
ACH-000222,0.01455404683961829
ACH-000223,-0.07272491052621018
ACH-000226,-0.1436520970757856
ACH-000227,-0.10929624659866713
ACH-000228,-0.08132319029114232
ACH-000231,0.01212613567498998
ACH-000232,-0.17598358494065974
ACH-000233,-0.03600146155680509
ACH-000234,0.07280111626367929
ACH-000235,-0.1717204452985338
ACH-000237,-0.044647211998878035
ACH-000238,-0.05676707551998063
ACH-000242,0.01206038586467264
ACH-000243,0.0719978253989953
ACH-000244,-0.10274938531832327
ACH-000246,-0.044526175568733097
ACH-000248,0.055714469018346216
ACH-000250,-0.1770591693240853
ACH-000251,-0.3173194184369789
ACH-000252,-0.04415307804636804
ACH-000253,-0.12029103085133992
ACH-000255,-0.17285654349715654
ACH-000256,0.2099597314051808
ACH-000257,-0.11090514992635107
ACH-000258,-0.19284782341973225
ACH-000259,-0.060273205910695925
ACH-000260,-0.12812726553511725
ACH-000261,-0.018403339313086933
ACH-000262,-0.2267278243134357
ACH-000263,-0.0966397317180216
ACH-000264,-0.018925497244950483
ACH-000265,-0.10966309141554192
ACH-000266,0.01346225998589819
ACH-000272,-0.1278223206416858
ACH-000274,-0.02252804455106331
ACH-000277,-0.05943033310008473
ACH-000278,-0.09957521462337443
ACH-000279,-0.09579318285996508
ACH-000280,-0.1117885842127337
ACH-000281,0.12195898460533575
ACH-000288,-0.015480917203810032
ACH-000291,-0.1560128401821873
ACH-000293,-0.07165914958250337
ACH-000294,-0.20802456097616545
ACH-000295,-0.14670172633340922
