,CUL7 (9820)
ACH-000004,-0.5013250957283244
ACH-000005,-0.3683432950969211
ACH-000007,-0.1901854448918678
ACH-000009,-0.3481645076441047
ACH-000011,-0.2466186995541169
ACH-000012,-0.3492235485685552
ACH-000013,-0.4935969327673622
ACH-000014,-0.5259320722279793
ACH-000015,-0.30075644328190504
ACH-000017,-0.2637724001137661
ACH-000018,-0.3114262056787471
ACH-000019,-0.3536935592605132
ACH-000021,-0.2862304816399633
ACH-000022,-0.15351119232615004
ACH-000025,-0.39847794824372335
ACH-000028,-0.23300271303562656
ACH-000030,-0.29031155832055777
ACH-000035,-0.277402717740449
ACH-000036,-0.4124253571367932
ACH-000037,-0.3237494037105305
ACH-000039,-0.5653254145207092
ACH-000040,-0.41179908324067344
ACH-000041,-0.388916731357274
ACH-000042,-0.3066258029201114
ACH-000045,-0.3998718069348853
ACH-000047,-0.2866423490847621
ACH-000052,-0.16155125793370226
ACH-000053,-0.3740540473949413
ACH-000054,-0.40372993722100703
ACH-000055,-0.4989870873540396
ACH-000060,-0.29504541088271524
ACH-000067,-0.15387579305287827
ACH-000070,-0.19697917974419252
ACH-000075,-0.5955576614724286
ACH-000078,-0.4563988751381877
ACH-000082,-0.4624540227465461
ACH-000085,-0.3993087204792952
ACH-000086,-0.44868635402196494
ACH-000087,-0.13420629735149447
ACH-000092,-0.30238132267788986
ACH-000095,-0.3508278542454469
ACH-000097,-0.4124291412585475
ACH-000098,-0.3981598111832765
ACH-000099,-0.27979181593389485
ACH-000108,-0.28399862665022463
ACH-000113,-0.4315223088547854
ACH-000116,-0.2668013104058137
ACH-000118,-0.3139582753192761
ACH-000120,-0.4377150002883333
ACH-000123,-0.34748771080945445
ACH-000127,-0.34012838677593793
ACH-000128,-0.27806259721269755
ACH-000132,-0.3950416495048109
ACH-000133,-0.4309323712579016
ACH-000137,-0.3502068898374199
ACH-000138,-0.3028893358171708
ACH-000142,-0.3202529375642647
ACH-000143,-0.06471091682600218
ACH-000146,-0.19529440209538648
ACH-000148,-0.14045124530498224
ACH-000150,-0.061256990249735174
ACH-000152,-0.3658637350356398
ACH-000153,-0.35402292083352
ACH-000159,-0.24344822180978265
