,CASS4 (57091)
ACH-000004,-0.330374491944233
ACH-000005,-0.3223565617266185
ACH-000007,0.0196845453325557
ACH-000009,-0.13297033726522006
ACH-000011,-0.16167932035666888
ACH-000012,-0.06251575666632513
ACH-000013,-0.10630127328078892
ACH-000014,-0.22966416962034664
ACH-000015,-0.07575431664033985
ACH-000017,-0.3962114476068959
ACH-000018,-0.07281478956827096
ACH-000019,-0.2829204440954477
ACH-000021,-0.10803791456613113
ACH-000022,-0.07527732683963838
ACH-000025,-0.09904731296940586
ACH-000028,-0.4820830166250945
ACH-000030,-0.13038981212280004
ACH-000035,-0.14667581967587362
ACH-000036,-0.11777084561634447
ACH-000037,-0.2330890147107624
ACH-000039,-0.01365396011970263
ACH-000040,-0.2274105942815899
ACH-000041,-0.18004086384596624
ACH-000042,-0.21399701910380972
ACH-000045,-0.08448127357888609
ACH-000047,-0.012302542056080558
ACH-000052,-0.2162311719698924
ACH-000053,-0.11520268124020773
ACH-000054,-0.11915554442131347
ACH-000055,-0.12251348721937655
ACH-000060,-0.2035488970724385
ACH-000067,-0.1875891291258883
ACH-000070,-0.16406180165382134
ACH-000075,-0.4841922735477342
ACH-000078,-0.09055980535838044
ACH-000082,-0.2497628981942198
ACH-000085,-0.34151890005645336
ACH-000086,-0.044319426690251434
ACH-000087,-0.010065470687840836
ACH-000092,-0.15121360657766214
ACH-000095,-0.10250404942859526
ACH-000097,-0.19344506004837256
ACH-000098,-0.1342837548200277
ACH-000099,-0.14693653096513593
ACH-000108,-0.15189505664012745
ACH-000113,-0.15997609736701696
ACH-000116,-0.17143861003727298
ACH-000118,-0.03042072508169328
ACH-000120,-0.07658259725940775
ACH-000123,-0.1330791485301345
ACH-000127,-0.2408094525984951
ACH-000128,-0.0856739278477559
ACH-000132,-0.2292216063367332
ACH-000133,-0.2453562298616893
ACH-000137,-0.08466305481244174
ACH-000138,-0.08110239122966416
ACH-000142,-0.16803193050319262
ACH-000143,-0.18115980339526191
ACH-000146,-0.17321551780244132
