,DEFB116 (245930)
ACH-000004,-0.15778906926733074
ACH-000005,-0.34116916363335464
ACH-000007,-0.0884928934851523
ACH-000009,-0.06230905956275396
ACH-000011,-0.17141258923456548
ACH-000012,0.017140439109914685
ACH-000013,-0.031417697321804335
ACH-000014,-0.02756963140574396
ACH-000015,-0.19319895203922904
ACH-000017,0.11737411909992355
ACH-000018,0.043260156717017884
ACH-000019,-0.12931211175706628
ACH-000021,-0.05450088037995487
ACH-000022,-0.12490923999134344
ACH-000025,-0.16484825742659928
ACH-000028,-0.1885061552242856
ACH-000030,-0.2353853311674905
ACH-000035,-0.14728157395536184
ACH-000036,-0.039214147932973335
ACH-000037,-0.12640404543089612
ACH-000039,-0.13434040820700185
ACH-000040,0.04330846683346218
ACH-000041,0.1221491988818657
ACH-000042,-0.15848673685642015
ACH-000045,0.007602139374016019
ACH-000047,-0.12549511659249352
ACH-000052,-0.016796036721486468
ACH-000053,-0.06282791373732144
ACH-000054,-0.14262821225912747
ACH-000055,-0.17672633124037795
ACH-000060,-0.08926196030703731
ACH-000067,-0.083044885091348
ACH-000070,-0.24765117224396094
ACH-000075,0.00851925005863339
ACH-000078,0.0018231581157937835
ACH-000082,-0.14621818401951106
ACH-000085,-0.2482205625014853
ACH-000086,0.008091953266775637
ACH-000087,0.0483184482867628
ACH-000092,-0.14330111917528246
ACH-000095,-0.06778673438625613
ACH-000097,-0.047462137944377064
ACH-000098,-0.014650274570525885
ACH-000099,-0.05504844513595894
ACH-000108,-0.056957167546204265
ACH-000113,-0.028734417254486125
ACH-000116,-0.3109973113197345
ACH-000118,-0.1059207748585006
ACH-000120,-0.10401119326746414
ACH-000123,-0.10153634650724816
ACH-000127,-0.053526252315062035
ACH-000128,0.02876051473812585
ACH-000132,0.06096175939883311
ACH-000133,-0.2298392875561985
ACH-000137,-0.03708761905812785
ACH-000138,-0.1301996390638645
ACH-000142,-0.05468898058985771
ACH-000143,-0.07900271538821475
ACH-000146,-0.034524615401391984
ACH-000148,-0.1057626202209633
ACH-000150,0.0732501138828401
ACH-000152,-0.1515062944792053
ACH-000153,0.17023400963609486
ACH-000159,-0.06809733881304687
ACH-000160,0.0012174505071032439
ACH-000163,-0.2124277608210084
ACH-000167,-0.002293334787715979
ACH-000168,0.1173921475098162
ACH-000169,-0.0985497688975385
ACH-000178,-0.13795139613134613
ACH-000183,-0.18276617231534376
ACH-000188,-0.1530660843132149
ACH-000189,-0.2558312326095571
ACH-000190,-0.0911932059551467
ACH-000198,-0.08989768870984344
ACH-000203,-0.21512002550077
ACH-000204,-0.0149455604501908
ACH-000206,-0.17783315342112585
ACH-000207,-0.02514045064105356
ACH-000208,-0.005039639562613158
ACH-000210,0.11264958146411035
ACH-000211,-0.0722726090381866
ACH-000215,0.03207537303600231
ACH-000221,0.08372534344079925
ACH-000222,-0.0291338599935246
ACH-000223,0.07556140299915655
ACH-000226,-0.17607525664705487
ACH-000227,-0.027035571841812062
ACH-000228,-0.2393000229887137
ACH-000231,-0.17384597553485184
ACH-000232,-0.1079536340968162
ACH-000233,0.03902713025552863
ACH-000234,-0.12655874462509975
ACH-000235,-0.05002792201592884
ACH-000237,-0.05931499395352788
ACH-000238,-0.06174632346122313
ACH-000242,0.1311713084486397
ACH-000243,-0.04947745956092674
ACH-000244,-0.0897508079411668
ACH-000246,-0.12582591785553052
ACH-000248,-0.027374223723389327
ACH-000250,-0.15068998682495988
ACH-000251,-0.0003183491885181593
ACH-000252,-0.21106222205043207
ACH-000253,-0.06758623715338552
ACH-000255,-0.145896573067679
ACH-000256,-0.07312227684007955
