,TUBA1B (10376)
ACH-000004,-0.275650265292366
ACH-000005,-0.25109648269368184
ACH-000007,-0.3204522454567548
ACH-000009,-0.3553321627097282
ACH-000011,-0.7691225708814647
ACH-000012,-0.3506461393023177
ACH-000013,-0.15883735064394058
ACH-000014,-0.4379777657902636
ACH-000015,-0.7164495394671573
ACH-000017,-0.5309658917150258
ACH-000018,-0.6444035183323024
ACH-000019,-0.4647780755471027
ACH-000021,-0.3158765420815212
ACH-000022,-0.16391801890945568
ACH-000025,-0.8001276010387328
ACH-000028,-0.58104885349316
ACH-000030,-0.6264495332032486
ACH-000035,-0.2475263924281897
ACH-000036,-0.4328781774514723
ACH-000037,-0.6815089197053433
ACH-000039,-0.5685912308126841
ACH-000040,-0.506721667328607
ACH-000041,-0.41714088758863793
ACH-000042,-0.3282147502006029
ACH-000045,-0.42144784954925296
ACH-000047,-0.3606830458691643
ACH-000052,-0.5539906426041273
ACH-000053,-0.6118879870281958
ACH-000054,-0.5256373149465493
ACH-000055,-0.6772018370097724
ACH-000060,-0.5025426898509414
ACH-000067,-0.5952179419841569
ACH-000070,-0.3509691668053081
ACH-000075,-0.2816899348655748
ACH-000078,-0.290829656716404
ACH-000082,-0.1870869960435376
ACH-000085,-0.5832441277109831
ACH-000086,-0.6083646182287185
ACH-000087,-0.6359094559841774
ACH-000092,-0.3789440976413968
ACH-000095,-0.39008381783888585
ACH-000097,-0.3814962670704566
ACH-000098,-0.4073007052941429
ACH-000099,-0.3437849409411625
ACH-000108,-0.4198534179772808
ACH-000113,-0.2982330682228487
ACH-000116,-0.5413085464015144
ACH-000118,-0.7326603588778635
ACH-000120,-0.6014242842829433
ACH-000123,-0.6032877060144541
ACH-000127,-0.2549197486490096
ACH-000128,-0.6095282375118036
ACH-000132,-0.5280405384591055
ACH-000133,-0.5334116964131447
ACH-000137,-0.6387484125058026
ACH-000138,-0.5030416647127623
ACH-000142,-0.27454648919749364
ACH-000143,-0.4145869048801728
ACH-000146,-0.5578423761740361
ACH-000148,-0.5552104058328747
ACH-000150,-0.8745113808977095
ACH-000152,-0.5237486368944535
ACH-000153,-0.4836576750676882
ACH-000159,-0.31645329709497183
ACH-000160,-0.6153233111992499
ACH-000163,-0.31851157789558715
ACH-000167,1.096978936382222
ACH-000168,-0.3756223498003032
ACH-000169,-0.7165772622718641
ACH-000178,-0.4651314819684461
ACH-000183,-0.1822454211704556
ACH-000188,-0.4391161107911721
ACH-000189,-0.4785140040023825
ACH-000190,-0.6540221964320869
ACH-000198,-0.5062695102627898
ACH-000203,-1.1965407004946658
ACH-000204,-0.6158215050080226
ACH-000206,-0.5622434510549059
ACH-000207,-0.4336705794994477
ACH-000208,-0.5667478222919311
ACH-000210,-0.34072405946281203
ACH-000211,-0.7364099083285294
ACH-000215,-0.5395752975914576
ACH-000221,-0.5255140846034725
ACH-000222,-0.41557323735965795
ACH-000223,-0.4680785370188996
ACH-000226,-0.4949565461316026
ACH-000227,-0.17829068819275376
ACH-000228,-0.5844601120765278
ACH-000231,-0.722844057591822
ACH-000232,-0.3842081446813472
ACH-000233,-0.7259236264377866
ACH-000234,-0.5844470268858556
ACH-000235,-0.10049351651901528
ACH-000237,-0.20867931362735453
ACH-000238,-0.5334138524538087
ACH-000242,-0.35218099333449937
ACH-000243,-0.5866747879096713
ACH-000244,-0.3566397265547678
ACH-000246,-0.4815897805491059
ACH-000248,-0.7957806687204363
ACH-000250,-0.7634449340387133
ACH-000251,-0.5527714808894303
ACH-000252,-0.1404387247245373
ACH-000253,-0.01509516271912597
ACH-000255,-0.4921685239220096
ACH-000256,-0.657671322184225
ACH-000257,-0.18729010191342385
ACH-000258,-0.4891357070482157
ACH-000259,-0.4067690582265584
ACH-000260,-0.750748062357095
ACH-000261,-0.5753167099673768
ACH-000262,-0.7220164781251751
ACH-000263,-0.39723310665426337
ACH-000264,-0.4506977351115112
ACH-000265,-0.630397083482473
ACH-000266,-0.42354029251197206
ACH-000272,-0.3338111187442386
ACH-000274,-0.26385882600553984
ACH-000277,-0.3679914604573408
ACH-000278,-0.36904167892533796
ACH-000279,-0.4114790731954262
ACH-000280,-0.5368301085640912
ACH-000281,-0.6594901361356379
ACH-000288,-0.6967634251343151
ACH-000291,-0.5820237813526364
ACH-000293,-0.4808246024146682
ACH-000294,-0.3024470429886729
ACH-000295,-0.6320376635462573
ACH-000296,-0.602784713492611
ACH-000302,-0.30791243337203605
ACH-000304,-0.5789991166161689
ACH-000307,-0.2262152286493537
ACH-000308,-0.2754958879199925
ACH-000310,-0.2162099927464632
ACH-000311,-0.4374682034013019
ACH-000312,-0.18210794105678665
ACH-000315,-0.6470194827956309
ACH-000316,-0.5322502446676602
ACH-000317,-0.4081014491668351
ACH-000318,-0.3210485013634184
ACH-000319,-0.3109897815843045
ACH-000320,-0.4890921917029184
ACH-000322,-0.6582815015403692
ACH-000323,-0.3878204923125408
ACH-000324,-0.6987855090134847
ACH-000329,-0.5807091745281336
ACH-000330,-0.31257776453231423
ACH-000331,-0.4391089041320759
ACH-000332,-0.18086318845944788
ACH-000334,-0.7577477766949788
ACH-000335,-0.7419382419518716
ACH-000336,-0.3703468972622581
ACH-000337,-0.5125855470785569
ACH-000338,-0.9879515670767458
ACH-000339,-0.5763082001959604
ACH-000341,-0.0846576248671856
ACH-000348,-0.5174551131516332
ACH-000350,-0.4104347323558378
ACH-000352,-0.5354837595314776
ACH-000356,-0.38900747905275335
ACH-000361,-0.2325340781311419
ACH-000362,-0.44824244557173504
ACH-000363,-0.3153507800267727
ACH-000364,-0.6517077473579878
ACH-000365,-0.0612171698987234
ACH-000366,-0.3782843476873296
ACH-000368,-0.635458271762981
ACH-000374,-0.8492037556877652
ACH-000375,-0.5293176639287809
ACH-000376,-0.3528692221891476
ACH-000381,-0.3171303253554986
ACH-000383,-0.2523778972781553
ACH-000387,-0.2183526446305768
ACH-000389,-0.6524016198719755
ACH-000390,-0.3524141316083333
ACH-000393,-0.5580817671297477
ACH-000395,-0.4196950472727036
ACH-000396,-0.4003576428211272
ACH-000397,-0.24487619031334734
ACH-000401,-0.7724078482301739
ACH-000402,-0.5743347734514105
ACH-000403,-0.17746353030925985
ACH-000404,-0.2997583510501647
ACH-000406,-0.4022315522299992
ACH-000407,-0.8403051446032019
ACH-000408,-0.5264248201268408
ACH-000410,-0.4160445511836513
ACH-000411,-0.7962637727004318
ACH-000414,-0.4998809892285019
ACH-000415,-0.4934943735540318
ACH-000416,-0.20740687517067427
ACH-000420,-0.38885707469017255
ACH-000421,-0.06872767644761395
ACH-000424,-0.4828069459643796
ACH-000425,-0.34865220867201113
ACH-000426,-0.2815208017071174
ACH-000427,-0.4947644932403654
ACH-000433,-0.5842958100797636
ACH-000435,-0.6516164674722872
ACH-000436,-0.9228041527069144
ACH-000444,-0.7167643793381301
ACH-000445,-0.6569514944776871
ACH-000448,-0.5075094017216485
ACH-000450,-0.4948696197744601
ACH-000452,-0.6155850773835012
ACH-000454,-0.5718239395555864
ACH-000458,-0.5344099385195372
ACH-000459,-0.33791209229451297
ACH-000460,-0.7758656232503991
ACH-000461,-0.7111352074620823
ACH-000463,-0.5619880688092879
ACH-000464,-0.6096517179359691
ACH-000466,-0.3688303848119478
ACH-000467,-0.33969154607123675
ACH-000468,-0.3114524970214723
ACH-000469,-0.6147415633266922
ACH-000470,0.07221675359951411
ACH-000471,-0.35707175987256506
ACH-000472,-0.19938320380840752
ACH-000473,-0.477261998070608
ACH-000475,-0.4522067252318038
ACH-000476,-0.5909323408185981
ACH-000477,-0.41997896247575534
ACH-000479,-0.3252568157799232
ACH-000480,-0.501029869533851
ACH-000481,-0.6899353595699735
ACH-000483,-0.3163566704493098
ACH-000484,-0.3944079959648875
ACH-000485,-0.2080144227829517
ACH-000486,-0.6811398893688204
ACH-000487,-0.5208612299909253
ACH-000488,-0.2491616611615361
ACH-000490,-0.655939987270951
ACH-000491,-0.2826890233620054
ACH-000495,-0.527195137118005
ACH-000496,-0.3371366905482777
ACH-000499,-0.4031242174376105
ACH-000500,-0.2622580672730604
ACH-000502,-0.4704893234449754
ACH-000503,-0.11904374904374505
ACH-000505,-0.5764797220453989
ACH-000507,-0.6310284077883987
ACH-000510,-0.35823855805836496
ACH-000511,-0.3010074583002565
ACH-000512,-0.3803366932240381
ACH-000516,-0.8707695184029955
ACH-000517,-0.3802120018064939
ACH-000518,-0.4723791677510884
ACH-000520,-0.7508587955945772
ACH-000521,-0.4460229747429392
ACH-000522,-0.43200557866030975
ACH-000524,-0.424392700390064
ACH-000527,-0.5877742342617075
ACH-000528,-0.3787624289958581
ACH-000537,-0.3191229059926238
ACH-000541,-0.2883335356930261
ACH-000542,-0.5992186058751965
ACH-000544,-0.4013425867222483
ACH-000545,-0.4212368576520087
ACH-000547,-0.2593496994661245
ACH-000548,-0.6453209609367115
ACH-000549,-0.7128155389353574
ACH-000550,-0.818546723080028
ACH-000552,-0.2950983911073895
ACH-000556,-0.30250434681521204
ACH-000557,-0.042883368111641694
ACH-000569,-0.8045064558506664
ACH-000570,-0.5554375523166346
ACH-000571,-0.4008919667100165
ACH-000573,-0.6701139077603907
ACH-000576,-0.6079481666001781
ACH-000579,-0.7347924962461639
ACH-000580,-0.2045070322544936
ACH-000584,-0.6515658306053693
ACH-000585,-0.7683874914609383
ACH-000588,-0.6424779741423912
ACH-000589,-0.3851418588777965
ACH-000591,-0.5370661116449384
ACH-000593,-0.3651481467769541
ACH-000600,-0.501076508550785
ACH-000601,-0.8556712754015453
ACH-000605,-0.3863020230461854
ACH-000606,-0.7726522844946946
ACH-000608,-0.1673625088317777
ACH-000614,-0.4327222838228232
ACH-000616,-0.4838454251961011
ACH-000618,-0.28841429256508383
ACH-000619,-0.4701909162060088
ACH-000620,-0.2359181082133992
ACH-000621,-0.7260702989580083
ACH-000622,-0.39445575179455067
ACH-000623,-0.417484518351711
ACH-000624,-0.6194038395119751
ACH-000627,-0.7458671379138458
ACH-000630,-0.7190427582673881
ACH-000631,-0.5131696816297221
ACH-000632,-0.6543811720988777
ACH-000633,-0.20338881991624053
ACH-000637,-0.5270487571858713
ACH-000638,-0.7181309628015919
ACH-000646,-0.2986825403581672
ACH-000647,-0.5394105665768488
ACH-000648,-0.6057270188246118
ACH-000649,-0.4633717702641451
ACH-000651,-0.15122214684101426
ACH-000652,-0.31492162701595205
ACH-000653,-0.6081832706323844
ACH-000657,-0.4870333802184047
ACH-000658,-0.3475189793598323
ACH-000661,-0.6426211964034143
ACH-000662,-0.5325641918238744
ACH-000663,-0.5517347257534775
ACH-000665,-0.3670083841491041
ACH-000671,-0.502394679632225
ACH-000672,-0.4026281388099657
ACH-000673,-0.7926047385222476
ACH-000676,-0.5823061630944335
ACH-000677,-0.2493575092915692
ACH-000681,-0.4065666135207887
ACH-000683,-0.1890509419704491
ACH-000684,-0.5648603991585268
ACH-000688,-0.4482418500968999
ACH-000693,-0.5148835961426369
ACH-000694,-0.4924769998731262
ACH-000695,-0.4873915161818635
ACH-000696,-0.7075296182694599
ACH-000697,-0.5825194338953666
ACH-000699,-0.7714245267960507
