,RCL1 (10171)
ACH-000004,-0.8235075572923699
ACH-000005,-0.8620750419196902
ACH-000007,-0.4612540320093183
ACH-000009,-0.6942408926612372
ACH-000011,-0.5449646380245656
ACH-000012,-0.5193038756981937
ACH-000013,-0.5633826005044682
ACH-000014,-0.39249854988224303
ACH-000015,-0.6640166779821111
ACH-000017,-0.7253593619282519
ACH-000018,-0.9743067571609432
ACH-000019,-0.7422358109999998
ACH-000021,-0.7394793740143941
ACH-000022,-0.7823791776001027
ACH-000025,-0.6156140485376382
ACH-000028,-0.5917134665422981
ACH-000030,-0.6892280162671339
ACH-000035,-0.7177973330759547
ACH-000036,-0.5401120052845778
ACH-000037,-0.7759809980011264
ACH-000039,-0.4000318898772307
ACH-000040,-0.8924059013551169
ACH-000041,-0.9207850018037476
ACH-000042,-0.7357150910663748
ACH-000045,-0.6083967220758115
ACH-000047,-0.6255422234681174
ACH-000052,-0.7304689868763473
ACH-000053,-0.7181138599693553
ACH-000054,-0.5923480583009336
ACH-000055,-0.6541825438247941
ACH-000060,-0.3631558711814301
ACH-000067,-0.7201098763844731
ACH-000070,-0.7285800020579413
ACH-000075,-0.6177114075442991
ACH-000078,-0.5718533959542507
ACH-000082,-0.8501635085106725
ACH-000085,-0.9008812328010529
ACH-000086,-0.7096385120149568
ACH-000087,-0.7889375049988219
ACH-000092,-0.6143297346653872
ACH-000095,-0.6119982498527313
ACH-000097,-0.6141757944594879
ACH-000098,-0.7517511744018867
ACH-000099,-0.5275715832247801
ACH-000108,-0.7351457250944868
ACH-000113,-0.6638745599769187
ACH-000116,-0.560130693249639
ACH-000118,-0.7372861978876479
ACH-000120,-0.6192170956428109
ACH-000123,-0.5125587524998312
ACH-000127,-0.7200279718797997
ACH-000128,-0.4694619385519988
ACH-000132,-0.7931317195487569
ACH-000133,-0.8416350516950013
ACH-000137,-0.8700645079076554
ACH-000138,-0.5933367714243252
ACH-000142,-0.7833132390514093
ACH-000143,-0.6975677901139175
ACH-000146,-0.40378380947299136
ACH-000148,-0.6444659577755513
ACH-000150,-0.5278354789211361
ACH-000152,-0.6830034406334161
ACH-000153,-0.5144511459624993
ACH-000159,-0.6476855925299813
ACH-000160,-0.8612553113324104
ACH-000163,-0.7919775307868028
ACH-000167,-0.6766730612033125
ACH-000168,-0.7066008381036991
ACH-000169,-0.9564108873794436
ACH-000178,-0.6557510644668286
ACH-000183,-0.6539475613935691
ACH-000188,-0.6332974679943847
ACH-000189,-0.6232236792098672
ACH-000190,-0.7863234680837937
ACH-000198,-0.5859824323153584
ACH-000203,-0.3602957069318893
ACH-000204,-0.6852053717247306
ACH-000206,-0.6814317806818913
ACH-000207,-0.5405571015386835
ACH-000208,-0.8584706732522077
ACH-000210,-1.065944875982011
ACH-000211,-0.5456111565154986
ACH-000215,-0.8914538316761291
ACH-000221,-0.735147531532074
ACH-000222,-0.8893323652043482
ACH-000223,-0.6239796396918134
ACH-000226,-0.9299099489513338
ACH-000227,-0.3050112450928941
ACH-000228,-0.9106907888600668
ACH-000231,-0.65270137317841
ACH-000232,-0.5470945251673162
ACH-000233,-0.6722798377882471
ACH-000234,-0.6712056581851866
ACH-000235,-0.6662866217479285
ACH-000237,-0.8228333786741315
ACH-000238,-0.8677172090727032
ACH-000242,-0.3617874531963175
ACH-000243,-0.9752126124602764
ACH-000244,-0.7100079615402581
ACH-000246,-0.5815780609446077
ACH-000248,-0.7534051421928102
ACH-000250,-0.5190384856397589
ACH-000251,-0.6753156377010512
ACH-000252,-0.7843859818738167
ACH-000253,-0.6473781575894711
ACH-000255,-0.8319850589578788
ACH-000256,-0.505053785151819
