,GNG3 (2785)
ACH-000004,-0.3191461297722417
ACH-000005,-0.14237337722394738
ACH-000007,0.004465149970790732
ACH-000009,-0.21942516672129525
ACH-000011,-0.14100530708947526
ACH-000012,-0.2751860251436166
ACH-000013,-0.28129520725439405
ACH-000014,-0.19034552945328295
ACH-000015,-0.2481378942379756
ACH-000017,-0.3847979317242056
ACH-000018,-0.5146522085572609
ACH-000019,-0.07464967066438981
ACH-000021,-0.3211489301508856
ACH-000022,-0.1289531604690087
ACH-000025,-0.3969588025161484
ACH-000028,-0.19916862119069584
ACH-000030,-0.3308299758735864
ACH-000035,-0.12360427682267405
ACH-000036,-0.3091964366288932
ACH-000037,-0.3166049676669572
ACH-000039,-0.4100222655982784
ACH-000040,-0.19345572058837174
ACH-000041,-0.2620211049692148
ACH-000042,-0.3111772732955933
ACH-000045,-0.4018238657354579
ACH-000047,-0.03699876935632203
ACH-000052,-0.06462026600698155
ACH-000053,-0.2354495898900705
ACH-000054,-0.1991421869624206
ACH-000055,-0.2868494821518376
ACH-000060,-0.1843315714336351
ACH-000067,-0.2035515426262316
ACH-000070,-0.317025172404658
ACH-000075,-0.5204068349368298
ACH-000078,-0.15524608223287356
ACH-000082,-0.4040388022461837
ACH-000085,-0.1813733737124064
ACH-000086,-0.4923969974807362
ACH-000087,-0.11538640638748375
ACH-000092,-0.24382056142843225
ACH-000095,-0.15454902221198358
ACH-000097,-0.2812442608514611
ACH-000098,-0.15202966591949535
ACH-000099,-0.15132674158925874
ACH-000108,-0.2700911874005333
ACH-000113,-0.2848102300401081
ACH-000116,-0.2692791304684667
ACH-000118,-0.3942235601666488
ACH-000120,-0.056705549328020986
ACH-000123,-0.2895138011934234
ACH-000127,-0.3349467400639905
ACH-000128,-0.15714677050695502
ACH-000132,-0.3666816799674857
ACH-000133,-0.27649551859640603
ACH-000137,-0.3179001592865696
ACH-000138,-0.4215289438855931
ACH-000142,-0.322688351603795
ACH-000143,-0.1591979970495621
ACH-000146,-0.22499084102487996
ACH-000148,-0.3529301452670971
ACH-000150,-0.2849612929795735
ACH-000152,-0.3376139627265213
ACH-000153,-0.1803392357540485
ACH-000159,-0.26427481494769633
ACH-000160,-0.17817208419557734
ACH-000163,-0.2533237443666433
ACH-000167,-0.5914860008061611
ACH-000168,-0.21986181700713264
ACH-000169,-0.2930592919872026
ACH-000178,-0.2447153979216247
ACH-000183,-0.1852289741558862
ACH-000188,-0.3088944968320601
ACH-000189,-0.4772020616876229
ACH-000190,-0.22892680294955475
ACH-000198,-0.2253970326135025
ACH-000203,-0.15822661881585934
ACH-000204,-0.4174640936664607
ACH-000206,-0.21968522327744444
ACH-000207,-0.5533838392035632
ACH-000208,-0.3416622681067437
ACH-000210,-0.07713287002296998
ACH-000211,-0.32025454055448704
ACH-000215,-0.2606352210035137
ACH-000221,-0.24491504118396426
ACH-000222,-0.2513318785059197
ACH-000223,-0.3267115807002668
ACH-000226,-0.2626015342308805
ACH-000227,-0.1923536886110956
ACH-000228,-0.22435348625674512
ACH-000231,-0.3035828280084633
ACH-000232,-0.22306001854042026
ACH-000233,-0.2842487517980126
ACH-000234,-0.02525356563252606
ACH-000235,-0.3100030141419414
ACH-000237,-0.3354852421359987
ACH-000238,-0.3368703845841753
ACH-000242,-0.6676789258292515
