,ERBB2 (2064)
ACH-000004,-0.23538856203965494
ACH-000005,-0.5545847147068839
ACH-000007,-0.4184425472191542
ACH-000009,-0.8257494352074433
ACH-000011,-0.4060831863156677
ACH-000012,-0.340441414707641
ACH-000013,-0.2966059445071375
ACH-000014,-0.2705591423463046
ACH-000015,-0.2481642610245273
ACH-000017,-1.0011921429690676
ACH-000018,-0.19417975170628607
ACH-000019,-0.1479190558886992
ACH-000021,-0.2893763268098969
ACH-000022,-0.3777301974597265
ACH-000025,-0.13010542347973875
ACH-000028,-0.10312356887863212
ACH-000030,-0.3111569077725205
ACH-000035,-0.4463787241113307
ACH-000036,-0.14852729311039295
ACH-000037,-0.10700465655401613
ACH-000039,-0.2482213737072711
ACH-000040,-0.17242190444808345
ACH-000041,-0.22776427498662746
ACH-000042,-0.270411315031074
ACH-000045,-0.20836708579074167
ACH-000047,-0.2551997401049465
ACH-000052,-0.15548781448246224
ACH-000053,-0.2932670175410522
ACH-000054,-0.07779266180035939
ACH-000055,-0.2509666679788721
ACH-000060,-0.42149014609575824
ACH-000067,-0.2664766450412032
ACH-000070,-0.3147309160618996
ACH-000075,-0.3753607263929665
ACH-000078,-0.12336344840654158
ACH-000082,-0.14561443962972456
ACH-000085,-0.6435170441769783
ACH-000086,-0.038755984529159335
ACH-000087,-0.10410931275018824
ACH-000092,-0.04266560509609285
ACH-000095,-0.29154666963581194
ACH-000097,-0.5895256158055976
ACH-000098,-0.19966241006102087
ACH-000099,-0.14334865070067976
ACH-000108,-0.3299719400176965
ACH-000113,-0.2270285415964646
ACH-000116,-0.2524756680337153
ACH-000118,-0.21208055112606786
ACH-000120,-0.09381228081073674
ACH-000123,-0.25906763195454674
ACH-000127,-0.13245543502481108
ACH-000128,-0.6144295422004099
ACH-000132,-0.09136595245830248
ACH-000133,-0.16101363861454382
ACH-000137,-0.2534805237935429
ACH-000138,-0.6365203110729211
ACH-000142,-0.7018459019294437
ACH-000143,-0.04784481862066056
ACH-000146,-0.2154501786860447
ACH-000148,-0.15166048967523196
ACH-000150,-0.03254024880696501
ACH-000152,-0.3092646898376391
ACH-000153,0.021214319446320143
ACH-000159,-0.10896175109748188
ACH-000160,-0.6517780444710406
ACH-000163,-0.09248639205273157
ACH-000167,-0.7992971938913641
ACH-000168,-0.2581204100209448
ACH-000169,-0.234076072119392
ACH-000178,-0.20221650767546115
ACH-000183,-0.2944357875988581
ACH-000188,-0.4030957611517058
ACH-000189,-0.09947223613381656
ACH-000190,-0.036858480902230116
ACH-000198,-0.15374220247812734
ACH-000203,0.1403955401951001
ACH-000204,-0.0071735395403783545
ACH-000206,-0.14453055380637891
ACH-000207,-0.6601664870581533
ACH-000208,-0.2660404739875143
ACH-000210,-0.23003531115680406
ACH-000211,-0.2233202159989
ACH-000215,-0.21831741967541668
ACH-000221,-0.22359135235856276
ACH-000222,-0.11886339182904185
ACH-000223,-0.1404579949538122
ACH-000226,-0.1549720432923022
ACH-000227,-0.18669125146617654
ACH-000228,-0.3380032559063202
ACH-000231,-0.1564003892039423
ACH-000232,-0.11542638587250477
ACH-000233,-0.14806526794058938
ACH-000234,-0.2869126011680956
ACH-000235,-0.2850213551954571
ACH-000237,-0.1782285085961711
ACH-000238,-0.411472676132904
ACH-000242,-0.3958213547801007
ACH-000243,-0.4825239532494005
ACH-000244,-0.09277497602215896
ACH-000246,-0.11254769700056763
ACH-000248,-0.6578087302949627
ACH-000250,-0.24974018202886786
ACH-000251,-0.20296681622849244
ACH-000252,-0.17418303446686298
ACH-000253,-0.14037840861992987
ACH-000255,-0.1764996427673901
ACH-000256,0.014110588183030385
ACH-000257,-0.194846281750175
ACH-000258,-0.07083728976915463
ACH-000259,-0.2308098163875368
ACH-000260,-0.22997140257548745
ACH-000261,-0.21220144113337525
ACH-000262,-0.2076897066066008
ACH-000263,-0.17956824698713955
ACH-000264,-0.182640915039246
ACH-000265,-0.1898378581303449
ACH-000266,-0.2989918685739974
ACH-000272,-0.373701192447714
ACH-000274,-0.24317209833996534
ACH-000277,-0.9896142564370374
ACH-000278,-0.09580456571063854
ACH-000279,-0.27265309609878
ACH-000280,-0.6848184147635256
ACH-000281,-0.3571202742763519
ACH-000288,-0.18577223019797784
ACH-000291,-0.18354409734082772
ACH-000293,-0.15891353482520226
ACH-000294,-0.4577639892638316
ACH-000295,-0.3575659953445323
ACH-000296,-0.2845937220920422
ACH-000302,-0.15030673012366122
ACH-000304,-0.1903611662632336
ACH-000307,-0.9181905983258748
ACH-000308,-0.10489925139240522
ACH-000310,0.017924233603388268
ACH-000311,-0.17945370794972673
ACH-000312,-0.2576556409840685
ACH-000315,-0.3054517933381438
ACH-000316,-0.32179540385479183
ACH-000317,-0.2943518101081509
ACH-000318,-0.16064800172224727
ACH-000319,-0.3061295450928696
ACH-000320,-0.032632541761512084
ACH-000322,-0.06734312614263661
ACH-000323,-0.2847818359907003
ACH-000324,-0.8006441311635737
ACH-000329,-0.1623799272273049
ACH-000330,-0.4329645563044068
ACH-000331,-0.05378624748631676
ACH-000332,-0.2748660076925777
ACH-000334,0.06683792647041356
ACH-000335,-0.10336335715736912
ACH-000336,-0.05400215737353747
ACH-000337,0.06713090817791037
ACH-000338,-1.2156366875104743
ACH-000339,-0.1604573224342675
ACH-000341,-0.09222133831782564
ACH-000348,-0.07718839049915853
ACH-000350,-0.5145229506154164
ACH-000352,-0.017296028615742143
ACH-000356,-0.3285476079478916
ACH-000361,-0.3284931902324633
ACH-000362,-0.20864673729378536
ACH-000363,-0.11741134358055452
ACH-000364,-0.29318212008988603
ACH-000365,-0.20635717425710912
ACH-000366,-0.15303133924658954
ACH-000368,0.0646131081787488
ACH-000374,-0.7185764403980496
ACH-000375,-0.2139053639726225
ACH-000376,-0.10227961397779936
ACH-000381,-0.2270310365980259
ACH-000383,-0.27703515818343233
ACH-000387,-0.2296192090973693
ACH-000389,-0.13741870783764773
ACH-000390,-0.2725519008372603
ACH-000393,-0.07506571601967718
ACH-000395,-0.44065938580522224
ACH-000396,-0.2300795236435594
ACH-000397,-0.4076044041937025
ACH-000401,-0.242978322578835
ACH-000402,-0.0869393859414614
ACH-000403,-0.3589227305071503
ACH-000404,-0.2238703976127981
ACH-000406,-0.23606464450460346
ACH-000407,-0.0001667323551921408
ACH-000408,-0.7526354712552245
ACH-000410,-0.04390624516618154
ACH-000411,-0.4506224217721569
ACH-000414,-0.4121211784167104
ACH-000415,-0.7610404707389256
ACH-000416,-0.2237889368409313
ACH-000420,-0.14901247918925895
ACH-000421,-0.3811168728933616
ACH-000424,-0.3234126657864238
ACH-000425,-0.1044796769034612
ACH-000426,-0.2029961896214138
ACH-000427,-0.7620369579541736
ACH-000433,-0.2770098252941441
ACH-000435,-0.2279410117344667
ACH-000436,-0.2867500867713648
ACH-000444,-0.039967520861587696
ACH-000445,-0.049809498540410266
ACH-000448,-0.060455212618577524
ACH-000450,-0.10971127999299199
ACH-000452,-0.23570184173338554
ACH-000454,-0.6682008136449783
ACH-000458,-0.4059326729962216
ACH-000459,-0.06884134469251108
ACH-000460,-0.7792008715510512
ACH-000461,-0.2516649136506022
ACH-000463,-0.15592133231173355
ACH-000464,-0.2457140777532764
ACH-000466,-1.1635309864776953
ACH-000467,-0.09141346473065123
ACH-000468,-0.2845746828700658
ACH-000469,-0.1234058772351127
ACH-000470,0.006242297041744926
ACH-000471,-0.2731873458231035
ACH-000472,-0.17738631291416893
ACH-000473,-0.26337352470547554
ACH-000475,-0.3607073710755375
ACH-000476,-0.4882229961719569
ACH-000477,-0.08259775523311387
ACH-000479,-0.11656314036725472
ACH-000480,-0.2293031551039256
ACH-000481,-0.5760579334386091
ACH-000483,-0.1524755532113432
ACH-000484,0.08824372189137028
ACH-000485,-0.40747440660874107
ACH-000486,-0.08332733040024254
ACH-000487,-0.2330736216390589
ACH-000488,-0.4996156495477478
ACH-000490,-0.5896225442219056
ACH-000491,-0.21439834402789326
ACH-000495,-0.20762721528966185
ACH-000496,-0.1806234944388648
ACH-000499,-0.27957017928436034
ACH-000500,-0.5768737630982775
ACH-000502,-0.2690249187834878
ACH-000503,-0.8871752790311257
ACH-000505,-0.10584170991442103
ACH-000507,-0.3532298650550297
ACH-000510,-0.2622395456603964
ACH-000511,-0.161489828271775
ACH-000512,-0.16048888674578524
ACH-000516,-0.1456149651751063
ACH-000517,-0.20303989010041545
ACH-000518,-0.6653281603147484
ACH-000520,-0.2679503223795485
ACH-000521,-0.5402405124666263
ACH-000522,-0.16945463472083638
ACH-000524,-0.3585768362916452
