,LRCH3 (84859)
ACH-000238,-0.15058781033695734
ACH-000242,-0.0357002509332275
ACH-000243,0.020934041073657296
ACH-000244,-0.14738912033945348
ACH-000246,-0.2341524253297053
ACH-000248,0.07424205852048726
ACH-000250,-0.1564185028273137
ACH-000251,0.0886605219296096
ACH-000252,0.07220004658674728
ACH-000253,-0.08020039382286727
ACH-000255,-0.04671281101413777
ACH-000256,-0.10277807941426874
ACH-000257,-0.07046645585374955
ACH-000258,-0.043017652704749235
ACH-000259,-0.08832019577219666
ACH-000260,-0.054129742412421605
ACH-000261,-0.02464092543017016
ACH-000262,-0.09309795473553026
ACH-000263,-0.14155649520427366
ACH-000264,-0.041951532215218135
ACH-000265,-0.06946965432684994
ACH-000266,-0.18455852880961215
ACH-000272,-0.16490772425995545
ACH-000274,-0.06996084353702721
ACH-000277,-0.11125199098651624
ACH-000278,-0.0284998167106365
ACH-000279,-0.01231921572629433
ACH-000280,-0.1555335264412627
ACH-000281,-0.1240711934315053
ACH-000288,-0.10695955446690554
ACH-000291,-0.08481132196370493
ACH-000293,-0.0006881962645989987
ACH-000294,0.06518543290131884
ACH-000295,-0.11951621862781707
ACH-000296,-0.3150396458459476
ACH-000302,0.02768089031784383
ACH-000304,-0.4301128855761159
ACH-000307,-0.1373798934196501
ACH-000308,-0.30199359876288284
ACH-000310,-0.060213781885846834
ACH-000311,-0.15681958491408174
ACH-000312,-0.01697253179417854
ACH-000315,-0.24440438472695494
ACH-000316,-0.36714448517511655
ACH-000317,0.05701918882122803
ACH-000318,-0.09392440691852068
ACH-000319,0.1254231582882786
ACH-000320,-0.2371621687676431
ACH-000322,-0.15971319549993912
ACH-000323,-0.07328707862518266
ACH-000324,-0.13032072706805786
ACH-000329,0.04808977837386083
ACH-000330,-0.1749957604822942
ACH-000331,-0.08404670560194151
ACH-000332,-0.07149689089318903
ACH-000334,-0.03322338930354449
ACH-000335,-0.00787084098188813
ACH-000336,0.20963994293241234
ACH-000337,-0.03308491783502068
ACH-000338,0.16839573130069965
ACH-000339,0.02087690546943461
ACH-000341,-0.01785523572011102
ACH-000348,-0.2909209082406116
ACH-000350,-0.01954632836710932
ACH-000352,-0.1226530987983276
ACH-000356,0.06535040718400552
ACH-000361,-0.3723612206517493
ACH-000362,-0.025900678838978074
ACH-000363,0.01293502359267076
ACH-000364,-0.16180652213548186
ACH-000365,-0.047928719237415617
ACH-000366,-0.07641034594944293
ACH-000368,-0.1504517332486202
ACH-000374,-0.17065403279065386
ACH-000375,-0.17568043970290972
ACH-000376,-0.047419356305435485
ACH-000381,-0.1787469234014768
ACH-000383,-0.05641010087623693
ACH-000387,-0.04256078991507388
ACH-000389,-0.2046743934977828
ACH-000390,-0.11166363373842368
ACH-000393,0.01276886774807035
ACH-000395,0.0099557348357514
ACH-000396,-0.37127389811688455
ACH-000397,-0.15711886843117195
ACH-000401,0.13797919734410322
ACH-000402,-0.3611215616303281
ACH-000403,-0.013586731091626308
ACH-000404,-0.07963155554494329
ACH-000406,-0.033991462443544125
ACH-000407,-0.052774103362814434
ACH-000408,0.07740619207291702
ACH-000410,0.1839776609202448
ACH-000411,-0.10370754118171584
ACH-000414,-0.23382634167845465
ACH-000415,0.06072868719044858
ACH-000416,-0.10880527501328932
ACH-000420,-0.3875845509732803
ACH-000421,-0.06637031318162287
ACH-000424,-0.11060790415645523
ACH-000425,-0.03719378301387384
ACH-000426,0.2659690418542021
ACH-000427,-0.08823147689912944
ACH-000433,-0.2629129855050901
ACH-000435,0.07823403227370636
ACH-000436,-0.11608101791565564
ACH-000444,-0.114996902451224
ACH-000445,-0.08600829684619411
ACH-000448,-0.1149566965915194
ACH-000450,-0.041055180262322806
ACH-000452,0.010237918381930987
ACH-000454,-0.2086213776723311
ACH-000458,-0.22444590712260806
ACH-000459,-0.27293410572532584
ACH-000460,-0.19329580351255035
ACH-000461,-0.016768416565874338
ACH-000463,-0.06251372483090853
ACH-000464,0.05782031702764341
ACH-000466,-0.16618528782898925
ACH-000467,-0.2606172274095696
ACH-000468,-0.00014364626108973708
ACH-000469,-0.20519092545122244
ACH-000470,-0.07492572023708734
ACH-000471,-0.1786980667328188
ACH-000472,0.00013475003695079352
ACH-000473,0.002868385164322148
ACH-000475,-0.2006447929469223
ACH-000476,-0.1513685729432317
ACH-000477,-0.032075619487996886
ACH-000479,-0.16868070657390624
