,PRKAB2 (5565)
ACH-000004,-0.17228202299411158
ACH-000005,0.06374138259084072
ACH-000007,-0.1550628334307256
ACH-000009,-0.088916943719566
ACH-000011,-0.2530201351669599
ACH-000012,-0.07247972265096067
ACH-000013,-0.11036299333696722
ACH-000014,-0.08782191660108798
ACH-000015,-0.2814616028817343
ACH-000017,-0.08777097384935359
ACH-000018,-0.17794748425592988
ACH-000019,-0.23004839431797786
ACH-000021,-0.13097186034252153
ACH-000022,0.18633818063388602
ACH-000025,-0.09720981248457307
ACH-000028,-0.262467101645843
ACH-000030,-0.04141518965479393
ACH-000035,-0.06902473112195345
ACH-000036,-0.07746154319222298
ACH-000037,-0.10293070137396708
ACH-000039,-0.08207935114839028
ACH-000040,-0.045163633159989267
ACH-000041,0.0650622808683208
ACH-000042,-0.1256327561226681
ACH-000045,-0.08769796174239641
ACH-000047,-0.10965433886005227
ACH-000052,-0.08852122044820214
ACH-000053,-0.06202245253491435
ACH-000054,-0.13232437249327222
ACH-000055,-0.3115416407893597
ACH-000060,-0.029328582425920856
ACH-000067,-0.0379178773888534
ACH-000070,-0.04735591017573894
ACH-000075,0.031558552961078484
ACH-000078,0.048254387010111865
ACH-000082,-0.11520800300621788
ACH-000085,-0.14394931451656373
ACH-000086,-0.2342596200168151
ACH-000087,-0.15924220582646556
ACH-000092,-0.02613160248057201
ACH-000095,-0.16523867994728691
ACH-000097,-0.187689656472298
ACH-000098,-0.13981311657152093
ACH-000099,0.07101935427919802
ACH-000108,-0.07367429406172482
ACH-000113,0.033320981822481895
ACH-000116,-0.04580293004332416
ACH-000118,-0.04786553606729063
ACH-000120,-0.0924368192188778
ACH-000123,0.02374745709867661
ACH-000127,-0.11813063636030112
ACH-000128,-0.03835397141398982
ACH-000132,-0.09194014053913177
ACH-000133,-0.06980570721558521
ACH-000137,0.028089816176540317
ACH-000138,-0.08703802148409523
ACH-000142,0.043189421204433816
ACH-000143,-0.017607111736066633
ACH-000146,-0.03008319871151755
ACH-000148,-0.047374538932859964
ACH-000150,-0.03522458713599786
ACH-000152,-0.19377290910437991
ACH-000153,0.0022371595935820367
ACH-000159,-0.08304946398206786
ACH-000160,0.03279655832779072
ACH-000163,-0.058590121382514335
ACH-000167,-0.031624759362086724
ACH-000168,-0.03590249048146835
ACH-000169,-0.1218785628700135
ACH-000178,-0.04214672166015492
ACH-000183,-0.04397605668660565
ACH-000188,-0.1423722274796976
ACH-000189,0.10552117835965166
