,HIST1H4C (8364)
ACH-000004,0.02575426623711197
ACH-000005,-0.4115548778347592
ACH-000007,-0.2756680308717844
ACH-000009,-0.2468273794563121
ACH-000011,-0.3029544519564177
ACH-000012,-0.1895449183122456
ACH-000013,-0.20573740340437088
ACH-000014,-0.18425453186096336
ACH-000015,-0.10747550600490777
ACH-000017,-0.17223657535188264
ACH-000018,-0.19342760698577613
ACH-000019,-0.1423526716735107
ACH-000021,-0.19880455953224094
ACH-000022,-0.3316368228894442
ACH-000025,-0.21666176600124934
ACH-000028,-0.15599594634049574
ACH-000030,-0.19423025775422487
ACH-000035,-0.2136208818983664
ACH-000036,-0.2567735759137638
ACH-000037,-0.045335220315178
ACH-000039,-0.25382276989360064
ACH-000040,-0.07401218285330145
ACH-000041,-0.06638631209892183
ACH-000042,-0.1073729186298458
ACH-000045,-0.0011109510973321061
ACH-000047,-0.23705044448954601
ACH-000052,-0.3075789332138121
ACH-000053,-0.1770564659740074
ACH-000054,-0.3735482855890784
ACH-000055,-0.1802275177487344
ACH-000060,-0.3051086979489767
ACH-000067,-0.2552003307635521
ACH-000070,0.022842410146241245
ACH-000075,-0.2258860527756712
ACH-000078,-0.25748342012618103
ACH-000082,-0.2549818026879153
ACH-000085,-0.5226347462745888
ACH-000086,-0.32237405855944784
ACH-000087,-0.1691596251280541
ACH-000092,-0.15975967606401806
ACH-000095,-0.1891404097473852
ACH-000097,-0.229211871148096
ACH-000098,-0.262279124860602
ACH-000099,-0.2138229804884315
ACH-000108,-0.17220604724830296
ACH-000113,-0.29126398952316823
ACH-000116,-0.2392834976513571
ACH-000118,-0.27337638478931275
ACH-000120,-0.14308476225848987
ACH-000123,-0.2676296011844185
ACH-000127,-0.29879902969976097
ACH-000128,-0.20889406755335865
ACH-000132,-0.2150605433840659
ACH-000133,-0.2279549684335571
ACH-000137,-0.5184828864496703
ACH-000138,-0.09316666043214523
ACH-000142,-0.13037359283014752
ACH-000143,0.013653782002936515
ACH-000146,-0.2752701784144477
ACH-000148,-0.1201137085843568
ACH-000150,-0.18480547278406345
ACH-000152,-0.12810923048337772
ACH-000153,-0.21235966250544985
ACH-000159,-0.21064709289278946
ACH-000160,-0.23259719576521856
ACH-000163,-0.14922654319023135
ACH-000167,-0.0670812630410109
ACH-000168,-0.1414576390274464
ACH-000169,-0.31572912228354155
ACH-000178,-0.3155648871066694
ACH-000183,-0.1813666841022376
ACH-000188,-0.1611458969335034
ACH-000189,-0.2597203901984901
ACH-000190,-0.27228813108943883
ACH-000198,-0.26021024884554705
ACH-000203,0.1059384908327416
ACH-000204,-0.21688666788423647
ACH-000206,-0.2241411286074394
ACH-000207,-0.244051492513167
ACH-000208,0.058129331999915386
ACH-000210,-0.21321162277018332
ACH-000211,-0.1850095523583406
ACH-000215,-0.16445867819394858
ACH-000221,-0.04810917834542653
ACH-000222,-0.11688039844396132
ACH-000223,-0.17845481828342047
ACH-000226,-0.1881567949627912
ACH-000227,-0.18984332719874564
ACH-000228,-0.2899278917328801
ACH-000231,-0.39962812883621385
ACH-000232,-0.19483195994771424
ACH-000233,-0.2836006691613719
ACH-000234,-0.09619052864840033
ACH-000235,-0.1691117190088682
ACH-000237,-0.33013640498685026
ACH-000238,-0.2795455458403185
ACH-000242,0.023228226301608236
ACH-000243,-0.17172046758223822
ACH-000244,-0.5178899181439611
ACH-000246,-0.13702928635076664
ACH-000248,-0.3460794364426457
ACH-000250,-0.18292609370317126
ACH-000251,-0.4119092617564029
ACH-000252,-0.14705083244860434
ACH-000253,-0.2519907877078258
ACH-000255,-0.16978569861379825
ACH-000256,-0.06172755358882145
ACH-000257,-0.2610771695668758
ACH-000258,-0.10915878170342293
ACH-000259,-0.21531265764888305
ACH-000260,-0.18025227798508672
ACH-000261,-0.2236431564981669
ACH-000262,-0.15944822267839062
ACH-000263,-0.2406252775716947
ACH-000264,-0.15603613589212514
ACH-000265,-0.1354724650872424
ACH-000266,-0.16699261241640534
ACH-000272,-0.1576281113426295
ACH-000274,-0.3120205113283553
ACH-000277,-0.3321126265322116
ACH-000278,-0.037730891651460506
ACH-000279,-0.24268835980785544
ACH-000280,-0.137955396317328
ACH-000281,-0.2330255658763335
ACH-000288,-0.17199540943615582
ACH-000291,-0.25223925705585115
ACH-000293,-0.2799463095019822
ACH-000294,-0.1442136228408031
ACH-000295,-0.2587106446549608
ACH-000296,-0.3017299268738952
ACH-000302,-0.1110486418026196
ACH-000304,-0.16257800481424076
ACH-000307,-0.2225967409865955
ACH-000308,-0.3453704711185823
ACH-000310,-0.3438599277222352
ACH-000311,-0.23887080723191964
ACH-000312,-0.06230786550920256
ACH-000315,-0.2989871094602722
ACH-000316,-0.2729459891470067
ACH-000317,-0.22653050330116975
ACH-000318,-0.29373130996135066
ACH-000319,-0.2294195545049004
ACH-000320,-0.3227044259657438
ACH-000322,-0.015524982375303246
ACH-000323,-0.2784661063916592
ACH-000324,-0.19983615380744568
ACH-000329,-0.10051722513879027
ACH-000330,-0.4492133921443568
ACH-000331,-0.3159604022672334
ACH-000332,-0.2332985007827477
ACH-000334,-0.23876461184923314
ACH-000335,-0.34081258581577417
ACH-000336,-0.4574638244894917
ACH-000337,-0.0029105101048390145
ACH-000338,-0.17238840377558007
ACH-000339,-0.2530899925901771
ACH-000341,-0.25818764670429795
ACH-000348,-0.2549117741714499
ACH-000350,-0.18229545780931367
ACH-000352,-0.2875988645472182
ACH-000356,-0.15097183283489293
ACH-000361,-0.09420813958512247
ACH-000362,-0.1993808363481791
ACH-000363,-0.2932056855413227
ACH-000364,-0.1568521603391161
ACH-000365,-0.12949525246773425
ACH-000366,-0.1248089675775859
ACH-000368,-0.3198797982933503
ACH-000374,-0.37674697876749297
ACH-000375,-0.10349727983937652
ACH-000376,-0.27199073650659195
