,MEF2BNB (729991)
ACH-000004,-0.14151437197349745
ACH-000005,-0.4599463758934124
ACH-000007,-0.35289735814539896
ACH-000009,-0.1808659696566683
ACH-000011,-0.4024829015720704
ACH-000012,-0.11850648457293025
ACH-000013,-0.29540483747681345
ACH-000014,-0.3218064818364897
ACH-000015,-0.4921694914496647
ACH-000017,-0.5820966226800103
ACH-000018,-0.05036911777043885
ACH-000019,-0.5190172560342965
ACH-000021,-0.3694464237668032
ACH-000022,-0.4118769582640578
ACH-000025,-0.26880389854980835
ACH-000028,-0.5083407340906276
ACH-000030,-0.2887041239235124
ACH-000035,-0.1969583280470491
ACH-000036,-0.3869757434673314
ACH-000037,-0.2833919531392589
ACH-000039,-0.5188881107435882
ACH-000040,-0.2562264793690197
ACH-000041,-0.3766494534554811
ACH-000042,-0.3696221900798549
ACH-000045,-0.3512974975860609
ACH-000047,-0.2570584218243749
ACH-000052,-0.4906022970064012
ACH-000053,-0.3396850251069673
ACH-000054,-0.3398758752452912
ACH-000055,-0.21208460329357293
ACH-000060,-0.3811683296436771
ACH-000067,-0.28038129923658184
ACH-000070,-0.24940015012505826
ACH-000075,0.06284321551059119
ACH-000078,-0.2399493741834435
ACH-000082,-0.31354310540742264
ACH-000085,-0.23391046440378704
ACH-000086,-0.37638899847568746
ACH-000087,-0.06498238308503948
ACH-000092,-0.4075302243407936
ACH-000095,-0.25378145179423056
ACH-000097,-0.3112072970733481
ACH-000098,-0.2379905717019497
ACH-000099,-0.305777869393832
ACH-000108,-0.3575169026920175
ACH-000113,-0.502769437110855
ACH-000116,-0.2423920408055347
ACH-000118,-0.3421417781815088
ACH-000120,-0.22975755254924335
ACH-000123,-0.3760206409184752
ACH-000127,-0.23931614242800955
ACH-000128,-0.36186624717625937
ACH-000132,-0.3050116840081593
ACH-000133,-0.06498681274320567
ACH-000137,-0.54187704254297
ACH-000138,-0.30752590917778244
ACH-000142,-0.3658071971281469
ACH-000143,-0.3082767846129706
ACH-000146,-0.3843780989951036
ACH-000148,-0.22490098413652485
ACH-000150,-0.3531534963810905
ACH-000152,-0.2283085580680711
ACH-000153,-0.10107109052766904
ACH-000159,-0.4001355743364318
ACH-000160,-0.21310597211269705
ACH-000163,-0.5399288352123714
ACH-000167,-0.1780419062432427
ACH-000168,-0.5792797323922798
ACH-000169,-0.2760835928513479
ACH-000178,-0.4456830021894954
ACH-000183,-0.2415199987701221
ACH-000188,-0.40097461377962096
ACH-000189,-0.3708468211617725
ACH-000190,-0.29960529221891685
ACH-000198,-0.3302864260535673
ACH-000203,-0.22670832586771436
ACH-000204,-0.2783215174469405
ACH-000206,-0.29434860098118165
ACH-000207,-0.2438193588591221
ACH-000208,-0.22438132209515185
ACH-000210,-0.1485923939378268
ACH-000211,-0.3380123691881716
ACH-000215,-0.28992012867280337
ACH-000221,-0.3323346428006278
ACH-000222,-0.2718065153246763
ACH-000223,-0.21527284520779336
ACH-000226,-0.3420098715391357
ACH-000227,-0.31529695966554483
ACH-000228,-0.235664087657478
ACH-000231,-0.2508979730780703
ACH-000232,-0.38405049650336215
ACH-000233,-0.4116655997124174
ACH-000234,-0.4148571548238401
ACH-000235,-0.40498940046501536
ACH-000237,-0.3170586331120676
ACH-000238,-0.3135897106002795
ACH-000242,-0.5166230193509677
ACH-000243,-0.3200539443884801
ACH-000244,-0.5117324888940467
ACH-000246,-0.23979165049023
ACH-000248,-0.4544606345484163
ACH-000250,-0.2924541286664805
ACH-000251,-0.21481919116957315
ACH-000252,-0.3860405643939701
ACH-000253,-0.31823022868616185
ACH-000255,-0.4158325360831543
ACH-000256,-0.16121383780057005
ACH-000257,-0.370728967062248
ACH-000258,-0.13952703991093746
ACH-000259,-0.3395356325166435
ACH-000260,-0.3593445560168805
ACH-000261,-0.39342469665618396
ACH-000262,-0.18661414699313364
ACH-000263,-0.4072346180202823
ACH-000264,-0.15811167858899014
ACH-000265,-0.02867322951609065
ACH-000266,-0.32635511797093625
ACH-000272,-0.35779135983944776
ACH-000274,-0.1285068343843055
ACH-000277,-0.254458754108754
ACH-000278,-0.494975996057265
ACH-000279,-0.0879643865202289
ACH-000280,-0.1499327120551853
ACH-000281,-0.17173804149874478
ACH-000288,-0.17957636225580906
ACH-000291,-0.3768950697676688
ACH-000293,-0.28428772305196554
ACH-000294,-0.563541137294501
ACH-000295,-0.2653147248991389
ACH-000296,-0.32044940823025064
ACH-000302,-0.3982357411408448
ACH-000304,-0.3508468149645386
ACH-000307,-0.33100382365243
ACH-000308,-0.24824279956024864
ACH-000310,-0.2641257868074853
ACH-000311,-0.4418931545226871
ACH-000312,-0.23012829947561825
ACH-000315,-0.4211578459789356
