,RETNLB (84666)
ACH-000004,-0.14705444130280193
ACH-000005,0.18168469809156096
ACH-000007,-0.2258750335699241
ACH-000009,-0.20161164455206465
ACH-000011,-0.1472468418051144
ACH-000012,-0.1019097248854872
ACH-000013,-0.1358726934927373
ACH-000014,-0.3598085879642388
ACH-000015,-0.11779048740904248
ACH-000017,-0.16079075055662415
ACH-000018,-0.25270577911700315
ACH-000019,-0.016724899237018566
ACH-000021,-0.14880273505553693
ACH-000022,-0.09594579889855852
ACH-000025,-0.0885735938285086
ACH-000028,0.012950085090821866
ACH-000030,-0.09851215651960273
ACH-000035,-0.2656260967515802
ACH-000036,-0.1498878749285315
ACH-000037,-0.13870581516087646
ACH-000039,-0.358124408725756
ACH-000040,-0.050590971068398494
ACH-000041,-0.06465360082204469
ACH-000042,-0.0968335126322894
ACH-000045,-0.005638449281451123
ACH-000047,-0.13863328419903315
ACH-000052,-0.09848186349850707
ACH-000053,-0.1510204880085971
ACH-000054,-0.08096748613062707
ACH-000055,-0.2134056536183668
ACH-000060,-0.1952086059286296
ACH-000067,-0.2488518136567403
ACH-000070,-0.04234436196568287
ACH-000075,-0.07654860378304408
ACH-000078,-0.045930142881263784
ACH-000082,-0.20228950521591216
ACH-000085,0.08217669257489532
ACH-000086,-0.0384676021084524
ACH-000087,-0.16440281090298645
ACH-000092,-0.09516034890752134
ACH-000095,-0.11134881079369884
ACH-000097,-0.21309379071907544
ACH-000098,-0.028022500247660717
ACH-000099,0.07184841756288166
ACH-000108,-0.23062710870734124
ACH-000113,-0.033182455791840516
ACH-000116,-0.16397559317280988
ACH-000118,-0.12125975293667947
ACH-000120,-0.031218561643960786
ACH-000123,-0.08427517404110302
ACH-000127,-0.04076122838307507
ACH-000128,-0.218598391007799
ACH-000132,-0.21462200993785452
ACH-000133,-0.06989785870596821
ACH-000137,-0.10086391312055873
ACH-000138,-0.051915988871030716
ACH-000142,0.04964801537572742
ACH-000143,-0.07231096914034547
ACH-000146,-0.04611570109436612
ACH-000148,-0.05627699608809155
ACH-000150,0.08870979692446135
ACH-000152,-0.14047781376814927
ACH-000153,-0.056248367551115175
ACH-000159,-0.21218614538077665
ACH-000160,-0.07632559254440764
ACH-000163,-0.08369855648136222
ACH-000167,-0.2601710326901657
ACH-000168,-0.1364572947658539
ACH-000169,-0.2108541836148856
ACH-000178,-0.17654306520310875
ACH-000183,-0.2743594496423781
ACH-000188,-0.2315150488607923
ACH-000189,-0.07869310592880746
ACH-000190,-0.1422263802475652
ACH-000198,-0.18761609809172386
ACH-000203,-0.439761629119011
ACH-000204,-0.061102174410382924
ACH-000206,-0.06422358086117268
ACH-000207,-0.1613223081854639
ACH-000208,-0.06129760108810281
ACH-000210,-0.02841308502143572
ACH-000211,-0.3116811672855065
ACH-000215,-0.04285246317034457
ACH-000221,-0.14919561842650972
ACH-000222,-0.14312616825580318
ACH-000223,-0.10712609556498298
ACH-000226,-0.20905773052480914
ACH-000227,-0.16510466211310745
ACH-000228,-0.2223131991287744
ACH-000231,-0.09944298164399616
ACH-000232,-0.27299000559495484
ACH-000233,-0.05891289208801447
ACH-000234,-0.1589843137434915
ACH-000235,-0.1094562977143422
ACH-000237,-0.08070752394216546
ACH-000238,-0.18785177221598726
ACH-000242,0.06661948185583376
ACH-000243,-0.0625163718259361
