,ZZZ3 (26009)
ACH-000004,-0.1234650048668565
ACH-000005,0.06510425826020604
ACH-000007,-0.3584184991885521
ACH-000009,-0.3917581374666047
ACH-000011,-0.3299374153433899
ACH-000012,-0.3075833266363939
ACH-000013,-0.4319100473643084
ACH-000014,-0.26164732403377394
ACH-000015,-0.17177325384614414
ACH-000017,-0.2010100691220696
ACH-000018,-0.2512218878582824
ACH-000019,-0.3526537722618465
ACH-000021,-0.3107397089961136
ACH-000022,-0.21562219621252135
ACH-000025,-0.4808826835155142
ACH-000028,-0.22432242380195505
ACH-000030,-0.2557405665627045
ACH-000035,-0.39141147576019053
ACH-000036,-0.23487419164809226
ACH-000037,-0.21401705413820693
ACH-000039,-0.33351430475652205
ACH-000040,-0.30972334031615706
ACH-000041,-0.3840134311005111
ACH-000042,-0.1967541624729985
ACH-000045,-0.4873768628446422
ACH-000047,-0.4495754061962599
ACH-000052,-0.4612064002125478
ACH-000053,-0.05744708971521801
ACH-000054,-0.27104697423859564
ACH-000055,-0.2610692648061962
ACH-000060,-0.4201615985502988
ACH-000067,-0.32446290120999505
ACH-000070,-0.33240975466422584
ACH-000075,-0.3646133683891731
ACH-000078,-0.324848131850628
ACH-000082,-0.4271794111467749
ACH-000085,-0.3690288608901927
ACH-000086,-0.3583658194612485
ACH-000087,-0.4534116259510926
ACH-000092,-0.2794126122804161
ACH-000095,-0.30627920490659033
ACH-000097,-0.3451031995518062
ACH-000098,-0.18949779287901733
ACH-000099,-0.2349479397050473
ACH-000108,-0.26185748220779026
ACH-000113,-0.433461611527828
ACH-000116,-0.3960164515356008
ACH-000118,-0.039361700185419464
ACH-000120,-0.4576004115182816
ACH-000123,-0.3699692456106388
ACH-000127,-0.031641404028954614
ACH-000128,-0.5270765270563171
ACH-000132,-0.44748959986066905
ACH-000133,-0.5086425603233017
ACH-000137,-0.2827055613936237
ACH-000138,-0.34234302444655607
ACH-000142,-0.10683432796502083
ACH-000143,-0.22527186240378516
ACH-000146,-0.10932242407830613
ACH-000148,-0.20981692325970885
ACH-000150,-0.3622653769174186
ACH-000152,-0.7106829423512243
ACH-000153,-0.3562058469109496
ACH-000159,-0.2866195214382897
ACH-000160,-0.029381379987646325
ACH-000163,-0.448906624942393
ACH-000167,0.003329983649752875
ACH-000168,-0.3169544552512061
ACH-000169,-0.4343629361928065
ACH-000178,-0.3160544746005102
ACH-000183,-0.2678298746299933
ACH-000188,-0.4044969337198249
ACH-000189,-0.2478705770943232
ACH-000190,0.18063279521043246
ACH-000198,-0.28370821313661704
ACH-000203,-0.0912568826297364
ACH-000204,-0.5269524118625688
ACH-000206,-0.21736983275696112
ACH-000207,-0.3825283588642565
ACH-000208,-0.4845984100256507
ACH-000210,-0.31742922846805793
ACH-000211,-0.3615677402253102
ACH-000215,-0.4867928634277691
ACH-000221,-0.038376274332433666
ACH-000222,-0.2272660130401488
ACH-000223,-0.4081695225840667
ACH-000226,-0.1674778133852108
ACH-000227,-0.14993957191433582
ACH-000228,-0.2716149990529138
ACH-000231,-0.3638742720961965
ACH-000232,-0.2938761595924553
ACH-000233,-0.3034114527131253
ACH-000234,-0.2979100474447792
ACH-000235,-0.2632963442010039
ACH-000237,-0.4694286912174497
ACH-000238,-0.16342174890613925
ACH-000242,-0.17117536895004326
ACH-000243,-0.3395974565223273
ACH-000244,-0.2277081566607625
ACH-000246,-0.17115901016336812
ACH-000248,-0.3851848942583568
ACH-000250,-0.20187063330576427
ACH-000251,-0.3953122049085719
ACH-000252,-0.33345777334057664
ACH-000253,-0.3761544203955727
ACH-000255,-0.5058031314154967
ACH-000256,-0.2389819155172705
ACH-000257,-0.3515993609124829
ACH-000258,-0.4708975046580881
ACH-000259,-0.2741936233667627
ACH-000260,-0.3367901796612143
ACH-000261,-0.15883227561812
ACH-000262,-0.4743489011764621
ACH-000263,-0.15063956714733834
ACH-000264,-0.049478856466857936
ACH-000265,-0.11461180753926108
ACH-000266,-0.31802339424090553
ACH-000272,-0.24765589452338616
ACH-000274,-0.3122999503464053
ACH-000277,-0.8052009243859607
ACH-000278,-0.4442580827284507
ACH-000279,-0.33857490787851424
ACH-000280,-0.04096665166310628
ACH-000281,-0.29766512843502
ACH-000288,-0.41957189106236503
ACH-000291,-0.5063811497286911
ACH-000293,-0.21023232264783406
ACH-000294,-0.2729719849752816
ACH-000295,-0.229414022924782
ACH-000296,-0.1949983407959332
ACH-000302,-0.39406116939050173
ACH-000304,-0.1496857405657799
ACH-000307,-0.2491174764282739
ACH-000308,-0.2793966739553062
ACH-000310,-0.3046396751208861
ACH-000311,-0.3248534314060752
ACH-000312,-0.18105749710842406
ACH-000315,-0.2736482294234651
ACH-000316,-0.359289348295754
ACH-000317,-0.34792384942569504
ACH-000318,-0.2633310477522764
ACH-000319,-0.4466902374999978
ACH-000320,-0.2007840611824582
ACH-000322,-0.4483241464150766
ACH-000323,-0.29136699864943383
ACH-000324,-0.26994072276772396
ACH-000329,-0.3096616796800518
ACH-000330,-0.316945090818185
ACH-000331,-0.34633781886096193
ACH-000332,-0.2827343185991185
ACH-000334,-0.10933076948496888
ACH-000335,-0.34002033030211504
ACH-000336,-0.3189690262961359
ACH-000337,-0.5375349282169196
ACH-000338,-0.04132714678897016
ACH-000339,-0.2913527859906884
ACH-000341,-0.35225084729071265
ACH-000348,-0.15887632190275078
ACH-000350,-0.1702254222681015
ACH-000352,-0.4899911324502239
ACH-000356,-0.4119258279114128
ACH-000361,-0.5686107632626904
ACH-000362,-0.4224816441021937
ACH-000363,-0.203537774402396
ACH-000364,-0.5342402924696638
ACH-000365,-0.3958578335428632
ACH-000366,-0.25468813459288103
ACH-000368,-0.33295700086618396
ACH-000374,-0.36473747901564596
ACH-000375,-0.30122797336572643
ACH-000376,-0.3072563448312992
ACH-000381,-0.4092701960909003
ACH-000383,-0.2385140064615319
ACH-000387,-0.4233522498067442
ACH-000389,-0.5195933429847847
ACH-000390,-0.3588256296839062
ACH-000393,-0.2566897585250345
ACH-000395,-0.2463203416612028
ACH-000396,-0.2568530302603433
ACH-000397,-0.5495015732920366
ACH-000401,-0.3618555950947384
ACH-000402,0.09656354679628544
ACH-000403,-0.26405589211228075
ACH-000404,-0.3463934569273737
ACH-000406,-0.22990736682845025
ACH-000407,-0.32369935902530045
ACH-000408,-0.3292800118048782
ACH-000410,-0.4505886502476578
ACH-000411,-0.32037026784161865
ACH-000414,-0.3869096488068273
ACH-000415,-0.32195684072553105
