,MYO1H (283446)
ACH-000004,-0.5539176536065531
ACH-000005,-0.7972869149422558
ACH-000007,-0.5561659033560397
ACH-000009,-0.5466512824528086
ACH-000011,-0.5673811450194838
ACH-000012,-0.5867043146411962
ACH-000013,-0.4944958746363245
ACH-000014,-0.4565556033843149
ACH-000015,-0.5138149015681456
ACH-000017,-0.6070860449101071
ACH-000018,-0.6383345567252217
ACH-000019,-0.6066044826042829
ACH-000021,-0.6081571466515495
ACH-000022,-0.41773840538002616
ACH-000025,-0.7067004812576736
ACH-000028,-0.3844735580091941
ACH-000030,-0.4506998691440605
ACH-000035,-0.36394228591395184
ACH-000036,-0.4973607765971848
ACH-000037,-0.4540580354225506
ACH-000039,-0.5925814136882842
ACH-000040,-0.7037416868099955
ACH-000041,-0.4397389822310779
ACH-000042,-0.6485069384334144
ACH-000045,-0.39343256678803024
ACH-000047,-0.6152167136570106
ACH-000052,-0.4628519298476301
ACH-000053,-0.5498103273290691
ACH-000054,-0.5310317915274309
ACH-000055,-0.6140633552793989
ACH-000060,-0.5974864416652901
ACH-000067,-0.5652881818366823
ACH-000070,-0.5896925469776595
ACH-000075,-0.4863683655264408
ACH-000078,-0.5819107968142582
ACH-000082,-0.5607751554291772
ACH-000085,-0.4590874426479258
ACH-000086,-0.6109667149497322
ACH-000087,-0.4675287285373006
ACH-000092,-0.6196020189027016
ACH-000095,-0.5931383448619315
ACH-000097,-0.6388323381653165
ACH-000098,-0.5172210816948636
ACH-000099,-0.5309905129146735
ACH-000108,-0.5648567121647657
ACH-000113,-0.5482030366294329
ACH-000116,-0.4236530416626173
ACH-000118,-0.3979520750087776
ACH-000120,-0.5520754837316014
ACH-000123,-0.507644134564805
ACH-000127,-0.4635282887855645
ACH-000128,-0.5350325776433382
ACH-000132,-0.5130725624755488
ACH-000133,-0.6131510668921758
ACH-000137,-0.4792993691160596
ACH-000138,-0.5021372303584445
ACH-000142,-0.5484776105296542
ACH-000143,-0.5496631886992616
ACH-000146,-0.4662179987930312
ACH-000148,-0.6059017991027665
ACH-000150,-0.7008494349096187
ACH-000152,-0.5971340042151049
ACH-000153,-0.6765528584685426
ACH-000159,-0.43590470241053497
ACH-000160,-0.5184286430918157
ACH-000163,-0.6265509859330066
ACH-000167,-0.7270380257011126
ACH-000168,-0.44468915330499376
ACH-000169,-0.5401580111599525
ACH-000178,-0.4267496530408639
ACH-000183,-0.6403712067536798
ACH-000188,-0.5796572859900543
ACH-000189,-0.4822798419294525
ACH-000190,-0.3516196866805325
ACH-000198,-0.3816392403145271
ACH-000203,-0.13871164236860975
ACH-000204,-0.3929955698355748
ACH-000206,-0.47823143705648
ACH-000207,-0.4926706635719042
ACH-000208,-0.38526412834792695
ACH-000210,-0.6279363269606866
ACH-000211,-0.5201133645336734
ACH-000215,-0.5131808959259566
ACH-000221,-0.4050314540191656
ACH-000222,-0.5243539515044783
ACH-000223,-0.7127595133438797
ACH-000226,-0.438693608208682
ACH-000227,-0.663121055288963
