,OR4X1 (390113)
ACH-000004,0.009444572990479426
ACH-000005,-0.1329053021709593
ACH-000007,-0.1161484393044778
ACH-000009,-0.07900413557611506
ACH-000011,-0.06499365054895903
ACH-000012,-0.3108309925489389
ACH-000013,-0.12652868290093827
ACH-000014,-0.4081517887483581
ACH-000015,-0.15741849357828458
ACH-000017,-0.1988285571099116
ACH-000018,-0.12507514611597906
ACH-000019,-0.23048646233735054
ACH-000021,-0.29369117444932
ACH-000022,-0.07679018669766143
ACH-000025,-0.22749523110040795
ACH-000028,-0.12803687931666458
ACH-000030,-0.2910244552710105
ACH-000035,-0.1731107901410454
ACH-000036,-0.1961082341392684
ACH-000037,-0.061127419319598274
ACH-000039,-0.16259759550759362
ACH-000040,-0.16728926779593742
ACH-000041,-0.13062504298030642
ACH-000042,-0.13083995156247702
ACH-000045,-0.10435911123224784
ACH-000047,-0.06470653825434955
ACH-000052,-0.11657273517141012
ACH-000053,-0.11753209340664665
ACH-000054,-0.1210563364288905
ACH-000055,-0.08303063365145164
ACH-000060,-0.18421049215211316
ACH-000067,-0.21062661498851465
ACH-000070,-0.10146384248698134
ACH-000075,-0.1574492649311489
ACH-000078,-0.18659850068790015
ACH-000082,-0.1885730627593329
ACH-000085,-0.2789336009141725
ACH-000086,-0.1380606794170957
ACH-000087,0.020975042245967763
ACH-000092,-0.17942717992549034
ACH-000095,-0.17322653204052912
ACH-000097,-0.0658183487384354
ACH-000098,-0.11513828601817487
ACH-000099,-0.11727570147047554
ACH-000108,-0.0766096211513417
ACH-000113,-0.07789314100458881
ACH-000116,-0.149131034265456
ACH-000118,-0.1557364955059075
ACH-000120,-0.036327749444814525
ACH-000123,-0.12009993253339273
ACH-000127,-0.10951825278430848
ACH-000128,-0.12502474806359884
ACH-000132,-0.19697898665178726
ACH-000133,-0.1484540883875522
ACH-000137,-0.12304963863301845
ACH-000138,-0.18892513139138387
ACH-000142,-0.1809542571156757
ACH-000143,-0.2758281432286861
ACH-000146,-0.08642978528036929
ACH-000148,-0.1826208517231216
ACH-000150,-0.11074355051354784
ACH-000152,-0.1721214110027768
ACH-000153,-0.007172904127413236
ACH-000159,-0.14876782743920325
ACH-000160,-0.03663392855312466
ACH-000163,-0.0938499785933022
ACH-000167,-0.25692670822512154
ACH-000168,-0.1900708663572966
ACH-000169,-0.11825164489464357
ACH-000178,-0.0907460629438084
ACH-000183,-0.0067444366883343595
ACH-000188,-0.1942205208491569
ACH-000189,-0.10679058024663626
ACH-000190,-0.10716642859770052
ACH-000198,-0.08609730808985082
ACH-000203,-0.28763130305562945
ACH-000204,-0.03218004173431732
ACH-000206,-0.09596199804074423
ACH-000207,-0.09364693126873187
ACH-000208,-0.02435335022283869
ACH-000210,0.1845457182082312
ACH-000211,-0.11176296097288213
ACH-000215,-0.2006902529587222
ACH-000221,-0.10824641540627516
ACH-000222,-0.13964908484870447
ACH-000223,-0.12006570839357145
ACH-000226,-0.13991439288169066
ACH-000227,-0.1490750623940902
ACH-000228,0.024490708780721675
ACH-000231,-0.1528136087343962
ACH-000232,-0.22514570091180475
ACH-000233,-0.1684054088516078
ACH-000234,-0.050997732227070464
ACH-000235,-0.09324702677773804
ACH-000237,-0.2487129440106743
ACH-000238,-0.08934528660302489
ACH-000242,-0.04620601926277551
ACH-000243,-0.0721344851512516
ACH-000244,-0.2959815297646603
ACH-000246,-0.0967521129377166
ACH-000248,0.005542751275273165
ACH-000250,-0.09409264680741633
ACH-000251,-0.19032300447792933
ACH-000252,-0.017850180029664747
ACH-000253,-0.0034771742734212873
ACH-000255,-0.21125825423670447
ACH-000256,-0.1062087462296184
ACH-000257,-0.0873840824090823
ACH-000258,-0.11082870241081393
ACH-000259,-0.13527285685389778
ACH-000260,-0.15929996901878854
ACH-000261,-0.1244999442092039
ACH-000262,-0.029743915818581573
ACH-000263,-0.03343391194920296
ACH-000264,-0.12820233148248766
ACH-000265,-0.12176379736606148
ACH-000266,-0.0516964756644035
ACH-000272,-0.10926622572173324
ACH-000274,-0.1963770607389931
ACH-000277,-0.18292503708586316
ACH-000278,-0.3597135422654938
