,TAL1 (6886)
ACH-000004,-0.10622177828496476
ACH-000005,-0.3975410960677181
ACH-000007,-0.1379502823508877
ACH-000009,-0.16283215318956765
ACH-000011,-0.044626132418303606
ACH-000012,-0.12580272346121749
ACH-000013,-0.2534939016561028
ACH-000014,-0.03076773150704669
ACH-000015,-0.12092070810497432
ACH-000017,-0.1496421985137378
ACH-000018,-0.2180839427505083
ACH-000019,-0.068242590167368
ACH-000021,-0.09817611217274104
ACH-000022,-0.07090405279538715
ACH-000025,-0.0750152520011233
ACH-000028,-0.0756334956638743
ACH-000030,-0.0603331482313481
ACH-000035,-0.269095113039744
ACH-000036,-0.03856482922700903
ACH-000037,-0.13747077107556768
ACH-000039,0.12837636803080985
ACH-000040,-0.09588788937166344
ACH-000041,-0.09817424201050376
ACH-000042,-0.10072846289580972
ACH-000045,0.09815025759767047
ACH-000047,-0.2078549903782504
ACH-000052,0.027189252966096603
ACH-000053,-0.03729477556462637
ACH-000054,-0.17536469118630446
ACH-000055,-0.0008274038478519505
ACH-000060,-0.12469641929355847
ACH-000067,-0.14594070382268298
ACH-000070,-0.002334748052477394
ACH-000075,0.0676947325783146
ACH-000078,-0.07836539549987477
ACH-000082,0.025132626422168618
ACH-000085,-0.005050552270274325
ACH-000086,-0.16696447802561545
ACH-000087,-0.22502527790794494
ACH-000092,-0.17687913470270847
ACH-000095,-0.057133794546300076
ACH-000097,-0.1054821466207734
ACH-000098,-0.09375381227344316
ACH-000099,0.0015141236287035198
ACH-000108,-0.29770894917714136
ACH-000113,-0.16092167937412066
ACH-000116,-0.04604269023382959
ACH-000118,-0.11601574440869016
ACH-000120,-0.1652327978015306
ACH-000123,-0.043683663939890975
ACH-000127,-0.10557150987234187
ACH-000128,0.004651087424535936
ACH-000132,-0.10974838628913072
ACH-000133,-0.08166780448524283
ACH-000137,-0.07918643215304863
ACH-000138,-0.11674913500165095
ACH-000142,-0.14676164044022078
ACH-000143,-0.21659108546760464
ACH-000146,-0.15491249902364226
ACH-000148,-0.06640564123377078
ACH-000150,-0.19317485485574407
ACH-000152,-0.2105012750454324
ACH-000153,-0.24383195228282775
ACH-000159,-0.03609610621690658
ACH-000160,0.07020764290772596
ACH-000163,-0.05984117111859062
ACH-000167,0.0866599120736153
ACH-000168,-0.06899764504516086
ACH-000169,-0.14652571718804322
ACH-000178,-0.06410312092040205
ACH-000183,-0.06363168655683413
ACH-000188,-0.2768047766289832
ACH-000189,-0.23804488970332865
ACH-000190,0.2102848710848583
ACH-000198,-0.16258614945462455
ACH-000203,0.17099502116923448
ACH-000204,-0.11907848742128968
ACH-000206,0.05455542671012889
ACH-000207,-0.1961874856432864
ACH-000208,-0.1113771782982515
ACH-000210,-0.0962751193684033
ACH-000211,0.11992974073696785
ACH-000215,-0.16694803652625134
ACH-000221,-0.2617962152420572
ACH-000222,-0.27502586867911705
ACH-000223,-0.1878877879672696
ACH-000226,-0.021828564005422064
ACH-000227,0.02889155361057582
ACH-000228,-0.17577744983925064
ACH-000231,-0.060984451584392335
ACH-000232,0.01878026954338156
ACH-000233,-0.04041990401183964
ACH-000234,0.06635802985087137
ACH-000235,-0.13592906707531627
ACH-000237,-0.0953618981833037
ACH-000238,-0.07630201280727007
ACH-000242,-0.102346308674358
ACH-000243,-0.1355168318484713
ACH-000244,-0.07847630812531688
ACH-000246,-0.045426211062518915
ACH-000248,-0.06669954251494556
