,MIIP (60672)
ACH-000004,-0.3503225747609802
ACH-000005,-0.1057033139795884
ACH-000007,-0.3574646352852857
ACH-000009,-0.29772035329487656
ACH-000011,-0.152293613713514
ACH-000012,-0.1443679699215342
ACH-000013,-0.06115517543301448
ACH-000014,-0.2705024764937642
ACH-000015,-0.27753778854695776
ACH-000017,-0.14345533904810626
ACH-000018,-0.0927037613359498
ACH-000019,0.04122102920317199
ACH-000021,-0.10656518907876462
ACH-000022,-0.07407083388600189
ACH-000025,-0.1287302458477416
ACH-000028,-0.12719571767254498
ACH-000030,-0.1273153549754431
ACH-000035,-0.3587897629960927
ACH-000036,-0.1144180188734216
ACH-000037,-0.19325957838859026
ACH-000039,-0.2515305811241668
ACH-000040,-0.05285959469180769
ACH-000041,-0.06704388189719322
ACH-000042,-0.24500671626859416
ACH-000045,-0.22031517987028024
ACH-000047,-0.3004144318475439
ACH-000052,0.02979428030196535
ACH-000053,-0.050025447626757716
ACH-000054,-0.2109489568494877
ACH-000055,-0.201404471477986
ACH-000060,-0.06448189687911987
ACH-000067,-0.15436482069861052
ACH-000070,-0.033928297244945754
ACH-000075,-0.04200478559700375
ACH-000078,0.015883115249432856
ACH-000082,-0.14191024506042535
ACH-000085,-0.3986255905780117
ACH-000086,-0.15929292135045212
ACH-000087,-0.18917983826341614
ACH-000092,-0.2502451800966875
ACH-000095,-0.2206369205910348
ACH-000097,-0.1353341825300836
ACH-000098,-0.1175349118067192
ACH-000099,-0.1805146337140657
ACH-000108,-0.187307990050178
ACH-000113,-0.15039392340238633
ACH-000116,-0.06534145997105233
ACH-000118,-0.26092778400588945
ACH-000120,-0.09417554248999062
ACH-000123,-0.20756876522281595
ACH-000127,-0.003400094194636634
ACH-000128,-0.1748985184099275
ACH-000132,-0.20479518565950527
ACH-000133,-0.13027282723304198
ACH-000137,0.06873548256891163
ACH-000138,-0.16411100595341555
ACH-000142,-0.2919425793685235
ACH-000143,-0.08342612901391938
ACH-000146,-0.02984253097099881
ACH-000148,-0.1489173199287722
ACH-000150,-0.2697173137936037
ACH-000152,-0.2541528389757026
ACH-000153,-0.18149890083296136
ACH-000159,-0.20094829885453908
ACH-000160,-0.031112474451399405
ACH-000163,-0.1810796469822812
ACH-000167,-0.11118036195915763
ACH-000168,-0.28714113505058914
ACH-000169,-0.3090442227929855
ACH-000178,-0.27473499945469193
ACH-000183,-0.1993655967631711
ACH-000188,-0.30738628541375396
ACH-000189,-0.10378749389923664
ACH-000190,0.12849475041817748
ACH-000198,-0.19116899191076664
ACH-000203,0.045227902190683685
ACH-000204,-0.2010403406508224
