,PIGV (55650)
ACH-000004,-0.36484432431494623
ACH-000005,0.12229372027130625
ACH-000007,-0.1061294943291238
ACH-000009,-0.34496106881508515
ACH-000011,-0.2883852639010759
ACH-000012,-0.2636815176697674
ACH-000013,-0.2505195831822679
ACH-000014,-0.2283718667757839
ACH-000015,-0.1376509740365302
ACH-000017,-0.14633102263622347
ACH-000018,-0.3327121699031756
ACH-000019,-0.2568434890514085
ACH-000021,-0.13185991640583214
ACH-000022,-0.2229801199330588
ACH-000025,-0.31904017913735144
ACH-000028,-0.07913816187199907
ACH-000030,-0.18688796356301526
ACH-000035,-0.4324663060828252
ACH-000036,-0.039610825054551435
ACH-000037,-0.21447861779620844
ACH-000039,-0.2439856224576421
ACH-000040,-0.22189845128406835
ACH-000041,-0.2350785978780484
ACH-000042,-0.1799735511612758
ACH-000045,-0.3299053908063468
ACH-000047,-0.27091533969626097
ACH-000052,-0.19402092657254502
ACH-000053,-0.19593110371650332
ACH-000054,-0.14555466393836558
ACH-000055,-0.13793635111166305
ACH-000060,-0.279644550691318
ACH-000067,-0.15076968331357435
ACH-000070,0.007563240456271709
ACH-000075,-0.2130411190865585
ACH-000078,-0.250365936057675
ACH-000082,-0.17894740771700587
ACH-000085,-0.3844240243716845
ACH-000086,-0.34402926811743056
ACH-000087,-0.1810828645419724
ACH-000092,-0.4389800863001793
ACH-000095,-0.19979941663491013
ACH-000097,-0.1977322492398376
ACH-000098,-0.4477845736613401
ACH-000099,-0.3662053843847269
ACH-000108,-0.16005867029471718
ACH-000113,-0.180888753798938
ACH-000116,-0.08171126883022405
ACH-000118,-0.35437190372100896
ACH-000120,-0.16694141013223046
ACH-000123,-0.12039618809061672
ACH-000127,-0.1886430560232458
ACH-000128,-0.3160074778751565
ACH-000132,-0.11472057412870455
ACH-000133,-0.29112974507930656
ACH-000137,-0.20299866567476788
ACH-000138,-0.16933079583888913
ACH-000142,-0.027598281544576782
ACH-000143,-0.2307816345518701
ACH-000146,-0.1885001486726532
ACH-000148,-0.17161253063326085
ACH-000150,-0.3287321521669637
ACH-000152,-0.16607750681831066
ACH-000153,-0.5456890082263915
ACH-000159,-0.1909650924122141
ACH-000160,-0.15359757533829807
ACH-000163,-0.2410078096059572
ACH-000167,-0.3068713639362944
ACH-000168,-0.3631353227417126
ACH-000169,-0.1815706365894839
ACH-000178,-0.16135098523357733
ACH-000183,-0.2872884638886669
ACH-000188,-0.24609411749341706
ACH-000189,-0.1797193230197156
ACH-000190,-0.013607808546772529
ACH-000198,-0.06580527767123387
ACH-000203,-0.3614410604488793
ACH-000204,-0.2620284201936968
ACH-000206,0.07433343790793323
ACH-000207,-0.27823761316785345
ACH-000208,-0.1757278331453874
ACH-000210,-0.041005017386294564
ACH-000211,-0.046415578017934674
ACH-000215,-0.09988349258447493
ACH-000221,-0.2250521348531774
ACH-000222,-0.3501127394086975
ACH-000223,-0.15154358633940476
ACH-000226,-0.032081143310278656
ACH-000227,-0.3079057980102937
ACH-000228,-0.13244083675515395
ACH-000231,-0.18354327028895398
ACH-000232,-0.2725792322395062
ACH-000233,-0.03977225899207749
ACH-000234,-0.1539181499473098
ACH-000235,-0.10647679079223787
ACH-000237,-0.35680967140906084
ACH-000238,-0.2519418883849845
ACH-000242,-0.41950553261271095
ACH-000243,-0.22931981235239285
ACH-000244,-0.2000196783570709
ACH-000246,-0.22688194217382854
ACH-000248,-0.32661800210287745
ACH-000250,-0.14256907625009702
ACH-000251,-0.3963437734448969
ACH-000252,-0.0810009342382802
ACH-000253,-0.2435253583134816
ACH-000255,-0.18329595174275304
ACH-000256,-0.3991610773993527
ACH-000257,-0.2554054807803616
ACH-000258,-0.21237067499309806
ACH-000259,-0.2294294309067211
ACH-000260,-0.1993812637521691
ACH-000261,-0.15297074020049456
ACH-000262,-0.11946183790103047
ACH-000263,-0.4215533661877019
ACH-000264,-0.21501167653158226
ACH-000265,-0.18821178585483628
ACH-000266,-0.1556516479340429
ACH-000272,-0.3755060926958896
ACH-000274,-0.26506277707678805
ACH-000277,-0.16128657917196002
ACH-000278,-0.16193015918402132
ACH-000279,-0.20777509898576024
ACH-000280,-0.4008803479656523
ACH-000281,-0.19434458955083034
ACH-000288,-0.3858825972385632
ACH-000291,-0.21629359415182972
ACH-000293,-0.10513229791471773
ACH-000294,-0.26694469485118344
ACH-000295,-0.3288661764650997
ACH-000296,-0.002553820866910439
ACH-000302,-0.3064097173081419
ACH-000304,-0.1703499979019333
ACH-000307,-0.3285923383140441
ACH-000308,-0.1909659452127925
ACH-000310,-0.27655014060834177
ACH-000311,-0.2796463871300276
ACH-000312,-0.2555835811371692
ACH-000315,-0.014236827460704728
ACH-000316,-0.3638769339263337
ACH-000317,-0.20460202512888434
ACH-000318,-0.10584362751850997
ACH-000319,-0.18801190325987388
ACH-000320,-0.12857423713909535
ACH-000322,0.0323792467864729
ACH-000323,-0.32380304483324224
ACH-000324,-0.3356737323857009
ACH-000329,-0.28973580847550123
ACH-000330,-0.3500699777804667
ACH-000331,-0.3179541936809038
ACH-000332,-0.19331700770518906
ACH-000334,-0.1272304173655422
ACH-000335,-0.027889381463478996
ACH-000336,0.09047607753162028
ACH-000337,-0.15446892226781214
ACH-000338,-0.020113606396454882
ACH-000339,-0.1680532359750383
ACH-000341,-0.2300054111360333
ACH-000348,-0.1530187101109259
ACH-000350,-0.15537865874115867
ACH-000352,-0.3033432468792435
ACH-000356,-0.33817388104689605
ACH-000361,-0.3027630361615724
ACH-000362,-0.09263175765551028
ACH-000363,-0.11464567083077308
ACH-000364,-0.4870441721749632
ACH-000365,-0.2677650119835188
ACH-000366,-0.2907032962751736
ACH-000368,-0.14019280065088946
ACH-000374,-0.2953760989959359
ACH-000375,-0.3764722279207047
ACH-000376,-0.14700225348700832
ACH-000381,-0.5392989940505539
ACH-000383,-0.1939685411195552
ACH-000387,-0.2147421126192412
ACH-000389,-0.17649563416080086
ACH-000390,-0.17720692906508365
ACH-000393,-0.22491991559457264
ACH-000395,-0.3924363961503487
ACH-000396,-0.3797647616733133
ACH-000397,-0.14231133094714846
ACH-000401,0.04886820799978088
ACH-000402,-0.2400651364779447
