,RBX1 (9978)
ACH-000004,-0.7646994956431717
ACH-000005,-1.534724939153454
ACH-000007,-0.5357732595407642
ACH-000009,-0.3226148913783375
ACH-000011,-0.27352297601729114
ACH-000012,-0.6320482812855648
ACH-000013,-0.6253057385088444
ACH-000014,-0.3679920768577952
ACH-000015,-0.521099680747706
ACH-000017,-0.3331510083654601
ACH-000018,-0.2992058710999799
ACH-000019,-0.5050543448326482
ACH-000021,-0.4670876025040086
ACH-000022,-0.4539784544434833
ACH-000025,-0.3835622931021917
ACH-000028,-0.5673311197836942
ACH-000030,-0.7745720246870402
ACH-000035,-0.3545142729791205
ACH-000036,-0.2439804176150644
ACH-000037,-0.2462451462870035
ACH-000039,-0.3827468254673879
ACH-000040,-0.4326836573094943
ACH-000041,-0.10486528556680956
ACH-000042,-0.6466376004128709
ACH-000045,-0.3128832153941202
ACH-000047,-0.6550502521133622
ACH-000052,-0.4999776423368818
ACH-000053,-0.4786527286710257
ACH-000054,-0.3845583743236793
ACH-000055,-0.5183447127425039
ACH-000060,-0.2450981912846777
ACH-000067,-0.46416991099068
ACH-000070,-0.42204994524008616
ACH-000075,-0.3612268210037264
ACH-000078,-0.21814838618640645
ACH-000082,-0.2815072721264509
ACH-000085,-0.4238777278244909
ACH-000086,-0.20208205033531293
ACH-000087,-0.3116961394421173
ACH-000092,-0.7048680603548615
ACH-000095,-0.2257717910975889
ACH-000097,-0.5853250469854254
ACH-000098,-0.02208233702387205
ACH-000099,-0.4041525542671843
ACH-000108,-0.3551242703340012
ACH-000113,-0.4460331625189479
ACH-000116,-0.4790586519352525
ACH-000118,-0.6762202198969718
ACH-000120,-0.374462732473277
ACH-000123,-0.32291084223966393
ACH-000127,-0.3235375062431415
ACH-000128,-0.3444690066474659
ACH-000132,-0.20172075841068945
ACH-000133,-0.5507891523044325
ACH-000137,-0.5297930647920077
ACH-000138,-0.1985856757406447
ACH-000142,-0.3218685127768808
ACH-000143,-0.3946640572568487
ACH-000146,-0.6899957092469788
ACH-000148,-0.34922687185759144
ACH-000150,-0.2791270746159207
ACH-000152,-0.22445072435612426
ACH-000153,-0.24225511031921576
ACH-000159,-0.26018339246870115
ACH-000160,-1.2600543360035017
ACH-000163,-0.2947120474040829
ACH-000167,-0.7325211823977202
ACH-000168,-0.3609267087770952
ACH-000169,-0.4804466114376185
ACH-000178,-0.4543506483024529
ACH-000183,-0.3730340081720736
ACH-000188,-0.3511188877051165
ACH-000189,0.023027784916331232
ACH-000190,-0.13938152081249705
ACH-000198,-0.1808888947210554
ACH-000203,-0.7194267419826287
ACH-000204,-0.4045024817164568
ACH-000206,-0.6041114662489645
ACH-000207,-0.22471610802987765
ACH-000208,-0.3205236471642478
ACH-000210,-0.44574458779400666
ACH-000211,-0.5573625670517313
ACH-000215,-0.23877313932209904
ACH-000221,-0.4761812258455093
ACH-000222,-0.4974534995567181
ACH-000223,-0.5709092654900849
ACH-000226,-0.3680552739596333
ACH-000227,-0.3206496221916394
ACH-000228,-0.7968851007459035
ACH-000231,-0.5076786126426467
ACH-000232,-0.4220597102411525
ACH-000233,-0.3128972096678759
ACH-000234,-0.10921253110521513
ACH-000235,-0.34077856190688444
ACH-000237,-0.3945887529147483
ACH-000238,-0.31220341128782514
ACH-000242,-0.15135344095631229
ACH-000243,-0.5322363195656623
ACH-000244,-0.4101217412320983
ACH-000246,-0.07727205425819714
ACH-000248,-0.2518987283409634
ACH-000250,-0.3432095668589936
ACH-000251,-0.6607376164976636
ACH-000252,-0.3784182143771986
ACH-000253,-0.4050989635744133
ACH-000255,-0.4692317658124807
