,QRFP (347148)
ACH-000004,-0.1593484121047748
ACH-000005,-0.09021581699683444
ACH-000007,-0.14499062103060112
ACH-000009,-0.14034115484069368
ACH-000011,0.1436074181160604
ACH-000012,-0.19619088059510692
ACH-000013,-0.21168418102814834
ACH-000014,0.02545876260982295
ACH-000015,-0.11923257786706318
ACH-000017,-0.13919724808396286
ACH-000018,-0.11464357238729499
ACH-000019,-0.18456213464082327
ACH-000021,-0.1504941747918782
ACH-000022,-0.2128407651810491
ACH-000025,0.005060702926352904
ACH-000028,-0.04266371917615433
ACH-000030,0.022366614130385168
ACH-000035,-0.07432749351769617
ACH-000036,-0.052751184560356434
ACH-000037,-0.2693632737250453
ACH-000039,-0.16471849183923695
ACH-000040,-0.0260450251929953
ACH-000041,-0.3908925946581063
ACH-000042,-0.2895046840415373
ACH-000045,0.09640880959455976
ACH-000047,-0.2286479909399045
ACH-000052,-0.08335068840447189
ACH-000053,-0.007591761564112577
ACH-000054,-0.09775763502166418
ACH-000055,-0.028055812545799
ACH-000060,-0.04131064016508775
ACH-000067,-0.14257636054860515
ACH-000070,-0.06845037459930257
ACH-000075,-0.20181558666876012
ACH-000078,-0.1399671069183994
ACH-000082,-0.08089908930367651
ACH-000085,-0.09384439619524447
ACH-000086,-0.044170564219224925
ACH-000087,-0.3490540194952939
ACH-000092,-0.004165893936610408
ACH-000095,-0.06417228591321847
ACH-000097,-0.16543815769322787
ACH-000098,-0.2010845446382703
ACH-000099,-0.1621308421448604
ACH-000108,-0.11083707368636486
ACH-000113,-0.06173430076047225
ACH-000116,-0.14398739404883273
ACH-000118,-0.07069515201062357
ACH-000120,-0.12438315920025834
ACH-000123,-0.11468668191972126
ACH-000127,-0.20705602960633387
ACH-000128,-0.22754837906944686
ACH-000132,-0.17353800245745174
ACH-000133,-0.029026019966216805
ACH-000137,-0.11694794765102695
ACH-000138,-0.10715751895600972
ACH-000142,-0.08380464330562594
ACH-000143,-0.17422393924779594
ACH-000146,-0.023663894673071128
ACH-000148,-0.2043357531316896
ACH-000150,-0.026909614047532743
ACH-000152,-0.19716720937292706
ACH-000153,-0.05471661972647119
ACH-000159,-0.08180845785589985
ACH-000160,-0.08948168686815178
ACH-000163,0.030119800429561232
ACH-000167,-0.4819266039202434
ACH-000168,-0.14072200487020167
ACH-000169,-0.07433073118464209
ACH-000178,-0.13557505912159712
ACH-000183,-0.2878009167880384
ACH-000188,0.05453421699350722
ACH-000189,-0.20712001130254787
ACH-000190,0.01466221479434588
ACH-000198,-0.03119883010904587
ACH-000203,-0.05747129526066048
ACH-000204,-0.0705204992241148
ACH-000206,-0.07561384768622176
ACH-000207,-0.18630711053891247
ACH-000208,-0.04089351851078397
ACH-000210,-0.02541353000022522
ACH-000211,-0.10882072130605272
ACH-000215,-0.17439230174128692
ACH-000221,-0.20495130163349468
ACH-000222,-0.14750132732697147
ACH-000223,-0.123573607252488
ACH-000226,0.04633347988814863
ACH-000227,-0.1632760027468894
ACH-000228,-0.1103158221305971
ACH-000231,-0.10449705701874913
ACH-000232,-0.12044203912524235
ACH-000233,0.003305248576409024
ACH-000234,-0.2270901949794639
ACH-000235,-0.1815088722941795
ACH-000237,-0.20670616983574336
ACH-000238,-0.20103588900138225
ACH-000242,-0.1634086961535184
ACH-000243,-0.09593599940739517
ACH-000244,-0.18933547789425287
ACH-000246,-0.10724538973268716
ACH-000248,-0.02045739706025066
ACH-000250,-0.03504773651033897
ACH-000251,0.03968967224530469
ACH-000252,-0.2844026036899299
ACH-000253,-0.12206479115544433
ACH-000255,-0.17352180739056625
ACH-000256,-0.022405141220797124
ACH-000257,-0.17673542966464115
ACH-000258,-0.2304548248681526
ACH-000259,-0.238328583362392
ACH-000260,-0.07059583717345022
ACH-000261,-0.060037870320302826
ACH-000262,-0.22834731068774897
ACH-000263,-0.2391620149498956
ACH-000264,-0.06003175185652562
ACH-000265,-0.2172657720581702
ACH-000266,-0.1075718185938493
ACH-000272,-0.21023401249171486
ACH-000274,-0.11064476835318032
ACH-000277,-0.17829904588308967
ACH-000278,-0.05908869784239663
ACH-000279,-0.011155753304488215
ACH-000280,-0.1403672860593254
ACH-000281,-0.09959966188469613
ACH-000288,0.04751847670969216
ACH-000291,-0.17382666086996582
ACH-000293,-0.03657044670754413
ACH-000294,-0.17174792531856278
ACH-000295,-0.2647333157558453
ACH-000296,-0.1396234322777677
ACH-000302,-0.11561287107633494
ACH-000304,-0.3191289419142429
ACH-000307,-0.19712145114660756
ACH-000308,-0.1358575919493312
ACH-000310,-0.2535051040767521
ACH-000311,-0.02027979465329152
ACH-000312,-0.052223874390827305
ACH-000315,0.07266245284137572
ACH-000316,-0.3354553759825259
ACH-000317,0.029201692005934938
ACH-000318,-0.1349761000411231
ACH-000319,-0.07797071650062057
ACH-000320,-0.11595771304232125
ACH-000322,-0.1691152749917792
ACH-000323,-0.03497525289862618
ACH-000324,-0.20012220048648105
ACH-000329,-0.08070487116035065
ACH-000330,-0.0910150727378084
ACH-000331,-0.10749654764108428
ACH-000332,-0.1804990174838834
ACH-000334,-0.11676805860134795
ACH-000335,-0.1489486893601169
ACH-000336,-0.21979435929491206
ACH-000337,-0.1131167985853926
ACH-000338,-0.06102422220077044
ACH-000339,-0.07359593421943053
ACH-000341,-0.18156888068441765
ACH-000348,-0.14461809619069216
ACH-000350,-0.051477489896682285
ACH-000352,-0.1728784357455759
ACH-000356,0.06812380052927093
ACH-000361,0.031919546642965035
ACH-000362,-0.11328067200918847
ACH-000363,-0.13144604868357515
ACH-000364,-0.06300275446282283
ACH-000365,-0.1096993369359974
ACH-000366,-0.2796321526847606
ACH-000368,-0.11333056800369005
ACH-000374,-0.07813852598618533
ACH-000375,-0.051638672268766936
ACH-000376,0.0038192156769851593
ACH-000381,-0.024989787550631463
ACH-000383,-0.09193315917308068
ACH-000387,-0.2219641263924812
ACH-000389,-0.1308720625099098
ACH-000390,-0.1431306836769084
ACH-000393,-0.26052090208980394
ACH-000395,-0.3522171087470978
ACH-000396,-0.14873960997973965
ACH-000397,-0.15272337930162405
ACH-000401,-0.06753325950722247
ACH-000402,-0.28842027016554617
ACH-000403,-0.08720296394428045
ACH-000404,-0.13935670296092342
ACH-000406,-0.08567403015688026
ACH-000407,-0.14907031071528895
ACH-000408,-0.29529886567568997
ACH-000410,-0.14646825997089902
ACH-000411,-0.14815954655190916
ACH-000414,-0.08673647410052243
ACH-000415,-0.10716099434546518
