,VPS13D (55187)
ACH-000004,-0.876394772217203
ACH-000005,-0.6448887851640878
ACH-000007,-0.9057452559445444
ACH-000009,-0.8232966175134883
ACH-000011,-0.8998845317555421
ACH-000012,-0.8667512630048348
ACH-000013,-0.6824177629050383
ACH-000014,-0.6286011006711696
ACH-000015,-0.8535291691714499
ACH-000017,-0.8867761991291588
ACH-000018,-0.6941212528853988
ACH-000019,-0.6857762252563641
ACH-000021,-0.929798645749234
ACH-000022,-0.9711220494631192
ACH-000025,-0.7893690377288429
ACH-000028,-0.4743768351035824
ACH-000030,-0.8581519678215678
ACH-000035,-1.0703170875472197
ACH-000036,-0.9899674192233744
ACH-000037,-0.8426078154154772
ACH-000039,-0.6226502773471486
ACH-000040,-0.8483053025381175
ACH-000041,-0.7120040516191958
ACH-000042,-0.8135670389945487
ACH-000045,-0.8874574901607887
ACH-000047,-0.8527669113578786
ACH-000052,-0.8692450851601796
ACH-000053,-0.7881482639708487
ACH-000054,-0.6108853603271326
ACH-000055,-0.7108816454251506
ACH-000060,-1.0216258828242168
ACH-000067,-0.9271580666226852
ACH-000070,-0.7396740862357198
ACH-000075,-0.9195941862533156
ACH-000078,-0.6418633015998283
ACH-000082,-0.8491791877973939
ACH-000085,-0.7443109633598314
ACH-000086,-0.7986995108907399
ACH-000087,-0.9196033502659864
ACH-000092,-0.8977717896043864
ACH-000095,-0.4409340471885669
ACH-000097,-1.1561788474130477
ACH-000098,-0.8066579913216015
ACH-000099,-0.8078628931890646
ACH-000108,-1.0153304709854265
ACH-000113,-0.6337059879865059
ACH-000116,-1.0535804624781586
ACH-000118,-0.7726329981275972
ACH-000120,-1.3298052677880396
ACH-000123,-0.7409521028742005
ACH-000127,-0.9552224848946204
ACH-000128,-0.6883935823280745
ACH-000132,-0.7693185173243791
ACH-000133,-0.7064813839148564
ACH-000137,-0.8859818019581996
ACH-000138,-0.7530033522212334
ACH-000142,-0.7666020645896569
ACH-000143,-0.9900085852668048
ACH-000146,-0.7399753141027364
ACH-000148,-0.8738482654591736
ACH-000150,-0.6302817781990591
ACH-000152,-0.8896255430085955
ACH-000153,-0.8276869107275304
ACH-000159,-0.5993143672432578
ACH-000160,-0.60900089277316
ACH-000163,-0.6945498119849556
ACH-000167,-0.8537966459079457
ACH-000168,-0.8392741441696322
ACH-000169,-1.0026722501380492
ACH-000178,-0.8159041337049778
ACH-000183,-0.8280861478617659
ACH-000188,-0.7606326695305203
ACH-000189,-0.8498889168574032
ACH-000190,-0.910840105684562
ACH-000198,-0.7510431614267242
ACH-000203,-0.7947588618458626
ACH-000204,-0.8543873756881737
ACH-000206,-0.9778671288165658
ACH-000207,-0.4199319980632655
ACH-000208,-0.6362205882442107
ACH-000210,-0.4963308703128401
ACH-000211,-0.7683356869352373
ACH-000215,-0.7385216841934685
ACH-000221,-0.6356119087422739
