,ABT1 (29777)
ACH-000004,-0.40805830912196256
ACH-000005,-0.2546860618455936
ACH-000007,-0.5153072669263282
ACH-000009,-0.4022972358679447
ACH-000011,-0.6105687834866149
ACH-000012,-0.2951407922342284
ACH-000013,-0.5459809497307876
ACH-000014,-0.3380904224231567
ACH-000015,-0.2671881356819142
ACH-000017,-0.3405262897249201
ACH-000018,-0.6509417714227715
ACH-000019,-0.2825660409028561
ACH-000021,-0.3387335941004477
ACH-000022,-0.3642893645901472
ACH-000025,-0.41904379746014403
ACH-000028,-0.2921656775594745
ACH-000030,-0.41310641262522096
ACH-000035,-0.657323814261019
ACH-000036,-0.33388884307461625
ACH-000037,-0.4703634231691053
ACH-000039,-0.2644549696405137
ACH-000040,-0.30609311165986475
ACH-000041,-0.4924027120258405
ACH-000042,-0.4045890764256997
ACH-000045,-0.3290600077506317
ACH-000047,-0.3961274488618839
ACH-000052,-0.5911331115869437
ACH-000053,-0.4277914608323233
ACH-000054,-0.3677252157231216
ACH-000055,-0.30400700882932713
ACH-000060,-0.400987886013006
ACH-000067,-0.5771617740911377
ACH-000070,-0.5471557222952446
ACH-000075,-0.5062108021625795
ACH-000078,-0.19651993530405806
ACH-000082,-0.5680751789693479
ACH-000085,-0.28070622209572377
ACH-000086,-0.6380008619606465
ACH-000087,-0.5804280249116717
ACH-000092,-0.4367426698565369
ACH-000095,-0.5106010120486774
ACH-000097,-0.5200039098799767
ACH-000098,-0.5469091165413155
ACH-000099,-0.210760961745392
ACH-000108,-0.502669461240192
ACH-000113,-0.4360057239757655
ACH-000116,-0.5276895245140797
ACH-000118,-0.6241420483393677
ACH-000120,-0.4063208114715524
ACH-000123,-0.7001807385358048
ACH-000127,-0.3362042723921615
ACH-000128,-0.3728058281223352
ACH-000132,-0.3496450542747677
ACH-000133,-0.3165771189576514
ACH-000137,-0.3634439063379119
ACH-000138,-0.26243442123802124
ACH-000142,-0.2830907303321559
ACH-000143,-0.5973140526393211
ACH-000146,-0.7788563009849018
ACH-000148,-0.37511551214571
ACH-000150,-0.5056606589235015
ACH-000152,-0.2309520353433613
ACH-000153,-0.4941116319066387
ACH-000159,-0.6020091518126426
ACH-000160,0.04145692545158272
ACH-000163,-0.6671550128833843
ACH-000167,0.012355546170963069
ACH-000168,-0.4634469982330171
ACH-000169,-0.5762817042278274
ACH-000178,-0.4076240941614604
ACH-000183,-0.3908071806947727
ACH-000188,-0.3283201120395631
ACH-000189,-0.3634560782959265
ACH-000190,-0.2720031007998601
ACH-000198,-0.3914348272881407
ACH-000203,-0.8746507460964056
ACH-000204,-0.21434232948749055
ACH-000206,-0.6307234297494179
ACH-000207,-0.4115393043913066
ACH-000208,-0.6550105682152267
ACH-000210,-0.4422339455028511
ACH-000211,-0.25898420565448205
ACH-000215,-0.4186407689040915
ACH-000221,-0.5311072361831211
ACH-000222,-0.18586976383775808
ACH-000223,-0.3537129162950437
ACH-000226,-0.3655538302401625
ACH-000227,-0.09220494569954417
ACH-000228,-0.4917596239960286
ACH-000231,-0.4554011952738348
ACH-000232,-0.4877439850848368
ACH-000233,-0.3930630384102429
ACH-000234,-0.23892543360968194
ACH-000235,-0.44819555820415535
ACH-000237,-0.2296201092807444
ACH-000238,-0.2563428536827422
ACH-000242,-0.43980357519888985
ACH-000243,-0.5329917018158454
ACH-000244,-0.5111658821291274
ACH-000246,-0.3869332013581525
ACH-000248,-0.25156984140864924
ACH-000250,-0.4335986704240815
ACH-000251,-0.6460644382102703
ACH-000252,-0.4808605027624197
ACH-000253,-0.6178745088455863
ACH-000255,-0.379025045603199
ACH-000256,-0.30069277302171354
ACH-000257,-0.531284175972923
ACH-000258,-0.4121962314998736
ACH-000259,-0.337265026440268
ACH-000260,-0.5863159318043109
ACH-000261,-0.44574516682675625
ACH-000262,-0.31379191722468075
ACH-000263,-0.3955823086256648
ACH-000264,-0.5615910171436223
ACH-000265,-0.36906407916944106
ACH-000266,-0.4745601063315704
ACH-000272,-0.4433736177279005
ACH-000274,-0.3448244867408005
ACH-000277,-0.3278308556090361
ACH-000278,-0.4981184138760201
ACH-000279,-0.391723154743328
ACH-000280,-0.3396801411454661
ACH-000281,-0.2468444291462684
ACH-000288,-0.37680258709350456
ACH-000291,-0.3170526463809565
ACH-000293,-0.5281854392311354
ACH-000294,-0.1876220173968582
ACH-000295,-0.3104314086956357
ACH-000296,-0.36740701145240295
ACH-000302,-0.35422022376493595
ACH-000304,-0.3606456205142757
ACH-000307,-0.3982922968096305
ACH-000308,-0.4084686696482196
ACH-000310,-0.2994865474538056
ACH-000311,-0.4615790195127934
ACH-000312,-0.34461270348527234
ACH-000315,-0.14132343379249246
ACH-000316,-0.20314875155468806
ACH-000317,-0.629110971749041
ACH-000318,-0.4628857174239039
ACH-000319,-0.6432014691479625
ACH-000320,-0.375415392036958
ACH-000322,-0.7719004376391191
ACH-000323,-0.4073845995074705
ACH-000324,-0.3883313503191862
ACH-000329,-0.3412809067299628
ACH-000330,-0.3784752754065764
ACH-000331,-0.5490049313291696
ACH-000332,-0.4763043019839798
ACH-000334,-0.4029879304896787
ACH-000335,-0.7239813279528833
ACH-000336,-0.35739079099127524
ACH-000337,-0.5267780153188785
ACH-000338,0.052024489768532536
ACH-000339,-0.3311712747062565
ACH-000341,-0.3022484359033608
ACH-000348,-0.4041092288344033
ACH-000350,-0.36260655956679533
ACH-000352,-0.6884374087244605
ACH-000356,-0.5383640531064025
