,MRGPRE (116534)
ACH-000004,-0.15769739884065367
ACH-000005,-0.2119285313846085
ACH-000007,-0.17642481774760493
ACH-000009,-0.21420703878057112
ACH-000011,-0.2786023117165721
ACH-000012,-0.1293850733438156
ACH-000013,-0.091568138641591
ACH-000014,-0.24337429097244154
ACH-000015,-0.10038576920659212
ACH-000017,-0.24623419724142764
ACH-000018,-0.1839556389201512
ACH-000019,-0.10825783794969716
ACH-000021,-0.16716541246736713
ACH-000022,-0.1739011043893151
ACH-000025,-0.22326937752396375
ACH-000028,-0.3156785245091204
ACH-000030,-0.1712647021760742
ACH-000035,-0.30447267404368417
ACH-000036,-0.2228589458313048
ACH-000037,-0.3025917219751154
ACH-000039,-0.1665226043317034
ACH-000040,-0.31195881083313165
ACH-000041,-0.034164031991921716
ACH-000042,-0.3299687451777599
ACH-000045,-0.19848733867132845
ACH-000047,-0.14770258799092595
ACH-000052,-0.010691259037378954
ACH-000053,-0.18446958611929232
ACH-000054,-0.11008800834031901
ACH-000055,-0.08775945823053925
ACH-000060,-0.3852658125894231
ACH-000067,-0.3059437171799301
ACH-000070,-0.2876232699538173
ACH-000075,-0.21108410886604256
ACH-000078,-0.2679457359977913
ACH-000082,-0.20156077276437026
ACH-000085,-0.31244707521794257
ACH-000086,-0.00036274638928200615
ACH-000087,-0.227811091635327
ACH-000092,-0.21631343027132865
ACH-000095,-0.3473779676957112
ACH-000097,-0.325726807715062
ACH-000098,-0.13067262587922926
ACH-000099,-0.27105250539604153
ACH-000108,-0.2304365657428134
ACH-000113,-0.2455900066166901
ACH-000116,-0.14717749912532288
ACH-000118,-0.22900236337584556
ACH-000120,-0.2558107547440513
ACH-000123,-0.2705603401946204
ACH-000127,-0.112973751234156
ACH-000128,-0.04487015841716911
ACH-000132,-0.08908956965632138
ACH-000133,-0.20717404019460664
ACH-000137,-0.1857072230453344
ACH-000138,-0.2942180882280521
ACH-000142,-0.1975197185999874
ACH-000143,-0.21967196924121035
ACH-000146,-0.0580904618474619
ACH-000148,-0.23483136422472264
ACH-000150,-0.25345178195244555
ACH-000152,-0.16493863570011547
ACH-000153,-0.14694560381739954
ACH-000159,-0.31655560347756395
ACH-000160,-0.01217628769920081
ACH-000163,-0.27580236699771843
ACH-000167,-0.2057156661629377
ACH-000168,-0.21587198772110186
ACH-000169,-0.19600108273332206
ACH-000178,-0.2825163111655781
ACH-000183,-0.14094998577009926
ACH-000188,-0.14665717062889946
ACH-000189,-0.11797048702045534
ACH-000190,-0.2094481559322552
ACH-000198,-0.2562367472833344
ACH-000203,-0.1994145661550788
ACH-000204,-0.09396621368825116
ACH-000206,-0.3233794756404333
ACH-000207,-0.5132487504074914
ACH-000208,-0.13657919090730314
ACH-000210,-0.18812199420188386
ACH-000211,-0.14886105660549054
ACH-000215,-0.269726406325814
ACH-000221,-0.04085912191002691
ACH-000222,-0.3629227420468227
ACH-000223,-0.2501447339054679
ACH-000226,-0.16485363811009238
ACH-000227,-0.31548135576251113
ACH-000228,0.012621716950589263
ACH-000231,-0.1919033885306661
ACH-000232,-0.14265909460716356
ACH-000233,-0.08212410169297503
ACH-000234,-0.3982082246725709
ACH-000235,-0.2475831773276693
ACH-000237,-0.2947862972044587
